Fecha,DViento,HAire10,HAire2,NO,NO2,NOx,P,PLiquida,PM2.5,RGlobal,SO2,TAire10,TAire2,VViento
2012-04-02,,,,,13.5,,,,,,,,,
2012-04-03,,,,,,,,,,,,,,
2012-04-04,,,,,11.8,,,,,,,,,
2012-04-05,,,,,,,,,,,,,,
2012-04-06,,,,,,,,,,,,,,
2012-04-07,,,,,,,,,,,,,,
2012-04-08,,,,,,,,,,,,,,
2012-04-09,,,,,10.66666667,,,,,,,,,
2012-04-10,,,,,,,,,,,,,,
2012-04-11,,,,,18.3,,,,,,,,,
2012-04-12,,,,,12.86363636,,,,,,,,,
2012-04-13,,,,,17.69230769,,,,,,,,,
2012-04-14,,,,,,,,,,,,,,
2012-04-15,,,,,,,,,,,,,,
2012-04-16,,,,,22.0,,,,,,,,,
2012-04-17,,,,,16.0,,,,,,,,,
2012-04-18,,,,,,,,,,,,,,
2012-04-19,,,,,15.0,,,,,,,,,
2012-04-20,,,,,15.0,,,,,,,,,
2012-04-21,,,,,12.45833333,,,,,,,,,
2012-04-22,,,,,11.29166667,,,,,,,,,
2012-04-23,,,,,11.04166667,,,,,,,,,
2012-04-24,,,,,12.83333333,,,,,,,,,
2012-04-25,,,,,13.58333333,,,,,,,,,
2012-04-26,,,,,12.16666667,,,,,,,,,
2012-04-27,,,,,11.66666667,,,,,,,,,
2012-04-28,,,,,,,,,,,,,,
2012-04-29,,,,,,,,,,,,,,
2012-04-30,,,,,,,,,,,,,,
2012-05-01,,,,,,,,,,,,,,
2012-05-02,,,,,,,,,,,,,,
2012-05-03,,,,,,,,,,,,,,
2012-05-04,,,,,,,,,,,,,,
2012-05-05,,,,,,,,,,,,,,
2012-05-06,,,,,,,,,,,,,,
2012-05-07,,,,,,,,,,,,,,
2012-05-08,,,,,,,,,,,,,,
2012-05-09,,,,,,,,,,,,,,
2012-05-10,,,,,,,,,,,,,,
2012-05-11,,,,,,,,,,,,,,
2012-05-12,,,,,,,,,,,,,,
2012-05-13,,,,,,,,,,,,,,
2012-05-14,,,,,,,,,,,,,,
2012-05-15,,,,,,,,,,,,,,
2012-05-16,,,,,,,,,,,,,,
2012-05-17,,,,,,,,,,,,,,
2012-05-18,,,,,,,,,,,,,,
2012-05-19,,,,,,,,,,,,,,
2012-05-20,,,,,,,,,,,,,,
2012-05-21,,,,,,,,,,,,,,
2012-05-22,,,,,,,,,,,,,,
2012-05-23,,,,,,,,,,,,,,
2012-05-24,,,,,,,,,,,,,,
2012-05-25,,,,,,,,,,,,,,
2012-05-26,,,,,,,,,,,,,,
2012-05-27,,,,,,,,,,,,,,
2012-05-28,,,,,,,,,,,,,,
2012-05-29,,,,,,,,,,,,,,
2012-05-30,,,,,,,,,,,,,,
2012-05-31,,,,,,,,,,,,,,
2012-06-01,,,62.84583333,,,,,,,147.54166667,,,22.31875,
2012-06-02,,,59.09166667,,,,,,,190.91666667,,,23.39583333,
2012-06-03,,,64.75833333,,,,,,,173.41666667,,,23.13541667,
2012-06-04,,,68.72083333,,,,,,,183.41666667,,,22.765,
2012-06-05,,,57.34583333,,,,,,,180.58333333,,,23.34208333,
2012-06-06,,,57.48333333,,,,,,,221.625,,,23.66333333,
2012-06-07,,,54.24583333,,,,,,,223.91666667,,,24.62541667,
2012-06-08,,,52.5375,,,,,,,188.5,,,23.26958333,
2012-06-09,,,55.89166667,,,,,,,193.91666667,,,23.42416667,
2012-06-10,,,57.3875,,,,,,,220.0,,,24.19625,
2012-06-11,,,66.91666667,,,,,,,173.70833333,,,22.70583333,
2012-06-12,,,76.07083333,,,,,,,104.0,,,20.8125,
2012-06-13,,,76.3125,,,,,,,101.25,,,20.435,
2012-06-14,,,76.15,,,,,,,181.66666667,,,20.47833333,
2012-06-15,,,72.32083333,,,,,,,202.08333333,,,20.62291667,
2012-06-16,,,74.0375,,,,,,,124.91666667,,,19.81708333,
2012-06-17,,,67.675,,,,,,,190.58333333,,,20.2275,
2012-06-18,,,65.34583333,,,,,,,222.95833333,,,22.35875,
2012-06-19,,,66.00833333,,,,,,,233.29166667,,,23.43958333,
2012-06-20,,,62.925,,,,,,,207.20833333,,,23.77708333,
2012-06-21,,,67.48333333,,,,,,,136.33333333,,,20.81875,
2012-06-22,,,56.46666667,,,,,,,239.25,,,22.3225,
2012-06-23,,,56.40833333,,,,,,,202.0,,,22.40666667,
2012-06-24,,,63.57083333,,,,,,,189.25,,,22.40708333,
2012-06-25,,,66.19166667,,,,,,,158.91666667,,,21.52041667,
2012-06-26,,,62.86,,,,,,,209.8,,,22.0045,
2012-06-27,,,60.38333333,,,,,,,216.95833333,,,22.25833333,
2012-06-28,,,60.025,,,,,,,219.5,,,22.835,
2012-06-29,,,67.92083333,,,,,,,165.41666667,,,20.72291667,
2012-06-30,,,73.37083333,,,,,,,170.45833333,,,17.0175,
2012-07-01,,,63.25,,,,,,,223.625,,,21.57208333,
2012-07-02,,,58.86666667,,,,,,,228.75,,,22.69833333,
2012-07-03,,,68.69166667,,11.90909091,,,,,153.375,,,21.30083333,
2012-07-04,,,67.82083333,,7.82608696,,,,,213.75,,,21.99416667,
2012-07-05,,,71.525,,10.41666667,,,,,170.625,,,21.22708333,
2012-07-06,,,66.00416667,,10.25,,,,,204.54166667,,,22.11458333,
2012-07-07,,,61.25833333,,,,,,,197.625,,,22.965,
2012-07-08,,,54.42083333,,,,,,,234.75,,,23.46375,
2012-07-09,,,55.63333333,,,,,,,190.83333333,,,23.1675,
2012-07-10,,,58.70833333,,,,,,,201.5,,,23.29625,
2012-07-11,,,77.65833333,,,,,,,143.58333333,,,20.35,
2012-07-12,,,74.4625,,21.64285714,,,,,175.66666667,,,20.32625,
2012-07-13,,,81.80416667,,24.625,,,,,101.95833333,,,18.71291667,
2012-07-14,,,70.54166667,,16.20833333,,,,,227.29166667,,,21.03166667,
2012-07-15,,,63.8,,7.79166667,,,,,199.95833333,,,22.09666667,
2012-07-16,,,61.975,,16.95454545,,,,,216.95833333,,,22.20208333,
2012-07-17,,,65.98333333,,22.75,,,,,169.29166667,,,22.34666667,
2012-07-18,,,57.775,,12.69565217,,,,,214.29166667,,,23.62791667,
2012-07-19,,,55.37391304,,12.17391304,,,,,178.56521739,,,23.69782609,
2012-07-20,,,60.17083333,,9.16666667,,,,,176.375,,,22.67541667,
2012-07-21,,,53.32916667,,8.45833333,,,,,205.41666667,,,22.94416667,
2012-07-22,,,54.74166667,,8.16666667,,,,,177.58333333,,,23.0725,
2012-07-23,,,51.35,,12.58333333,,,,,202.625,,,23.18708333,
2012-07-24,,,57.34166667,,14.875,,,,,207.29166667,,,22.95833333,
2012-07-25,,,52.4375,,16.25,,,,,217.5,,,22.53333333,
2012-07-26,,,52.30833333,,17.875,,,,,215.25,,,22.73291667,
2012-07-27,,,52.97083333,,16.5,,,,,179.16666667,,,23.44083333,
2012-07-28,,,56.55941667,,12.5,,,,,163.951,,,23.4395,
2012-07-29,,,58.702125,,6.66666667,,,,,211.605125,,,23.49745833,
2012-07-30,,,71.24154167,,15.58333333,,,,,124.5605,,,21.03975,
2012-07-31,,,68.18995833,,9.0,,,,,162.754,,,21.78383333,
2012-08-01,,,61.25833333,15.58333333,15.25,,,,,169.16666667,,,22.63458333,
2012-08-02,,,69.0875,7.54166667,15.58333333,,,,,206.66666667,,,22.07791667,
2012-08-03,,,73.9875,12.13636364,12.63636364,,,,,126.54166667,,,20.99583333,
2012-08-04,,,73.3375,16.16666667,12.95833333,,,,,157.375,,,21.15125,
2012-08-05,,,70.87083333,8.125,3.33333333,,,,,168.91666667,,,21.27458333,
2012-08-06,,,69.54583333,9.0,6.375,,,,,203.70833333,,,21.4025,
2012-08-07,,,68.93333333,3.58333333,1.125,,,,,166.04166667,,,21.5725,
2012-08-08,,,73.91666667,11.0,4.54166667,,,,,147.125,,,20.525,
2012-08-09,,,66.98333333,17.625,8.66666667,,,,,164.70833333,,,21.80666667,
2012-08-10,,,53.25416667,19.66666667,8.58333333,,,,,202.375,,,23.34916667,
2012-08-11,,,59.34166667,10.0,6.375,,,,,180.66666667,,,22.91333333,
2012-08-12,,,69.6875,8.04166667,4.16666667,,,,,198.0,,,21.49875,
2012-08-13,,,76.28,18.2,8.6,,,,,79.9,,,19.48,
2012-08-14,,,73.62857143,32.57142857,10.0,,,,,177.71428571,,,20.93285714,
2012-08-15,,,64.2625,14.79166667,7.45833333,,,,,173.70833333,,,21.91375,
2012-08-16,,,63.37083333,20.83333333,9.95833333,,,,,216.83333333,,,22.2575,
2012-08-17,,,73.7,15.20833333,15.125,,,,,167.04166667,,,20.52333333,
2012-08-18,,,71.62916667,13.91666667,10.20833333,,,,,192.95833333,,,20.98916667,
2012-08-19,,,62.2375,6.04166667,2.58333333,,,,,238.875,,,22.6275,
2012-08-20,,,67.925,2.16666667,1.08333333,,,,,207.79166667,,,21.65416667,
2012-08-21,,,69.6625,10.95833333,9.16666667,,,,,198.45833333,,,21.93375,
2012-08-22,,,73.325,20.08333333,10.83333333,,,,,162.54166667,,,20.72583333,
2012-08-23,,,73.89166667,21.125,20.0,,,,,189.33333333,,,20.21541667,
2012-08-24,,,75.7625,29.25,19.125,,,,,112.5,,,20.25208333,
2012-08-25,,,71.51666667,25.875,13.91666667,,,,,168.54166667,,,21.07541667,
2012-08-26,,,61.05,4.83333333,2.58333333,,,,,211.66666667,,,22.39125,
2012-08-27,,,57.37777778,14.66666667,6.22222222,,,,,279.33333333,,,22.73666667,
2012-08-28,,,,,,,,,,,,,,
2012-08-29,,,41.26,6.8,8.86666667,,,,,252.4,,,25.14866667,
2012-08-30,,,48.816125,19.08333333,13.625,,,,,226.27720833,,,23.036875,
2012-08-31,,,52.76175,13.625,11.625,,,,,208.816,,,22.782375,
2012-09-01,,,54.175,16.41666667,11.58333333,,,,,199.16666667,,,22.63458333,
2012-09-02,,,54.49166667,9.45833333,7.95833333,,,,,197.70833333,,,22.72916667,
2012-09-03,,,55.70909091,16.18181818,8.5,,,,,166.09090909,,,22.77136364,
2012-09-04,,,,,,,,,,,,,,
2012-09-05,,,69.20666667,13.2,16.4,,,,,175.06666667,,,21.04466667,
2012-09-06,,,59.92916667,20.08333333,7.45833333,,,,,198.0,,,22.52375,
2012-09-07,,,58.75416667,19.375,16.375,,,,,177.20833333,,,22.40291667,
2012-09-08,,,59.77916667,16.125,9.70833333,,,,,196.0,,,22.52125,
2012-09-09,,,52.9,13.33333333,5.45833333,,,,,243.66666667,,,23.18833333,
2012-09-10,,,58.48333333,11.33333333,8.375,,,,,229.25,,,22.38125,
2012-09-11,,,57.975,8.58333333,6.54166667,,,,,199.625,,,23.15791667,
2012-09-12,,,56.68454167,10.91666667,9.16666667,,,,,143.77108333,,,23.23275,
2012-09-13,,,55.500625,11.95833333,9.625,,,,,146.12445833,,,22.942625,
2012-09-14,,,48.16795833,13.25,14.79166667,,,,,241.61541667,,,22.9345,
2012-09-15,,,48.98304167,16.29166667,14.375,,,,,208.92841667,,,22.80795833,
2012-09-16,,,51.161875,7.54166667,8.45833333,,,,,184.272125,,,23.193625,
2012-09-17,,,63.054375,13.04166667,10.54166667,,,,,118.69383333,,,21.38770833,
2012-09-18,,,66.06416667,15.375,10.0,,,,,185.01895833,,,21.45733333,
2012-09-19,,,65.29654167,7.08333333,9.5,,,,,204.08254167,,,22.34954167,
2012-09-20,,,70.196625,8.125,12.08333333,,,,,112.11204167,,,21.73133333,
2012-09-21,,,64.74429167,8.04166667,11.75,,,,,184.35983333,,,22.01629167,
2012-09-22,,,71.23208333,9.58333333,11.33333333,,,,,150.83770833,,,20.925,
2012-09-23,,,63.66945833,3.125,1.5,,,,,175.85895833,,,22.31916667,
2012-09-24,,,75.7605,17.58333333,13.625,,,,,91.47955,,,19.81345,
2012-09-25,,,,11.125,15.58333333,,,,,,,,,
