Fecha,PM10
2017-09-07,33.4
2017-09-08,
2017-09-09,
2017-09-10,27.0
2017-09-11,
2017-09-12,
2017-09-13,40.0
2017-09-14,
2017-09-15,
2017-09-16,35.6
2017-09-17,
2017-09-18,
2017-09-19,53.3
2017-09-20,
2017-09-21,
2017-09-22,54.0
2017-09-23,
2017-09-24,
2017-09-25,
2017-09-26,
2017-09-27,
2017-09-28,45.8
2017-09-29,
2017-09-30,
2017-10-01,28.3
2017-10-02,
2017-10-03,
2017-10-04,31.7
2017-10-05,
2017-10-06,
2017-10-07,40.6
2017-10-08,
2017-10-09,
2017-10-10,42.2
2017-10-11,
2017-10-12,
2017-10-13,39.1
2017-10-14,
2017-10-15,
2017-10-16,
2017-10-17,
2017-10-18,
2017-10-19,53.4
2017-10-20,
2017-10-21,
2017-10-22,29.3
2017-10-23,
2017-10-24,
2017-10-25,42.0
2017-10-26,
2017-10-27,
2017-10-28,22.7
2017-10-29,
2017-10-30,
2017-10-31,34.1
2017-11-01,
2017-11-02,
2017-11-03,35.5
2017-11-04,
2017-11-05,
2017-11-06,19.0
2017-11-07,
2017-11-08,
2017-11-09,41.5
2017-11-10,
2017-11-11,
2017-11-12,31.7
2017-11-13,
2017-11-14,
2017-11-15,20.1
2017-11-16,
2017-11-17,
2017-11-18,16.2
2017-11-19,
2017-11-20,
2017-11-21,36.0
2017-11-22,
2017-11-23,
2017-11-24,34.0
2017-11-25,
2017-11-26,
2017-11-27,31.9
2017-11-28,
2017-11-29,
2017-11-30,49.2
2017-12-01,
2017-12-02,
2017-12-03,32.5
2017-12-04,
2017-12-05,
2017-12-06,40.5
2017-12-07,
2017-12-08,
2017-12-09,22.8
2017-12-10,
2017-12-11,
2017-12-12,20.0
2017-12-13,
2017-12-14,
2017-12-15,44.6
2017-12-16,
2017-12-17,
2017-12-18,
2017-12-19,
2017-12-20,41.8
2017-12-21,
2017-12-22,
2017-12-23,
2017-12-24,37.0
2017-12-25,
2017-12-26,
2017-12-27,23.5
2017-12-28,
2017-12-29,
2017-12-30,
2017-12-31,
2018-01-01,
2018-01-02,
2018-01-03,
2018-01-04,
2018-01-05,
2018-01-06,
2018-01-07,
2018-01-08,
2018-01-09,
2018-01-10,
2018-01-11,
2018-01-12,
2018-01-13,
2018-01-14,
2018-01-15,
2018-01-16,
2018-01-17,
2018-01-18,
2018-01-19,
2018-01-20,
2018-01-21,
2018-01-22,
2018-01-23,
2018-01-24,
2018-01-25,
2018-01-26,
2018-01-27,
2018-01-28,
2018-01-29,
2018-01-30,
2018-01-31,
2018-02-01,53.5
2018-02-02,
2018-02-03,
2018-02-04,20.8
2018-02-05,
2018-02-06,
2018-02-07,42.3
2018-02-08,
2018-02-09,
2018-02-10,57.0
2018-02-11,
2018-02-12,
2018-02-13,47.1
2018-02-14,
2018-02-15,
2018-02-16,52.0
2018-02-17,
2018-02-18,
2018-02-19,39.7
2018-02-20,
2018-02-21,
2018-02-22,40.3
2018-02-23,
2018-02-24,
2018-02-25,43.7
2018-02-26,
2018-02-27,
2018-02-28,37.2
2018-03-01,
2018-03-02,
2018-03-03,42.7
2018-03-04,
2018-03-05,
2018-03-06,66.7
2018-03-07,
2018-03-08,
2018-03-09,36.0
2018-03-10,
2018-03-11,
2018-03-12,46.2
2018-03-13,
2018-03-14,
2018-03-15,61.1
2018-03-16,
2018-03-17,
2018-03-18,52.9
2018-03-19,
2018-03-20,
2018-03-21,52.5
2018-03-22,
2018-03-23,
2018-03-24,30.7
2018-03-25,
2018-03-26,
2018-03-27,
2018-03-28,
2018-03-29,
2018-03-30,
2018-03-31,
2018-04-01,
2018-04-02,
2018-04-03,
2018-04-04,
2018-04-05,
2018-04-06,
2018-04-07,
2018-04-08,34.5
2018-04-09,
2018-04-10,
2018-04-11,26.8
2018-04-12,
2018-04-13,
2018-04-14,28.9
2018-04-15,
2018-04-16,
2018-04-17,45.8
2018-04-18,
2018-04-19,
2018-04-20,48.6
2018-04-21,
2018-04-22,
2018-04-23,28.9
2018-04-24,
