Fecha,CO,DViento,HAire10,HAire2,NO,NO2,NOx,P,PLiquida,PM10,PM2.5,RGlobal,SO2,TAire10,TAire2,VViento
2012-03-01,,,,,,26.08695652,,,,,,,,,,
2012-03-02,,,,,,30.54166667,,,,,,,,,,
2012-03-03,,,,,,24.54166667,,,,,,,,,,
2012-03-04,,,,,,20.33333333,,,,,,,,,,
2012-03-05,,,,,,28.54166667,,,,,,,,,,
2012-03-06,,,,,,22.41666667,,,,,,,,,,
2012-03-07,,,,,,23.58333333,,,,,,,,,,
2012-03-08,,,,,,30.83333333,,,,,,,,,,
2012-03-09,,,,,,33.5,,,,,,,,,,
2012-03-10,,,,,,57.0,,,,,,,,,,
2012-03-11,,,,,,28.125,,,,,,,,,,
2012-03-12,,,,,,9.91666667,,,,,,,,,,
2012-03-13,,,,,,0.0,,,,,,,,,,
2012-03-14,,,,,,8.45833333,,,,,,,,,,
2012-03-15,,,,,,17.29166667,,,,,,,,,,
2012-03-16,,,,,,31.375,,,,,,,,,,
2012-03-17,,,,,,34.25,,,,,,,,,,
2012-03-18,,,,,,22.08333333,,,,,,,,,,
2012-03-19,,,,,,22.375,,,,,,,,,,
2012-03-20,,,,,,26.79166667,,,,,,,,,,
2012-03-21,,,,,,36.125,,,,,,,,,,
2012-03-22,,,,,,33.91666667,,,,,,,,,,
2012-03-23,,,,,,33.125,,,,,,,,,,
2012-03-24,,,,,,34.83333333,,,,,,,,,,
2012-03-25,,,,,,23.625,,,,,,,,,,
2012-03-26,,,,,,22.125,,,,,,,,,,
2012-03-27,,,,,,15.20833333,,,,,,,,,,
2012-03-28,,,,,,15.29166667,,,,,,,,,,
2012-03-29,,,,,,16.875,,,,,,,,,,
2012-03-30,,,,,,19.58333333,,,,,,,,,,
2012-03-31,,,,,,14.08333333,,,,,,,,,,
2012-04-01,,,,,,14.0,,,,,,,,,,
2012-04-02,,,,,,,,,,,,,,,,
2012-04-03,,,,,,,,,,,,,,,,
2012-04-04,,,,,,,,,,,,,,,,
2012-04-05,,,,,,,,,,,,,,,,
2012-04-06,,,,,,,,,,,,,,,,
2012-04-07,,,,,,,,,,,,,,,,
2012-04-08,,,,,,,,,,,,,,,,
2012-04-09,,,,,,15.26666667,,,,,,,,,,
2012-04-10,,,,,,17.39130435,,,,,,,,,,
2012-04-11,,,,,,13.625,,,,,,,,,,
2012-04-12,,,,,,10.90909091,,,,,,,,,,
2012-04-13,,,,,,19.44444444,,,,,,,,,,
2012-04-14,,,,,,13.375,,,,,,,,,,
2012-04-15,,,,,,10.91666667,,,,,,,,,,
2012-04-16,,,,,,13.08333333,,,,,,,,,,
2012-04-17,,,,,,16.70833333,,,,,,,,,,
2012-04-18,,,,,,14.875,,,,,,,,,,
2012-04-19,,,,,,14.625,,,,,,,,,,
2012-04-20,,,,,,14.41666667,,,,,,,,,,
2012-04-21,,,,,,17.375,,,,,,,,,,
2012-04-22,,,,,,11.125,,,,,,,,,,
2012-04-23,,,,,,11.2,,,,,,,,,,
2012-04-24,,,,,,12.91666667,,,,,,,,,,
2012-04-25,,,,,,13.75,,,,,,,,,,
2012-04-26,,,,,,13.5,,,,,,,,,,
2012-04-27,,,,,,13.45833333,,,,,,,,,,
2012-04-28,,,,,,13.33333333,,,,,,,,,,
2012-04-29,,,,,,10.41666667,,,,,,,,,,
2012-04-30,,,,,,12.83333333,,,,,,,,,,
2012-05-01,,,,,,8.875,,,,,,,,,,
2012-05-02,,,,,,12.79166667,,,,,,,,,,
2012-05-03,,,,,,17.58333333,,,,,,,,,,
2012-05-04,,,,,,16.04166667,,,,,,,,,,
2012-05-05,,,,,,23.0,,,,,,,,,,
