Fecha,DViento,HAire10,NO,NO2,P,PLiquida,PM10,PM2.5,VViento
2019-01-01,160.375,58.9873125,18.15637173,15.36392969,22.23181944,0.0,37.59992941,38.375,1.34708333
2019-01-02,194.54166667,80.49499306,41.96517152,23.26371633,20.97345139,0.04041667,62.20942273,21.625,1.76291667
2019-01-03,224.375,77.61778472,55.84795144,25.93168225,21.00596528,0.06375,67.49065217,26.25,1.36666667
2019-01-04,172.5,93.13467647,42.02374546,26.54085272,19.24366667,0.30333333,43.9106,23.375,1.009375
2019-01-05,186.5,66.32243055,28.46493636,25.32675057,23.21250695,0.0,44.4171,32.45833333,1.63
2019-01-06,171.70833333,89.21683333,12.95531663,13.42598425,19.22393056,0.33125,35.19210952,25.5,1.29041667
2019-01-07,215.0,80.43992361,16.70420205,11.26572438,21.08482639,0.06208333,30.86670435,26.04166667,1.53458333
2019-01-08,185.79166667,71.94602083,48.28751334,26.67642329,22.16064583,0.0,57.67280833,33.70833333,1.42625
2019-01-09,,,40.8107355,16.94763815,,0.0,,26.5,
2019-01-10,222.45833333,75.11251667,42.68091624,21.60527835,20.93809861,0.00875,41.3382875,28.41666667,2.03291667
2019-01-11,198.58333333,80.981875,36.76985463,17.05833291,21.0455625,0.03166667,58.50562917,22.08333333,1.30625
2019-01-12,185.04347826,77.00423863,,,22.25657662,0.00291667,39.07830417,24.95652174,1.12347826
2019-01-13,,,,,,,,20.5,
2019-01-14,,,55.8763247,51.43397332,,,,32.70833333,
2019-01-15,,,43.39613971,37.80694534,,,,32.5,
2019-01-16,,,33.70852461,38.92226165,,,,30.86956522,
2019-01-17,,,42.84029541,35.23864178,,,,33.25,
2019-01-18,,,31.89930497,36.90435856,,,,29.875,
2019-01-19,,,27.62213494,34.49377537,,,,29.0,
2019-01-20,,,18.85684286,26.18013298,,,,24.54166667,
2019-01-21,,,25.06375719,32.89778272,,,,24.79166667,
2019-01-22,,,34.72583226,33.16848545,,,,28.86956522,
2019-01-23,,,36.84944672,35.22408418,,,,30.33333333,
2019-01-24,,,47.39584017,36.0595893,,,,31.08333333,
2019-01-25,,,45.39736317,34.41279188,,,,33.75,
2019-01-26,,,44.84506028,32.0257453,,,,32.33333333,
2019-01-27,,,20.53377356,26.41449621,,,,29.0,
2019-01-28,,,48.65756859,40.84750117,,,,37.39130435,
2019-01-29,,,35.14186973,34.20252155,,,,34.625,
2019-01-30,,,23.98224941,35.29676759,,,,30.08333333,
2019-01-31,,,17.87733145,36.85896988,,,,33.0,
2019-02-01,200.125,59.62754167,49.81150759,39.31052787,21.97855429,0.0,44.4856913,41.13043478,1.78833333
