Fecha,PM10
2014-03-20,63.09658825
2014-03-21,
2014-03-22,
2014-03-23,43.2607161
2014-03-24,
2014-03-25,
2014-03-26,63.79314845
2014-03-27,
2014-03-28,
2014-03-29,71.57374722
2014-03-30,
2014-03-31,
2014-04-01,78.67245887
2014-04-02,
2014-04-03,
2014-04-04,66.8541031
2014-04-05,
2014-04-06,
2014-04-07,59.21480555
2014-04-08,
2014-04-09,
2014-04-10,65.44589243
2014-04-11,
2014-04-12,
2014-04-13,45.24904542
2014-04-14,
2014-04-15,
2014-04-16,66.38323715
2014-04-17,
2014-04-18,
2014-04-19,36.29248362
2014-04-20,
2014-04-21,
2014-04-22,66.12118303
2014-04-23,
2014-04-24,
2014-04-25,52.86410614
2014-04-26,
2014-04-27,
2014-04-28,60.38985593
2014-04-29,
2014-04-30,
2014-05-01,41.7
2014-05-02,
2014-05-03,
2014-05-04,36.9
2014-05-05,
2014-05-06,
2014-05-07,66.5
2014-05-08,
2014-05-09,
2014-05-10,41.2
2014-05-11,
2014-05-12,
2014-05-13,36.7
2014-05-14,
2014-05-15,
2014-05-16,47.2
2014-05-17,
2014-05-18,
2014-05-19,55.3
2014-05-20,
2014-05-21,
2014-05-22,55.4
2014-05-23,
2014-05-24,
2014-05-25,31.9
2014-05-26,
2014-05-27,
2014-05-28,53.2
2014-05-29,
2014-05-30,
2014-05-31,39.4
2014-06-01,
2014-06-02,
2014-06-03,54.3
2014-06-04,
2014-06-05,
2014-06-06,55.6
2014-06-07,
2014-06-08,
2014-06-09,43.3
2014-06-10,
2014-06-11,
2014-06-12,51.8
2014-06-13,
2014-06-14,
2014-06-15,21.7
2014-06-16,
2014-06-17,
2014-06-18,52.8
2014-06-19,
2014-06-20,
2014-06-21,48.9
2014-06-22,
2014-06-23,
2014-06-24,39.5
2014-06-25,
2014-06-26,
2014-06-27,98.9
2014-06-28,
2014-06-29,
2014-06-30,29.6
2014-07-01,
2014-07-02,
2014-07-03,46.6
2014-07-04,
2014-07-05,
2014-07-06,23.2
2014-07-07,
2014-07-08,
2014-07-09,38.2
2014-07-10,
2014-07-11,
2014-07-12,53.2
2014-07-13,
2014-07-14,
2014-07-15,
2014-07-16,
2014-07-17,
2014-07-18,
2014-07-19,
2014-07-20,
2014-07-21,
2014-07-22,
2014-07-23,
2014-07-24,
2014-07-25,
2014-07-26,
2014-07-27,
2014-07-28,
2014-07-29,
2014-07-30,
2014-07-31,
2014-08-01,
2014-08-02,
2014-08-03,
2014-08-04,
2014-08-05,
2014-08-06,
2014-08-07,
2014-08-08,
2014-08-09,
2014-08-10,
2014-08-11,
2014-08-12,
2014-08-13,
2014-08-14,36.5
2014-08-15,
2014-08-16,
2014-08-17,27.9
2014-08-18,
2014-08-19,
2014-08-20,56.4
2014-08-21,
2014-08-22,
2014-08-23,39.2
2014-08-24,
2014-08-25,
2014-08-26,54.6
2014-08-27,
2014-08-28,
2014-08-29,51.5
2014-08-30,
2014-08-31,
2014-09-01,49.4
2014-09-02,
2014-09-03,
2014-09-04,45.4
2014-09-05,
2014-09-06,
2014-09-07,29.2
2014-09-08,
2014-09-09,
2014-09-10,43.3
2014-09-11,
2014-09-12,
2014-09-13,
2014-09-14,
2014-09-15,
2014-09-16,43.6
2014-09-17,
2014-09-18,
2014-09-19,53.4
2014-09-20,
2014-09-21,
2014-09-22,58.8
2014-09-23,
2014-09-24,
2014-09-25,51.0
2014-09-26,
2014-09-27,
2014-09-28,43.3
2014-09-29,
2014-09-30,
2014-10-01,49.1
2014-10-02,
2014-10-03,
2014-10-04,50.2
2014-10-05,
2014-10-06,
2014-10-07,74.7
