Fecha,CO,DViento,HAire10,NO,NO2,O3,P,PLiquida,PM2.5,SO2,VViento
2019-01-01,,162.83333333,68.99194674,3.80899755,14.2018306,27.82689093,22.68667361,0.0,16.6,23.94947684,1.59125
2019-01-02,,122.54166667,64.66644621,9.44243891,20.46545285,24.84310269,22.55018056,0.00208333,8.85714286,31.61985599,1.82125
2019-01-03,,189.75,69.10066454,17.59156503,26.44884525,20.42873104,22.50442361,0.0,9.05263158,39.4648099,1.50208333
2019-01-04,,133.41666667,81.87073747,14.47575035,24.60044549,25.41533605,22.94720139,0.0,14.45833333,45.13137425,1.69
2019-01-05,,115.95833333,84.09697863,6.28691741,17.07109567,27.85958998,22.85420833,0.0,14.91666667,18.43946053,1.96958333
2019-01-06,,88.29166667,86.38405738,7.24586509,12.742733,23.99292741,22.33466667,0.17916667,13.79166667,22.9020282,1.86041667
2019-01-07,,61.52173913,89.96081411,3.26525438,11.01307404,24.1891217,21.50678472,0.00416667,7.58333333,9.12153195,2.28304348
2019-01-08,,143.69565217,81.80040306,8.12082033,15.94878161,22.98743164,21.22100695,0.0675,11.36363636,20.50162505,1.97652174
2019-01-09,,170.86956522,86.97870348,18.12941402,28.26619924,18.52074151,20.11320139,0.06833333,11.0,10.26717891,1.96347826
2019-01-10,,84.47826087,91.96847332,,,24.44253933,19.5077554,0.0375,9.70833333,10.01622767,2.11782609
2019-01-11,,72.82608696,85.23880105,,,27.30370615,20.57222917,0.0,7.42857143,24.42955747,2.29826087
2019-01-12,,66.83333333,87.21570764,,,29.24112482,20.52895139,0.00375,8.75,21.06899307,2.16708333
2019-01-13,,65.2173913,86.82580411,,,33.00969024,20.90384028,0.0,7.69565217,17.83935974,2.10826087
2019-01-14,,87.5,86.44971131,9.80007108,19.74207087,24.09102455,20.0024375,0.00041667,14.36363636,35.98422534,1.27625
2019-01-15,,124.08695652,81.72917052,16.88401208,17.0398834,29.33922196,21.66906944,0.0,19.20833333,30.22325779,1.77086957
2019-01-16,,95.75,87.32858065,7.58995926,16.57008046,34.15415697,21.95265278,0.1375,17.25,28.44477728,1.77583333
2019-01-17,,92.69565217,94.79881991,12.32140781,20.1076321,23.8212574,20.66755556,0.02625,15.58333333,28.91394699,1.44086957
2019-01-18,,102.57142857,84.96200316,26.33711613,17.80540697,25.095034,21.60022464,0.0,20.6,43.74236626,1.88
2019-01-19,,91.54166667,84.74433914,9.24399682,14.43808993,28.66071669,22.51522222,0.0,20.20833333,33.61655497,1.68958333
2019-01-20,,124.375,82.53765976,14.63828162,17.03694607,26.73147278,22.41459722,0.01458333,22.0,60.57744666,1.51083333
2019-01-21,,78.43478261,89.47124134,9.19396215,14.5461515,30.23027105,21.77190972,0.00333333,13.0,39.3229679,2.02782609
2019-01-22,,83.69565217,79.77264583,10.84166541,14.06347823,29.50271721,23.30836806,0.00041667,17.70833333,21.94186694,2.01956522
2019-01-23,,105.65217391,73.73042437,12.7145526,19.37692063,35.46211894,23.97840972,0.0,15.91304348,31.43437029,1.85956522
2019-01-24,,106.79166667,79.23364398,11.95417344,17.08294233,35.3394975,23.60689583,0.00166667,18.66666667,48.45541078,2.09625
2019-01-25,,91.75,88.4632591,8.94223525,17.24324829,27.17290995,22.77271528,0.00875,14.45833333,34.30394314,1.505
2019-01-26,,136.95652174,73.29100892,19.77888145,15.39843101,31.46466016,23.95874306,0.00083333,16.625,32.25268954,1.87652174
2019-01-27,,79.52173913,88.66946253,1.78188765,5.40681702,35.78910943,22.95595833,0.0,13.58333333,11.14005278,2.36695652
2019-01-28,,94.875,95.07948001,7.54858739,14.0654523,21.32795489,21.39414583,0.00708333,15.20833333,18.57039161,1.7675
2019-01-29,,131.73913043,78.96755328,14.47649645,11.5189075,31.57910684,22.15388194,0.0,18.53846154,27.92105296,1.98565217
2019-01-30,,102.75,84.06782239,15.16219876,16.60194952,30.99052395,21.35177778,0.0,,35.35139178,2.49708333
2019-01-31,,59.79166667,85.94607255,6.70013401,15.18164004,35.20052655,21.89129167,0.0,,31.19432997,2.15
2019-02-01,,108.0,84.69093434,8.26056383,15.92444173,39.09171341,22.65486616,0.0025,,27.79012188,1.91625
2019-02-02,,89.625,85.3788,12.08017742,17.55001559,32.4129326,22.37291667,0.0,28.16666667,33.3983365,2.19416667
2019-02-03,,102.29166667,81.62702829,9.83338295,17.31988638,32.13499068,22.31373611,0.0,23.08333333,41.24329041,1.95958333
2019-02-04,,90.91666667,85.26323178,9.07593019,16.41185898,36.63928471,22.65617361,0.0,29.08333333,26.82996062,2.31041667
2019-02-05,,56.91666667,86.6462043,10.89759401,17.85963488,35.91173087,22.60415278,0.0,31.22727273,28.10653865,1.89875
2019-02-06,,88.04166667,85.38278926,13.03712698,18.50691523,34.66916699,22.25704167,0.0,36.16666667,28.51024282,2.40583333
2019-02-07,,64.08333333,87.27455189,8.5158597,20.70333404,39.10806293,22.47223611,0.0,38.83333333,26.82996062,2.13333333
2019-02-08,,98.79166667,86.75796429,12.17674112,19.96278477,38.88734435,22.07928472,0.00416667,38.29166667,27.92105296,1.86083333
2019-02-09,,75.125,88.1495519,9.97035557,19.58150575,43.6287065,21.75589583,0.02,32.5,25.06239103,2.1
2019-02-10,,88.375,88.67462821,2.69636866,10.01368471,44.45435749,21.72021528,0.0175,25.29166667,13.77394969,1.56291667
2019-02-11,,73.75,84.08038843,7.70108302,13.87423371,40.1789568,23.14961111,0.01333333,31.16666667,,2.03291667
2019-02-12,,100.375,84.15618617,12.96885606,15.61847555,41.1108797,23.25145211,0.00708333,39.33333333,,1.5275
2019-02-13,,79.86956522,82.70523626,17.03571358,12.78021137,35.60926466,23.69716279,0.0,37.08333333,4.71351891,2.14130435
2019-02-14,,95.04166667,84.06216126,,,40.25252966,22.62865972,0.14958333,26.0,12.55847282,2.07375
2019-02-15,,113.625,81.55234722,,,36.80277996,22.89006945,0.0,34.83333333,17.01012956,2.13583333
2019-02-16,,79.91666667,84.17458138,,,35.98530373,22.99471528,0.01625,36.16666667,23.90583315,2.215
2019-02-17,,62.54166667,88.96253119,,,34.5383708,22.13595833,0.0,32.83333333,14.69701381,2.03208333
2019-02-18,607.66466872,125.625,83.8836323,,,34.55472032,22.44995139,0.00125,36.60869565,23.32755421,1.79333333
2019-02-19,815.72376727,200.45833333,92.64037318,,,23.57601453,20.49703472,0.235,36.83333333,18.23215299,1.01041667
2019-02-20,648.76276229,148.66666667,83.2216247,,,27.0748128,21.51713736,0.34083333,20.875,18.38490591,1.30875
