Fecha,PM10,PST
2001-04-05,,
2001-04-06,,
2001-04-07,,
2001-04-08,,90.14853174
2001-04-09,,
2001-04-10,,
2001-04-11,,93.69847029
2001-04-12,,
2001-04-13,,
2001-04-14,,61.48415638
2001-04-15,,
2001-04-16,,
2001-04-17,,65.02511457
2001-04-18,,
2001-04-19,,
2001-04-20,,85.8256647
2001-04-21,,
2001-04-22,,
2001-04-23,,
2001-04-24,,
2001-04-25,,
2001-04-26,,88.6047342
2001-04-27,,
2001-04-28,,
2001-04-29,,62.24274768
2001-04-30,,
2001-05-01,,
2001-05-02,,68.76690711
2001-05-03,,
2001-05-04,,
2001-05-05,,81.35282788
2001-05-06,,
2001-05-07,,
2001-05-08,,51.49680092
2001-05-09,,
2001-05-10,,
2001-05-11,,67.10768356
2001-05-12,,
2001-05-13,,
2001-05-14,,63.40518258
2001-05-15,,
2001-05-16,,
2001-05-17,,66.68207274
2001-05-18,,
2001-05-19,,
2001-05-20,,67.80356756
2001-05-21,,
2001-05-22,,
2001-05-23,,71.44794256
2001-05-24,,
2001-05-25,,
2001-05-26,,83.91815953
2001-05-27,,
2001-05-28,,
2001-05-29,,60.47786578
2001-05-30,,
2001-05-31,,
2001-06-01,,74.0497382
2001-06-02,,
2001-06-03,,
2001-06-04,,48.74343125
2001-06-05,,
2001-06-06,,
2001-06-07,,79.83428358
2001-06-08,,
2001-06-09,,
2001-06-10,,78.9195941
2001-06-11,,
2001-06-12,,
2001-06-13,,69.72180115
2001-06-14,,
2001-06-15,,
2001-06-16,,88.11285201
2001-06-17,,
2001-06-18,,
2001-06-19,,55.06145074
2001-06-20,,
2001-06-21,,
2001-06-22,,82.07295708
2001-06-23,,
2001-06-24,,
2001-06-25,,
2001-06-26,,
2001-06-27,,
2001-06-28,,
2001-06-29,,
2001-06-30,,
2001-07-01,,66.31556634
2001-07-02,,
2001-07-03,,
2001-07-04,,
2001-07-05,,
2001-07-06,,
2001-07-07,,73.69477319
2001-07-08,,
2001-07-09,,
2001-07-10,,82.51854408
2001-07-11,,
2001-07-12,,
2001-07-13,,69.24183429
2001-07-14,,
2001-07-15,,
2001-07-16,,85.67377115
2001-07-17,,
2001-07-18,,
2001-07-19,,51.47280704
2001-07-20,,
2001-07-21,,
2001-07-22,,57.93291504
2001-07-23,,
2001-07-24,,
2001-07-25,,93.0974742
2001-07-26,,
2001-07-27,,
2001-07-28,,
2001-07-29,,
2001-07-30,,
2001-07-31,,81.40121183
2001-08-01,,
2001-08-02,,
2001-08-03,,
2001-08-04,,
2001-08-05,,
2001-08-06,,75.99608956
2001-08-07,,
2001-08-08,,
2001-08-09,,
2001-08-10,,
2001-08-11,,
2001-08-12,,
2001-08-13,,
2001-08-14,,
2001-08-15,,
2001-08-16,,
2001-08-17,,
2001-08-18,,
2001-08-19,,
2001-08-20,,
2001-08-21,,
2001-08-22,,
2001-08-23,,
2001-08-24,,88.28944889
2001-08-25,,
2001-08-26,,
2001-08-27,,68.96133745
2001-08-28,,
2001-08-29,,
2001-08-30,,
2001-08-31,,
2001-09-01,,
2001-09-02,,65.12029037
2001-09-03,,
2001-09-04,,
2001-09-05,,83.75062898
2001-09-06,,
2001-09-07,,
2001-09-08,,77.68262872
2001-09-09,,
2001-09-10,,
