Fecha,DViento,HAire10,HAire2,P,PLiquida,PM10,PST,RGlobal,TAire10,TAire2,TMPR_AIR_10CM,VViento
2008-01-01,,,,,,47.77910609,,,,,,
2008-01-02,,,,,,35.954415,,,,,,
2008-01-03,,,,,,39.68864542,,,,,,
2008-01-04,,,,,,38.121695,,,,,,
2008-01-05,,,,,,55.4599125,,,,,,
2008-01-06,,,,,,39.70899542,,,,,,
2008-01-07,,,,,,41.76434792,,,,,,
2008-01-08,,,,,,45.13227625,,,,,,
2008-01-09,,,,,,33.35978875,,,,,,
2008-01-10,,,,,,45.67155042,,,,,,
2008-01-11,,,,,,32.08791375,,,,,,
2008-01-12,,,,,,42.93447375,,,,,,
2008-01-13,,,,,,36.8192925,,,,,,
2008-01-14,,,,,,50.7488825,,,,,,
2008-01-15,,,,,,56.68091333,,,,,,
2008-01-16,,,,,,54.32031167,,,,,,
2008-01-17,,,,,,56.1721625,,,,,,
2008-01-18,,,,,,,,,,,,
2008-01-19,,,,,,,,,,,,
2008-01-20,,,,,,,,,,,,
2008-01-21,,,,,,,,,,,,
2008-01-22,,,,,,,,,,,,
2008-01-23,,,,,,,,,,,,
2008-01-24,,,,,,,,,,,,
2008-01-25,,,,,,,,,,,,
2008-01-26,,,,,,,,,,,,
2008-01-27,,,,,,,,,,,,
2008-01-28,,,,,,,,,,,,
2008-01-29,,,,,,,,,,,,
2008-01-30,,,,,,,,,,,,
2008-01-31,,,,,,,,,,,,
2008-02-01,,,,,,,,,,,,
2008-02-02,,,,,,,,,,,,
2008-02-03,,,,,,,,,,,,
2008-02-04,,,,,,,,,,,,
2008-02-05,,,,,,,,,,,,
2008-02-06,,,,,,,,,,,,
2008-02-07,,,,,,,,,,,,
2008-02-08,,,,,,,,,,,,
2008-02-09,,,,,,,,,,,,
2008-02-10,,,,,,,,,,,,
2008-02-11,,,,,,,,,,,,
2008-02-12,,,,,,,,,,,,
2008-02-13,,,,,,,,,,,,
2008-02-14,,,,,,,,,,,,
2008-02-15,,,,,,,,,,,,
2008-02-16,,,,,,,,,,,,
2008-02-17,,,,,,,,,,,,
2008-02-18,,,,,,,,,,,,
2008-02-19,,,,,,,,,,,,
2008-02-20,,,,,,,,,,,,
2008-02-21,,,,,,,,,,,,
2008-02-22,,,,,,,,,,,,
2008-02-23,,,,,,,,,,,,
2008-02-24,,,,,,,,,,,,
2008-02-25,,,,,,,,,,,,
2008-02-26,,,,,,,,,,,,
2008-02-27,,,,,,,,,,,,
2008-02-28,,,,,,,,,,,,
2008-02-29,,,,,,,,,,,,
2008-03-01,,,,,,,,,,,,
2008-03-02,,,,,,,,,,,,
2008-03-03,,,,,,,,,,,,
2008-03-04,,,,,,,,,,,,
2008-03-05,,,,,,,,,,,,
2008-03-06,,,,,,,,,,,,
2008-03-07,,,,,,,,,,,,
2008-03-08,,,,,,,,,,,,
2008-03-09,,,,,,,,,,,,
2008-03-10,,,,,,,,,,,,
2008-03-11,,,,,,,,,,,,
2008-03-12,,,,,,,,,,,,
2008-03-13,,,,,,,,,,,,
2008-03-14,,,,,,,,,,,,
2008-03-15,,,,,,,,,,,,
2008-03-16,,,,,,,,,,,,
2008-03-17,,,,,,,,,,,,
2008-03-18,,,,,,,,,,,,
2008-03-19,,,,,,,,,,,,
2008-03-20,,,,,,,,,,,,
2008-03-21,,,,,,,,,,,,
2008-03-22,,,,,,,,,,,,
2008-03-23,,,,,,,,,,,,
2008-03-24,,,,,,,,,,,,
2008-03-25,,,,,,,,,,,,
2008-03-26,,,,,,,,,,,,
2008-03-27,,,,,,,,,,,,
2008-03-28,,,,,,,,,,,,
2008-03-29,,,,,,,,,,,,
2008-03-30,,,,,,,,,,,,
2008-03-31,,,,,,,,,,,,
2008-04-01,,,,,,,,,,,,
2008-04-02,,,,,,48.25785636,,,,,,
2008-04-03,,,,,,77.83476538,,,,,,
2008-04-04,,,,,,56.64311933,,,,,,
2008-04-05,,,,,,57.40333771,,,,,,
2008-04-06,,,,,,47.48270513,,,,,,
2008-04-07,,,,,,75.84045692,,,,,,
2008-04-08,,,,,,75.71536794,,,,,,
2008-04-09,,,,,,51.72106073,,,,,,
2008-04-10,,,,,,64.69882325,,,,,,
2008-04-11,,,,,,76.07448388,,,,,,
2008-04-12,,,,,,68.86040138,,,,,,
2008-04-13,,,,,,133.21735,,,,,,
2008-04-14,,,,,,66.41840046,,,,,,
2008-04-15,,,,,,51.68498442,,,,,,
2008-04-16,,,,,,58.58364046,,,,,,
2008-04-17,,,,,,84.46886838,,,,,,
2008-04-18,,,,,,77.93252904,,,,,,
2008-04-19,,,,,,66.61172396,,,,,,
2008-04-20,,,,,,40.75702317,,,,,,
2008-04-21,,,,,,66.225074,,,,,,
2008-04-22,,,,,,94.11477858,,,,,,
2008-04-23,,,,,,61.42246771,,,,,,
2008-04-24,,,,,,39.77004663,,,,,,
2008-04-25,,,,,,56.12128775,,,,,,
2008-04-26,,,,,,38.49817063,,,,,,
2008-04-27,,,,,,39.85144717,,,,,,
2008-04-28,,,,,,60.08954317,,,,,,
2008-04-29,,,,,,47.94058071,,,,,,
2008-04-30,,,,,,46.73860274,,,,,,
2008-05-01,,,,,,28.99471033,,,,,,
2008-05-02,,,,,,40.91982308,,,,,,
2008-05-03,,,,,,29.16768538,,,,,,
2008-05-04,,,,,,24.61945608,,,,,,
2008-05-05,,,,,,27.90598446,,,,,,
2008-05-06,,,,,,40.97069846,,,,,,
2008-05-07,,,,,,45.38665321,,,,,,
2008-05-08,,,,,,71.11925567,,,,,,
2008-05-09,,,,,,54.58486242,,,,,,
2008-05-10,,,,,,58.34961654,,,,,,
2008-05-11,,,,,,41.33699963,,,,,,
2008-05-12,,,,,,39.73952183,,,,,,
2008-05-13,,,,,,53.03472196,,,,,,
2008-05-14,,,,,,44.61335225,,,,,,
2008-05-15,,,,,,36.78876958,,,,,,
2008-05-16,,,,,,35.38461754,,,,,,
2008-05-17,,,,,,36.98209388,,,,,,
2008-05-18,,,,,,44.7659765,,,,,,
2008-05-19,,,,,,44.29659901,,,,,,
2008-05-20,,,,,,28.43508529,,,,,,
2008-05-21,,,,,,30.64306229,,,,,,
2008-05-22,,,,,,62.08384438,,,,,,
2008-05-23,,,,,,45.63085308,,,,,,
2008-05-24,,,,,,29.58486133,,,,,,
2008-05-25,,,,,,19.88807583,,,,,,
2008-05-26,,,,,,29.11681063,,,,,,
2008-05-27,,,,,,43.98250146,,,,,,
2008-05-28,,,,,,42.13065,,,,,,
2008-05-29,,,,,,46.33292817,,,,,,
2008-05-30,,,,,,43.87057583,,,,,,
2008-05-31,,,,,,48.85633233,,,,,,
2008-06-01,,,,,,28.59788518,,,,,,
2008-06-02,,,,,,24.01913029,,,,,,
2008-06-03,,,,,,35.21164242,,,,,,
2008-06-04,,,,,,35.77126713,,,,,,
2008-06-05,,,,,,31.52386409,,,,,,
2008-06-06,,,,,,40.13634683,,,,,,
2008-06-07,,,,,,40.17704708,,,,,,
2008-06-08,,,,,,4.76801,,,,,,
2008-06-09,,,,,,28.98453508,,,,,,
2008-06-10,,,,,,34.44851621,,,,,,
2008-06-11,,,,,,51.60358429,,,,,,
2008-06-12,,,,,,57.51526618,,,,,,
2008-06-13,,,,,,34.70289133,,,,,,
2008-06-14,,,,,,46.26170213,,,,,,
2008-06-15,,,,,,43.00569979,,,,,,
2008-06-16,,,,,,28.37049584,,,,,,
2008-06-17,,,,,,53.30015557,,,,,,
2008-06-18,,,,,,34.23130148,,,,,,
2008-06-19,,,,,,36.45299354,,,,,,
2008-06-20,,,,,,40.665447,,,,,,
2008-06-21,,,,,,42.80219975,,,,,,
2008-06-22,,,,,,29.48311154,,,,,,
2008-06-23,,,,,,26.64428283,,,,,,
2008-06-24,,,,,,25.73870675,,,,,,
2008-06-25,,,,,,45.50875238,,,,,,
2008-06-26,,,,,,37.21611892,,,,,,
2008-06-27,,,,,,43.89313796,,,,,,
2008-06-28,,,,,,34.34676688,,,,,,
2008-06-29,,,,,,37.3952893,,,,,,
2008-06-30,,,,,,23.57142958,,,,,,
2008-07-01,,,,,,32.80016483,,,,,,
2008-07-02,,,,,,33.81427394,,,,,,
2008-07-03,,,,,,34.682541,,,,,,
2008-07-04,,,,,,35.5982925,,,,,,
2008-07-05,,,,,,25.31135643,,,,,,
2008-07-06,,,,,,26.15588279,,,,,,
2008-07-07,,,,,,26.013432,,,,,,
2008-07-08,,,,,,33.23769008,,,,,,
2008-07-09,,,,,,27.57020888,,,,,,
2008-07-10,,,,,,38.34554442,,,,,,
2008-07-11,,,,,,53.23158596,,,,,,
2008-07-12,,,,,,29.33048588,,,,,,
2008-07-13,,,,,,18.96214958,,,,,,
2008-07-14,,,,,,29.71713654,,,,,,
2008-07-15,,,,,,41.31664771,,,,,,
2008-07-16,,,,,,40.56369742,,,,,,
2008-07-17,,,,,,35.21164275,,,,,,
2008-07-18,,,,,,51.2881585,,,,,,
2008-07-19,,,,,,33.09524025,,,,,,
2008-07-20,,,,,,24.60928117,,,,,,
2008-07-21,,,,,,38.28449542,,,,,,
2008-07-22,,,,,,48.56479557,,,,,,
2008-07-23,,,,,,55.52096313,,,,,,
2008-07-24,,,,,,72.279206,,,,,,
2008-07-25,,,,,,44.70585136,,,,,,
2008-07-26,,,,,,33.65486479,,,,,,
2008-07-27,,,,,,25.759057,,,,,,
2008-07-28,,,,,,31.2739136,,,,,,
2008-07-29,,,,,,33.10541483,,,,,,
2008-07-30,,,,,,33.35979029,,,,,,
2008-07-31,,,,,,31.36548775,,,,,,
2008-08-01,,,,,,39.85144721,,,,,,
2008-08-02,,,,,,32.02686396,,,,,,
2008-08-03,,,,,,25.03663104,,,,,,
2008-08-04,,,,,,37.04314392,79.73513043,,,,,
2008-08-05,,,,,,32.62718958,,,,,,
2008-08-06,,,,,,36.35124333,,,,,,
2008-08-07,,,,,,30.653236,70.3837872,,,,,
2008-08-08,,,,,,49.68050642,,,,,,
2008-08-09,,,,,,51.01343388,,,,,,
2008-08-10,,,,,,30.02238708,52.95680755,,,,,
2008-08-11,,,,,,30.53113767,,,,,,
2008-08-12,,,,,,35.46747086,,,,,,
2008-08-13,,,,,,39.61742167,,,,,,
2008-08-14,,,,,,40.11599717,,,,,,
2008-08-15,,,,,,34.316241,,,,,,
2008-08-16,,,,,,37.13471933,63.10135193,,,,,
2008-08-17,,,,,,33.43934141,,,,,,
2008-08-18,,,,,,22.18392832,,,,,,
2008-08-19,,,,,,34.51604141,76.70501231,,,,,
2008-08-20,,,,,,47.68065532,,,,,,
2008-08-21,,,,,,53.82173604,,,,,,
2008-08-22,,,,,,41.30647396,71.75698601,,,,,
2008-08-23,,,,,,43.80952625,,,,,,
2008-08-24,,,,,,32.06756396,,,,,,
2008-08-25,,,,,,44.51160213,79.68156411,,,,,
2008-08-26,,,,,,42.58648987,,,,,,
2008-08-27,,,,,,60.70004271,,,,,,
2008-08-28,,,,,,50.22110922,94.70192659,,,,,
2008-08-29,,,,,,50.6776587,,,,,,
2008-08-30,,,,,,34.2551913,,,,,,
2008-08-31,,,,,,28.05860971,65.77118004,,,,,
2008-09-01,,,,,,27.24460896,,,,,,
2008-09-02,,,,,,53.50631063,,,,,,
2008-09-03,,,,,,51.19658513,91.13383142,,,,,
2008-09-04,,,,,,58.94994108,,,,,,
2008-09-05,,,,,,40.20757204,,,,,,
2008-09-06,,,,,,34.49939075,63.1633997,,,,,
2008-09-07,,,,,,37.002445,,,,,,
2008-09-08,,,,,,44.82702729,,,,,,
2008-09-09,,,,,,46.92307854,,,,,,
2008-09-10,,,,,,51.55270967,,,,,,
2008-09-11,,,,,,68.50427675,,,,,,
2008-09-12,,,,,,60.54122435,,,,,,
2008-09-13,,,,,,66.11314958,,,,,,
2008-09-14,,,,,,52.10215954,,,,,,
2008-09-15,,,,,,50.39275696,98.30912703,,,,,
2008-09-16,,,,,,42.07977467,,,,,,
2008-09-17,,,,,,49.77208254,,,,,,
2008-09-18,,,,,,52.80423642,,,,,,
2008-09-19,,,,,,52.41758563,,,,,,
2008-09-20,,,,,,54.83923796,,,,,,
2008-09-21,,,,,,32.12953909,55.10339698,,,,,
2008-09-22,,,,,,36.71754413,,,,,,
2008-09-23,,,,,,41.58119879,,,,,,
2008-09-24,,,,,,49.33455675,91.82497386,,,,,
2008-09-25,,,,,,42.74114941,,,,,,
2008-09-26,,,,,,42.60887563,,,,,,
2008-09-27,,,,,,36.91086867,65.58640032,,,,,
2008-09-28,,,,,,27.83475913,,,,,,
2008-09-29,,,,,,38.18274517,,,,,,
2008-09-30,,,,,,38.93569567,77.77395179,,,,,
2008-10-01,,,,,,39.28164688,,,,,,
2008-10-02,,,,,,45.47822729,,,,,,
2008-10-03,,,,,,42.37484946,89.3154778,,,,,
2008-10-04,,,,,,44.7924323,,,,,,
2008-10-05,,,,,,,,,,,,
2008-10-06,,,,,,,,,,,,
2008-10-07,,,,,,,,,,,,
2008-10-08,,,,,,,,,,,,
2008-10-09,,,,,,,,,,,,
2008-10-10,,,,,,44.78196614,,,,,,
2008-10-11,,,,,,36.58526808,,,,,,
2008-10-12,,,,,,19.86595661,40.58834077,,,,,
2008-10-13,,,,,,30.81249843,,,,,,
2008-10-14,,,,,,32.34140422,,,,,,
2008-10-15,,,,,,47.4542156,87.8731667,,,,,
2008-10-16,,,,,,33.55311604,,,,,,
2008-10-17,,,,,,35.781445,,,,,,
2008-10-18,,,,,,40.10582167,67.5017444,,,,,
2008-10-19,,,,,,28.08382617,,,,,,
2008-10-20,,,,,,29.03541008,,,,,,
2008-10-21,,,,,,34.93691733,82.05390506,,,,,
2008-10-22,,,,,,32.36263904,,,,,,
2008-10-23,,,,,,39.42409663,,,,,,
2008-10-24,,,,,,29.2411227,70.01581045,,,,,
2008-10-25,,,,,,38.019945,,,,,,
2008-10-26,,,,,,25.52503213,,,,,,
2008-10-27,,,,,,32.56613958,73.69267671,,,,,
2008-10-28,,,,,,24.41595592,,,,,,
2008-10-29,,,,,,30.40903675,,,,,,
2008-10-30,,,,,,34.01099088,87.03898261,,,,,
2008-10-31,,,,,,46.90272908,,,,,,
2008-11-01,,,,,,36.56713122,,,,,,
2008-11-02,,,,,,30.39841991,57.4551818,,,,,
2008-11-03,,,,,,21.09890229,,,,,,
2008-11-04,,,,,,34.24501583,,,,,,
2008-11-05,,,,,,32.128614,74.4663715,,,,,
2008-11-06,,,,,,31.74196346,,,,,,
2008-11-07,,,,,,41.16402317,,,,,,
2008-11-08,,,,,,32.74928979,83.00443602,,,,,
2008-11-09,,,,,,31.76231325,,,,,,
2008-11-10,,,,,,34.07204033,,,,,,
2008-11-11,,,,,,40.77737279,,,,,,
2008-11-12,,,,,,45.11192783,,,,,,
2008-11-13,,,,,,67.38502533,,,,,,
2008-11-14,,,,,,55.93813871,,,,,,
