Fecha,NO,NO2,PM10
2019-01-01,34.12397404,16.13146537,48.41666667
2019-01-02,28.54315163,15.1094718,34.95833333
2019-01-03,29.90441519,16.48163438,32.875
2019-01-04,38.74425555,16.35229391,40.45833333
2019-01-05,37.39002409,16.90026092,43.66666667
2019-01-06,41.77779369,12.44013788,37.5
2019-01-07,47.91065121,10.71836102,31.29166667
2019-01-08,52.25497072,13.87222793,36.70833333
2019-01-09,61.57119919,11.70969274,34.5
2019-01-10,45.45476174,12.31334496,32.0
2019-01-11,32.19344201,17.60521303,31.82608696
2019-01-12,32.77766876,18.79654719,28.70833333
2019-01-13,36.44687482,17.26502984,26.79166667
2019-01-14,59.94029825,18.89799594,34.5
2019-01-15,65.687157,19.1250412,42.25
2019-01-16,29.01989147,18.44028561,35.08695652
2019-01-17,41.63568162,16.82812951,35.375
2019-01-18,43.19814221,16.92731392,36.54166667
2019-01-19,33.64271008,17.18348222,36.41666667
2019-01-20,38.86980815,15.73580034,31.54166667
2019-01-21,28.57790403,18.09822906,27.25
2019-01-22,34.99158685,16.34570731,32.25
2019-01-23,41.62452078,18.44006623,39.66666667
2019-01-24,37.12627528,20.01694876,38.29166667
2019-01-25,36.14310491,17.90528211,33.79166667
2019-01-26,54.14976713,16.03149666,40.79166667
2019-01-27,36.08969235,14.29817088,33.70833333
2019-01-28,64.65427854,12.88100796,42.14285714
2019-01-29,54.7731539,17.99196172,42.75
2019-01-30,40.22625834,19.78935504,41.66666667
2019-01-31,30.84043103,18.87927791,44.16666667
2019-02-01,63.81626593,19.49444223,51.75
2019-02-02,49.5671868,16.40343625,43.625
2019-02-03,41.48577178,16.01919557,36.375
2019-02-04,41.01864692,17.52343897,47.625
2019-02-05,41.31929956,17.12179655,53.95833333
2019-02-06,38.46166604,17.92772965,53.83333333
2019-02-07,36.46789337,18.8920021,59.54166667
2019-02-08,40.38189679,19.8726969,63.08333333
2019-02-09,29.21685158,21.75934757,53.04166667
2019-02-10,30.85650283,18.52631491,40.5
2019-02-11,33.02356995,17.74834525,48.875
2019-02-12,60.94945946,15.17345237,64.72727273
2019-02-13,,,67.58333333
2019-02-14,,,45.25
2019-02-15,,,60.375
2019-02-16,,,60.625
2019-02-17,,,50.33333333
2019-02-18,,,58.5
2019-02-19,,,58.625
2019-02-20,,,45.58333333
2019-02-21,,,44.0
2019-02-22,,,47.875
2019-02-23,,,37.20833333
2019-02-24,,,49.83333333
2019-02-25,,,60.625
2019-02-26,,,66.125
2019-02-27,,,60.125
2019-02-28,,,50.70833333
2019-03-01,,,65.625
2019-03-02,,,46.5
2019-03-03,,,43.75
2019-03-04,,,60.29166667
2019-03-05,5.08832658,32.23917944,68.86956522
2019-03-06,9.73109209,31.89071759,63.58333333
2019-03-07,16.57849312,35.51136092,62.79166667
2019-03-08,20.20986326,36.09286255,57.29166667
2019-03-09,13.09154627,34.98314731,47.95833333
2019-03-10,19.39659662,33.65358464,38.54166667
2019-03-11,50.62762376,36.06931922,49.125
2019-03-12,45.43633787,39.10063192,56.0
2019-03-13,19.20125885,29.18080391,55.33333333
2019-03-14,7.26160326,36.70386643,68.08333333
2019-03-15,15.36662307,34.60525148,74.20833333
2019-03-16,7.75889372,35.63079591,78.58333333
2019-03-17,1.35104693,31.49508173,77.70833333
2019-03-18,4.77264259,43.4884086,61.45454545
2019-03-19,30.16241816,52.1359768,42.40909091
2019-03-20,37.86431797,44.36809021,54.45833333
2019-03-21,45.72112311,40.06455247,45.16666667
2019-03-22,59.17635857,47.8391052,52.125
2019-03-23,15.88387761,36.7125535,45.29166667
2019-03-24,23.59338115,48.18985811,41.125
2019-03-25,36.21902131,50.28393834,41.5
2019-03-26,23.93600633,44.77372543,56.58333333
2019-03-27,11.87424469,40.46828434,66.25
2019-03-28,10.79946401,42.98409123,57.91666667
2019-03-29,15.81732938,48.80547622,33.73913043
2019-03-30,20.20056908,36.1950773,38.04166667
2019-03-31,10.62679047,43.35680127,38.82608696
2019-04-01,26.10153668,61.59530249,32.33333333
2019-04-02,17.67181675,47.85786241,29.375
2019-04-03,23.1024774,39.30312532,39.83333333
2019-04-04,20.74267397,46.95080225,38.91666667
2019-04-05,16.28948302,50.60636,32.875
2019-04-06,37.82409647,55.22950291,33.625
2019-04-07,34.48225216,44.62798729,45.54166667
2019-04-08,23.52471874,59.7684696,46.45833333
2019-04-09,44.73337747,59.7848136,64.58333333
2019-04-10,28.68507805,53.71193164,59.125
2019-04-11,45.45837616,52.61342221,38.75
2019-04-12,,,44.08333333
2019-04-13,,,44.875
2019-04-14,,,36.875
2019-04-15,,,32.625
2019-04-16,,,34.125
2019-04-17,,,35.5
2019-04-18,,,22.91666667
2019-04-19,,,25.0
2019-04-20,,,26.25
2019-04-21,,,27.04166667
2019-04-22,,,25.0
2019-04-23,,,37.08333333
2019-04-24,16.63520827,53.37969744,30.71428571
2019-04-25,19.14951837,50.12136527,44.34782609
2019-04-26,20.07521059,36.78107443,29.625
2019-04-27,15.68693395,27.92956941,31.75
2019-04-28,14.42231223,25.86408109,27.33333333
2019-04-29,24.56953943,35.33046121,36.54166667
2019-04-30,15.36441572,32.94886674,40.375
2019-05-01,7.59499742,29.41330952,34.0
2019-05-02,15.61349437,37.76746194,47.04166667
2019-05-03,17.61667047,36.25252602,49.75
2019-05-04,9.60152387,34.3507928,47.54166667
2019-05-05,8.79435353,32.88999941,37.25
2019-05-06,18.04947915,35.80585422,39.04166667
2019-05-07,12.9496211,39.13730386,38.29166667
2019-05-08,52.1351814,46.86125678,40.16666667
2019-05-09,50.5431057,50.72237158,50.91666667
2019-05-10,23.96875642,32.0033459,25.45
2019-05-11,15.23153916,26.84617837,24.45833333
2019-05-12,13.73572673,29.60344082,22.0
2019-05-13,20.38264748,30.66501726,30.625
2019-05-14,20.38753801,26.95083951,28.08333333
2019-05-15,25.27266688,30.75599833,32.5
2019-05-16,57.52655831,33.07162806,45.25
2019-05-17,34.05420452,43.52715704,34.91666667
2019-05-18,38.21486545,39.37962043,41.83333333
2019-05-19,30.33553614,34.99265911,27.58333333
2019-05-20,25.20644798,49.80253193,34.875
2019-05-21,23.94263169,41.41614071,35.16666667
2019-05-22,54.76298446,37.21915684,37.45833333
2019-05-23,60.37569344,48.32067338,41.04166667
2019-05-24,38.81912447,36.97318984,40.20833333
2019-05-25,42.71640708,35.10133495,32.9
2019-05-26,,,
2019-05-27,19.10135508,46.99621554,33.5
2019-05-28,51.96270864,35.70475133,33.75
2019-05-29,54.87348721,44.10835044,46.39130435
2019-05-30,56.53949902,45.52456456,41.75
2019-05-31,52.37198011,51.60562919,51.29166667
2019-06-01,23.90937404,42.1110114,26.125
2019-06-02,36.34195071,29.21894941,30.625
2019-06-03,13.4566701,25.09688467,24.83333333
2019-06-04,26.44193293,27.89623723,32.04166667
2019-06-05,27.5580879,35.23285165,35.45833333
2019-06-06,47.69994447,47.68979188,49.0
2019-06-07,41.63311116,40.19535523,37.39130435
2019-06-08,42.39148576,37.8895272,39.20833333
2019-06-09,14.0408202,25.85994416,24.91666667
2019-06-10,14.23510763,23.45721173,33.83333333
2019-06-11,13.19215219,20.45576868,30.54166667
2019-06-12,21.81871757,27.83861868,32.77272727
2019-06-13,23.26310347,23.03138239,28.79166667
2019-06-14,25.44456111,25.97779176,33.83333333
2019-06-15,14.34262265,25.93056183,27.125
2019-06-16,16.82115574,19.28812862,23.04166667
2019-06-17,24.50159837,25.41809989,27.41666667
2019-06-18,26.06496859,23.69667561,31.83333333
2019-06-19,24.57962711,24.59354277,31.33333333
2019-06-20,29.66965235,29.1569425,33.375
2019-06-21,24.94772513,32.56610801,32.04545455
2019-06-22,18.66076683,22.71677999,31.45833333
2019-06-23,14.17800034,23.65968615,25.375
2019-06-24,16.79660088,21.25456402,27.08333333
2019-06-25,34.83403716,33.29682423,37.79166667
2019-06-26,11.37773766,18.05700081,29.08695652
2019-06-27,17.89206846,23.32463886,36.29166667
2019-06-28,6.51896615,24.86444104,27.36363636
2019-06-29,21.10092178,31.6612177,32.29166667
2019-06-30,20.3022629,23.06450131,25.75
2019-07-01,14.02410961,21.45381037,22.0
2019-07-02,27.42308473,24.69423936,27.0
2019-07-03,16.54662748,34.20201056,27.91666667
2019-07-04,17.20021017,27.68696979,31.83333333
2019-07-05,18.23134044,34.58787481,27.86363636
2019-07-06,23.76303628,32.21298046,33.08333333
2019-07-07,12.90708588,24.6641056,21.91666667
2019-07-08,18.26201834,24.34156412,28.85
2019-07-09,8.91048513,16.88632073,26.5
2019-07-10,18.86748756,17.76960185,30.125
2019-07-11,8.69676333,18.12844117,25.95833333
2019-07-12,12.33307967,15.32126919,28.29166667
2019-07-13,15.36907702,24.53647197,28.08333333
2019-07-14,11.45679715,15.89547877,21.5
2019-07-15,20.59876089,31.08541689,32.04166667
2019-07-16,16.49849316,19.70152367,28.375
2019-07-17,14.1234413,17.27330915,27.79166667
2019-07-18,6.10601888,16.99478189,23.375
2019-07-19,19.71158521,17.87962253,26.95833333
2019-07-20,13.91989072,21.64513917,27.45833333
2019-07-21,8.91586705,14.54196468,21.66666667
2019-07-22,9.7429178,18.16936385,28.2173913
2019-07-23,19.02693688,21.34204352,26.20833333
2019-07-24,27.37886134,24.79531894,38.33333333
2019-07-25,27.95573147,30.87902023,33.70833333
