Fecha,CO,DViento,HAire10,HAire2,O3,P,PLiquida,PM2.5,RGlobal,TAire10,TAire2,VViento
2012-09-12,,,,,12.39344262,18.6,,18.6,,,,
2012-09-13,,,,,16.8852459,24.15789474,,24.15789474,,,,
2012-09-14,,,,,34.67213113,,,,,,,
2012-09-15,,,,,25.6557377,,,,,,,
2012-09-16,,,,,22.95081966,,,,,,,
2012-09-17,,,,,14.4262295,,,,,,,
2012-09-18,,,,,15.32786885,,,,,,,
2012-09-19,,,,,20.32786884,,,,,,,
2012-09-20,,,,,12.21311475,,,,,,,
2012-09-21,,,,,21.55737704,,,,,,,
2012-09-22,,,,,16.14754098,,,,,,,
2012-09-23,,,,,18.60655737,,,,,,,
2012-09-24,,,,,11.06557377,,,,,,,
2012-09-25,,,,,15.24590163,,,,,,,
2012-09-26,,,,,13.52459016,,,,,,,
2012-09-27,,,,,18.60655737,,,,,,,
2012-09-28,,,,,12.04918032,,,,,,,
2012-09-29,,,,,23.68852458,17.78571429,,17.78571429,,,,
2012-09-30,,,,,22.37704917,12.75,,12.75,,,,
2012-10-01,,,,,15.16393442,20.08333333,,20.08333333,,,20.02916667,
2012-10-02,,,,,16.8852459,,,,,,19.2875,
2012-10-03,,,,,19.26229507,,,,,,20.92916667,
2012-10-04,,,,,16.63934426,26.06666667,,26.06666667,,,18.89583333,
2012-10-05,,,,,14.59016393,37.625,,37.625,,,18.07083333,
2012-10-06,,,,,16.63934426,35.625,,35.625,,,17.9,
2012-10-07,,,,,20.57377048,15.95833333,,15.95833333,,,18.32083333,
2012-10-08,,,,,11.26676602,27.69565217,,27.69565217,,,18.07083333,
2012-10-09,,,,,19.26229507,29.25,,29.25,,,20.00833333,
2012-10-10,,,,,23.68852458,24.79166667,,24.79166667,,,19.77083333,
2012-10-11,,,,,30.16393441,22.58333333,,22.58333333,,,18.37083333,
2012-10-12,,,,,22.86885245,26.45833333,,26.45833333,,,18.54583333,
2012-10-13,,,,,32.78688523,23.45833333,,23.45833333,,,17.73333333,
2012-10-14,,,,,21.63934425,29.0,,29.0,,,17.94583333,
2012-10-15,,,,,18.93442622,21.73913043,,21.73913043,,,17.74166667,
2012-10-16,,,,,10.16393442,27.29166667,,27.29166667,,,17.2375,
2012-10-17,,,,,20.57377048,21.04166667,,21.04166667,,,17.675,
2012-10-18,,,,,9.34426229,25.36363636,,25.36363636,,,16.72083333,
2012-10-19,,,,,10.90163934,26.66666667,,26.66666667,,,17.34583333,
2012-10-20,,,,,15.81967213,20.875,,20.875,,,18.825,
2012-10-21,,,,,15.98360655,12.63636364,,12.63636364,,,18.675,
2012-10-22,,,,,9.34426229,20.33333333,,20.33333333,,,18.6125,
2012-10-23,,,,,10.16393442,,,,,,19.47083333,
2012-10-24,,,,,10.24590164,,,,,,19.1625,
2012-10-25,,,,,12.95081967,,,,,,18.66666667,
2012-10-26,,,,,13.11475409,,,,,,18.49583333,
2012-10-27,,,,,18.52459016,,,,,,19.80833333,
2012-10-28,,,,,21.55737704,17.57142857,,17.57142857,,,19.89166667,
2012-10-29,,,,,16.80327868,24.25,,24.25,,,19.8375,
2012-10-30,,,,,12.29508196,30.22727273,,30.22727273,,,18.0125,
2012-10-31,,,,,16.8852459,26.81818182,,26.81818182,,,18.21666667,
2012-11-01,,,,76.40416667,16.22950819,23.70833333,0.29166667,23.70833333,165.4125,,18.74583333,
2012-11-02,,,,80.27083333,11.47540983,33.39130435,0.02083333,33.39130435,120.475,,18.91666667,
2012-11-03,,,,71.32083333,16.8852459,24.75,0.0,24.75,214.3875,,19.99166667,
2012-11-04,,,,75.125,15.90163934,27.95833333,0.20833333,27.95833333,186.58333333,,19.87916667,
2012-11-05,,,,77.3125,15.49180327,19.45833333,0.27083333,19.45833333,152.83333333,,18.62916667,
2012-11-06,,,,71.80416667,14.09836065,25.625,0.0,25.625,173.0375,,19.3125,
2012-11-07,,,,74.13333333,12.45901639,28.95833333,0.10416667,28.95833333,176.40833333,,19.575,
2012-11-08,,,,72.27083333,14.09836065,23.125,0.02083333,23.125,198.14166667,,19.69166667,
2012-11-09,,,,75.02916667,17.61549925,29.09090909,0.02083333,29.09090909,153.18333333,,20.025,
2012-11-10,,,,77.85,14.34426229,31.5,0.0,31.5,161.52083333,,19.7625,
2012-11-11,,,,80.2,11.31147541,26.25,0.0,26.25,102.68333333,,19.00416667,
2012-11-12,,,,80.75416667,10.08196721,28.45833333,0.10416667,28.45833333,80.15416667,,18.1625,
2012-11-13,,,,83.6375,14.91803278,32.08333333,0.66666667,32.08333333,143.0375,,18.23333333,
2012-11-14,,,,81.76666667,19.75409835,37.54166667,0.29166667,37.54166667,139.00416667,,18.45833333,
2012-11-15,,,,81.13333333,10.0,28.33333333,0.08333333,28.33333333,125.26666667,,18.37916667,
2012-11-16,,,,80.4625,18.11475409,25.66666667,0.29166667,25.66666667,210.67916667,,18.7875,
2012-11-17,,,,85.52916667,10.40983606,18.375,1.02083333,18.375,124.72916667,,18.1,
2012-11-18,,,,89.825,8.52459016,26.16666667,0.375,26.16666667,68.4125,,16.825,
2012-11-19,,,,77.75,17.29508196,26.95652174,0.02083333,26.95652174,169.64166667,,18.8375,
2012-11-20,,,,77.075,19.01639344,29.91304348,0.0,29.91304348,148.14166667,,20.1125,
2012-11-21,,,,82.89583333,12.37704918,36.875,0.3125,36.875,86.975,,18.5625,
2012-11-22,,,,86.47083333,10.49180327,33.08333333,0.72916667,33.08333333,92.65,,17.8125,
2012-11-23,,,,80.875,13.27868852,29.33333333,0.0625,29.33333333,124.75,,18.8625,
2012-11-24,,,,73.76666667,22.13114753,29.26086957,0.0,29.26086957,206.6,,19.79583333,
2012-11-25,,,,70.47083333,16.3114754,24.79166667,0.0,24.79166667,162.22083333,,20.06666667,
2012-11-26,,,,70.77083333,16.55737704,27.29166667,0.02083333,27.29166667,193.3375,,20.4875,
2012-11-27,,,,74.34166667,14.75409836,24.5,0.04166667,24.5,199.97916667,,19.9625,
2012-11-28,,,,77.425,20.57377048,31.41666667,0.10416667,31.41666667,149.6,,19.7875,
2012-11-29,,,,85.50416667,8.36065573,22.86956522,1.0625,22.86956522,97.43333333,,18.27916667,
2012-11-30,,,,85.22916667,7.95081967,31.25,0.125,31.25,121.69166667,,17.9125,
2012-12-01,,,,84.35,7.70491803,36.16666667,,36.16666667,123.12083333,,17.43333333,
2012-12-02,,,,83.62083333,12.70491803,25.29166667,,25.29166667,182.10833333,,17.55833333,
2012-12-03,,,,82.925,12.62295081,22.70833333,,22.70833333,161.9375,,18.29583333,
2012-12-04,,,,75.63333333,14.59016393,28.08333333,,28.08333333,205.9375,,19.4875,
2012-12-05,,,,79.91666667,14.18032786,31.29166667,,31.29166667,162.3625,,18.31666667,
2012-12-06,,,,77.69583333,13.60655737,28.70833333,,28.70833333,178.85833333,,18.89166667,
2012-12-07,,,,74.14166667,17.95081967,32.95833333,,32.95833333,187.10833333,,19.38333333,
2012-12-08,,,,72.27916667,14.34426229,26.625,,26.625,170.90833333,,19.85833333,
2012-12-09,,,,67.80416667,14.26229508,26.08333333,,26.08333333,184.025,,20.3125,
2012-12-10,,,,64.75833333,13.27868852,23.04166667,,23.04166667,226.90416667,,20.62916667,
2012-12-11,,,,74.54166667,13.85245901,38.1,,38.1,128.1875,,19.14583333,
2012-12-12,,,,77.58333333,12.62295081,,,,140.12083333,,18.58333333,
2012-12-13,,,,78.59583333,10.90163934,26.53333333,,26.53333333,121.84166667,,18.825,
2012-12-14,,,,78.36666667,11.96721311,32.08333333,,32.08333333,163.11666667,,18.29166667,
2012-12-15,,,,78.70833333,18.9878831,33.39130435,,33.39130435,187.36666667,,18.77916667,
2012-12-16,,,,77.10833333,14.91803278,26.16666667,,26.16666667,150.19166667,,18.8625,
2012-12-17,,,,78.80416667,13.03278688,28.41666667,,28.41666667,137.29583333,,18.13333333,
2012-12-18,,,,78.125,15.24590163,35.125,,35.125,129.675,,17.77083333,
2012-12-19,,,,76.79166667,14.91803278,38.39130435,,38.39130435,125.12916667,,19.14166667,
2012-12-20,,,,74.625,14.26229508,30.95833333,,30.95833333,133.77083333,,19.425,
2012-12-21,,,,78.00416667,15.32786885,32.34782609,,32.34782609,142.14166667,,19.5875,
2012-12-22,,,,76.275,14.91803278,24.04166667,,24.04166667,160.775,,19.575,
2012-12-23,,,,73.88333333,14.09836065,19.58333333,,19.58333333,144.14583333,,19.46666667,
2012-12-24,,,,75.59583333,12.45901639,25.66666667,,25.66666667,107.0375,,18.58333333,
2012-12-25,,,,75.5875,13.60655737,31.16666667,,31.16666667,125.85,,19.36666667,
2012-12-26,,,,77.57083333,11.72131147,20.875,,20.875,129.8875,,19.44583333,
2012-12-27,,,,69.75,16.06557376,16.33333333,,16.33333333,159.64583333,,20.35,
2012-12-28,,,,62.72083333,14.59016393,15.83333333,,15.83333333,215.825,,20.19166667,
2012-12-29,,,,65.57916667,17.78688524,18.60869565,,18.60869565,227.9375,,20.49583333,
2012-12-30,,,,66.77916667,14.83606557,18.04166667,,18.04166667,148.44166667,,19.29166667,
2012-12-31,,,,65.86666667,16.14754098,18.79166667,,18.79166667,185.7625,,20.05416667,
2013-01-01,,,,65.59583333,18.78688524,20.08333333,0.04166667,20.08333333,188.28333333,,19.85833333,
2013-01-02,,,,63.225,18.7704918,18.58333333,0.0,18.58333333,176.1625,,20.625,
2013-01-03,,,,67.3125,14.63114754,21.0,0.0,21.0,142.2,,20.4875,
2013-01-04,,,,66.925,15.03278688,23.375,0.0,23.375,154.59166667,,20.6,
2013-01-05,,,,66.43333333,16.45081967,21.08333333,0.0,21.08333333,159.20416667,,20.71666667,
2013-01-06,,,,65.11666667,17.40163934,21.79166667,0.0,21.79166667,163.42916667,,20.65,
2013-01-07,,,,60.81666667,22.99999999,16.75,0.0,16.75,173.9,,20.375,
2013-01-08,,,,55.84583333,22.76229507,16.23809524,0.0,16.23809524,171.7875,,20.82916667,
2013-01-09,,,,55.4875,23.38524589,15.375,0.0,15.375,153.9375,,20.61666667,
2013-01-10,,,,58.8,19.90983606,18.83333333,0.0,18.83333333,172.16666667,,20.95833333,
2013-01-11,,,,57.23333333,22.17213114,20.20833333,0.0,20.20833333,160.37083333,,21.07916667,
2013-01-12,,,,63.93333333,28.87119437,24.4,0.0,24.4,147.625,,20.14166667,
2013-01-13,,,,76.33333333,,30.875,0.0,30.875,71.225,,18.9375,
2013-01-14,,,,77.57083333,,33.13043478,0.08333333,33.13043478,133.36666667,,19.325,
2013-01-15,,,,79.51666667,,34.69565217,0.0,34.69565217,108.80416667,,18.72083333,
2013-01-16,,,,77.71666667,,40.83333333,0.0,40.83333333,96.94166667,,19.0875,
2013-01-17,,,,74.16666667,,36.65217391,0.0,36.65217391,136.72083333,,19.87916667,
2013-01-18,,,,73.35416667,20.50117095,37.73913043,0.0,37.73913043,121.40416667,,19.72083333,
2013-01-19,,,,74.575,17.45081967,34.95833333,0.04166667,34.95833333,144.225,,19.4875,
2013-01-20,,,,78.97916667,9.31147541,30.41666667,0.02083333,30.41666667,87.3875,,18.87083333,
2013-01-21,,,,79.44166667,33.45117604,36.13043478,0.125,36.13043478,100.21666667,,19.42916667,
2013-01-22,,,,81.325,33.86885245,39.2173913,0.22916667,39.2173913,87.88333333,,19.425,
2013-01-23,,,,77.90416667,28.86885245,30.125,0.02083333,30.125,84.94583333,,19.57916667,
2013-01-24,,,,78.32083333,28.24590163,32.58333333,0.0,32.58333333,127.92083333,,19.7875,
2013-01-25,,,,78.21666667,26.48360655,33.41666667,0.0,33.41666667,96.09583333,,18.84166667,
2013-01-26,,,,74.925,39.03278687,36.625,0.0,36.625,103.13333333,,18.92916667,
2013-01-27,,,,69.18333333,39.39344261,24.08695652,0.0,24.08695652,175.98333333,,20.91666667,
2013-01-28,,,,66.5125,42.30327867,27.04347826,0.02083333,27.04347826,189.77083333,,21.54166667,
2013-01-29,,,,70.5875,37.41803277,29.45833333,0.08333333,29.45833333,156.08333333,,20.73333333,
2013-01-30,,,,69.96666667,40.02459015,31.13636364,0.0,31.13636364,169.63333333,,21.35833333,
2013-01-31,,,,74.65416667,35.67213113,32.91666667,0.0,32.91666667,90.68333333,,20.35833333,
2013-02-01,,,,79.72083333,24.59836065,36.79166667,0.0625,36.79166667,81.22916667,,18.31666667,
2013-02-02,,,,92.275,18.16393442,32.20833333,0.66666667,32.20833333,47.3,,16.72916667,
2013-02-03,,,,85.75,29.98360655,27.25,0.97916667,27.25,115.07916667,,17.53333333,
2013-02-04,,,,80.37916667,29.0819672,33.45833333,0.16666667,33.45833333,111.0,,18.3875,
2013-02-05,,,,86.725,21.78688524,30.30434783,0.41666667,30.30434783,75.97916667,,17.59166667,
2013-02-06,,,,82.45833333,35.07377048,36.75,0.25,36.75,98.20833333,,18.15833333,
2013-02-07,,,,76.20416667,45.52459015,31.66666667,0.0,31.66666667,154.69583333,,19.49166667,
2013-02-08,,,,81.38125,39.89754097,33.625,0.09375,33.625,77.18636364,,18.9875,
2013-02-09,,,,,,,,,176.15833333,,,
2013-02-10,,,,,,,,,83.19166667,,,
2013-02-11,,,,76.00666667,43.71147539,28.5625,0.06666667,28.5625,125.9125,,18.83333333,
2013-02-12,,,,79.7875,36.40983605,30.72727273,0.14583333,30.72727273,121.60833333,,17.83333333,
2013-02-13,,,,72.3125,55.5081967,27.94736842,0.125,27.94736842,174.39166667,,18.15833333,
2013-02-14,,,,80.35416667,35.53278687,39.125,0.20833333,39.125,80.95,,17.525,
2013-02-15,,,,75.1375,40.02459015,39.47826087,0.0,39.47826087,116.91666667,,18.50416667,
2013-02-16,,,,71.47916667,17.50819671,44.34782609,0.0,44.34782609,152.2125,,19.6125,
2013-02-17,,,,84.8,11.60655737,44.5,0.10416667,44.5,70.77083333,,17.46666667,
2013-02-18,,,,69.65,14.79508196,28.66666667,0.0,28.66666667,157.72083333,,19.3125,
2013-02-19,,,,65.69583333,14.27868852,26.7826087,0.0,26.7826087,199.69166667,,20.525,
2013-02-20,,,,63.9125,13.47540983,17.95833333,0.04166667,17.95833333,143.2875,,20.29166667,
2013-02-21,,,,74.24583333,11.97540983,33.125,0.0,33.125,100.05833333,,19.48333333,
