Fecha,DViento,HAire10,O3,P,PLiquida,PM2.5,VViento
2019-01-01,118.20833333,66.70125,35.17600226,19.20055556,0.0,14.36363636,1.41208333
2019-01-02,143.9,90.39575068,21.08271202,18.53356842,0.04625,30.70833333,0.695
2019-01-03,152.66666667,85.96420739,33.07508834,18.08117361,0.03083333,32.375,1.06041667
2019-01-04,169.95454545,90.91277617,28.14570666,17.33418729,0.3575,14.22727273,0.65590909
2019-01-05,147.54166667,71.94155591,36.05070183,19.99381944,0.00083333,16.625,1.34125
2019-01-06,117.72727273,96.69563889,24.11554884,16.2541809,0.34541667,9.5,1.15090909
2019-01-07,153.33333333,89.85865278,28.06395904,17.81272798,0.09291667,15.43478261,1.31791667
2019-01-08,160.04166667,83.39702976,26.72329802,18.74556439,0.0,22.91666667,1.25416667
2019-01-09,155.58333333,78.26095946,53.29127556,19.45883333,0.00875,16.63636364,1.45
2019-01-10,157.5,85.10445633,,18.01521528,0.01541667,10.0,1.03181818
2019-01-11,163.29166667,89.42363272,33.14048644,17.72146528,0.03375,17.95833333,0.89125
2019-01-12,155.08333333,86.03973941,36.68833329,18.90845833,0.0,12.41666667,1.46166667
2019-01-13,,,,,,,
2019-01-14,,,,,,,
2019-01-15,,,,,,,
2019-01-16,,,,,,,
2019-01-17,,,,,,,
2019-01-18,,,,,,,
2019-01-19,,,,,,,
2019-01-20,,,,,,,
2019-01-21,,,,,,,
2019-01-22,,,,,,,
2019-01-23,,,,,,,
2019-01-24,,,,,,,
2019-01-25,,,,,,,
2019-01-26,,,,,,,
2019-01-27,,,,,,,
2019-01-28,,,,,,,
2019-01-29,,,,,,,
2019-01-30,,,,,,,
2019-01-31,,,,,,,
2019-02-01,145.125,66.29230556,34.5383708,19.00349306,0.0,9.39130435,1.50666667
2019-02-02,173.875,84.59563221,27.46720139,18.72770139,0.00541667,27.125,0.96791667
2019-02-03,180.91666667,84.80972381,24.28721885,17.87183333,0.0825,24.41666667,0.96875
2019-02-04,203.47368421,85.79390126,25.19461747,17.3450207,0.06333333,10.91666667,0.91578947
2019-02-05,157.83333333,76.90756905,33.49200122,19.54292361,0.0,23.16666667,1.40083333
2019-02-06,154.41666667,93.13124167,26.21646276,17.44595139,0.00291667,15.22727273,0.89208333
2019-02-07,164.5,88.75892502,31.47283493,18.41807773,0.05333333,18.39130435,0.82083333
2019-02-08,134.33333333,87.18127778,27.54894901,18.93666667,0.10291667,24.60869565,1.08
2019-02-09,176.58333333,79.89588807,39.18981056,19.37629861,0.00583333,18.625,1.26875
2019-02-10,203.5,89.91269224,,18.31180463,0.00666667,18.75,1.06727273
2019-02-11,160.95833333,89.59548684,28.5953186,17.714375,0.03166667,18.75,0.73208333
2019-02-12,136.25,80.81471945,31.04774729,18.83204167,0.0,16.54166667,1.05875
2019-02-13,,,,,,,
2019-02-14,,,,,,,
2019-02-15,,,,,,,
2019-02-16,,,,,,,
2019-02-17,,,,,,,
2019-02-18,,,,,,,
2019-02-19,,,,,,,
2019-02-20,,,,,,,
2019-02-21,,,,,,,
2019-02-22,,,,,,,
2019-02-23,,,,,,,
2019-02-24,,,,,,,
2019-02-25,,,,,,,
2019-02-26,,,,,,,
2019-02-27,,,,,,,
2019-02-28,,,,,,,
2019-03-01,155.58333333,63.46685417,28.01491047,19.07673611,0.0,8.83333333,1.41083333
2019-03-02,177.16666667,81.42885784,31.49735921,18.83969444,0.00541667,21.04166667,1.29958333
2019-03-03,134.30769231,92.71478136,31.17036872,15.9027786,0.05291667,28.79166667,0.94846154
2019-03-04,125.58333333,90.14233613,17.33049612,18.14697778,0.02041667,19.45833333,0.98083333
2019-03-05,122.8,81.51948411,29.54359102,19.65899685,0.00041667,23.39130435,1.41666667
2019-03-06,153.25,82.44556771,15.70371841,19.02488194,0.0,13.79166667,0.9825
2019-03-07,162.66666667,93.36155674,27.36092948,17.37890256,0.23791667,18.20833333,0.84166667
2019-03-08,153.95833333,94.67444617,20.51865342,17.15841667,0.0225,27.41666667,0.91208333
2019-03-09,144.25,72.80909947,48.770632,20.73184722,0.0,18.08333333,1.11541667
2019-03-10,193.35294118,90.14644686,,16.61662901,0.02666667,16.875,1.08235294
2019-03-11,172.25,91.24494014,21.42605204,16.87378472,0.05583333,13.16666667,0.84791667
2019-03-12,155.70833333,87.39555599,27.4426771,17.83415972,0.0,21.83333333,1.00541667
2019-03-13,,,,,,,
2019-03-14,,,,,,,
2019-03-15,,,,,,,
2019-03-16,,,,,,,
2019-03-17,,,,,,,
2019-03-18,,,,,,,
2019-03-19,,,,,,,
2019-03-20,,,,,,,
2019-03-21,,,,,,,
2019-03-22,,,,,,,
2019-03-23,,,,,,,
2019-03-24,,,,,,,
2019-03-25,,,,,,,
2019-03-26,,,,,,,
2019-03-27,,,,,,,
2019-03-28,,,,,,,
2019-03-29,,,,,,,
2019-03-30,,,,,,,
2019-03-31,,,,,,,
2019-04-01,139.6,72.60781907,30.36106725,19.38591753,0.0,14.60869565,1.219
2019-04-02,164.875,84.15307377,27.36092948,19.06204214,0.0,28.22727273,1.27291667
2019-04-03,129.25,85.93264413,27.39362853,18.27859644,0.0,23.79166667,1.05
2019-04-04,136.7826087,90.01354601,12.88342542,17.46460417,0.1425,18.66666667,1.02130435
2019-04-05,178.04166667,84.7682575,27.36910424,19.59398611,0.0,25.875,1.12166667
2019-04-06,124.04166667,80.38577651,23.24902404,20.14045076,0.02791667,13.69565217,1.49041667
2019-04-07,172.20833333,86.6349919,24.84310269,18.69210417,0.03625,21.04166667,1.04666667
2019-04-08,190.0,74.68544208,30.54091202,19.50219444,0.0,18.26086957,1.65125
2019-04-09,179.125,72.95845139,55.22051946,20.46567361,0.00625,15.25,1.20333333
2019-04-10,178.0,82.12870721,,17.80844445,0.0,13.2173913,1.32833333
2019-04-11,133.04166667,88.13812698,35.34767226,18.20988195,0.01791667,14.54166667,1.045
2019-04-12,160.45833333,87.82663895,29.22477529,17.74965972,0.0,18.875,0.88833333
2019-04-13,,,,,,,
2019-04-14,,,,,,,
2019-04-15,,,,,,,
2019-04-16,,,,,,,
2019-04-17,,,,,,,
2019-04-18,,,,,,,
2019-04-19,,,,,,,
2019-04-20,,,,,,,
2019-04-21,,,,,,,
2019-04-22,,,,,,,
2019-04-23,,,,,,,
2019-04-24,,,,,,,
2019-04-25,,,,,,,
2019-04-26,,,,,,,
2019-04-27,,,,,,,
2019-04-28,,,,,,,
2019-04-29,,,,,,,
2019-04-30,,,,,,,
2019-05-01,187.29166667,81.18373611,44.13554176,19.62619444,0.0,23.0,1.12958333
2019-05-02,171.54166667,86.664375,31.36656302,19.13102083,0.00208333,34.04166667,1.2425
2019-05-03,167.66666667,88.63352095,26.86226898,19.10854644,0.005,52.16666667,1.35083333
2019-05-04,216.52380952,89.53124791,36.64745948,17.09365972,0.3825,20.0,0.89285714
2019-05-05,154.0,78.6183453,39.73751963,20.84147917,0.0025,16.375,0.99625
2019-05-06,144.75,90.14269444,22.32527589,18.44334722,0.0425,12.66666667,0.89875
2019-05-07,190.91666667,86.88697222,37.17881903,18.08027083,0.17625,17.58333333,1.24583333
2019-05-08,169.95833333,75.81752083,35.83815801,19.93144444,0.0,19.875,1.67583333
2019-05-09,139.41666667,74.82307246,45.04294038,20.08809722,0.0125,15.5,1.41875
2019-05-10,189.5,88.3402523,,18.526,0.0,14.75,1.085
2019-05-11,149.41666667,91.94524733,29.94415437,17.99830038,0.03375,20.91666667,0.835
2019-05-12,154.70833333,79.91281095,24.8185784,19.14163889,0.0,15.36363636,1.20666667
2019-05-13,,,,,,,
2019-05-14,,,,,,,
2019-05-15,,,,,,,
2019-05-16,,,,,,,
2019-05-17,,,,,,,
2019-05-18,,,,,,,
2019-05-19,,,,,,,
2019-05-20,,,,,,,
2019-05-21,,,,,,,
2019-05-22,,,,,,,
2019-05-23,,,,,,,
2019-05-24,,,,,,,
2019-05-25,,,,,,,
