Fecha,NO2,PM10,PST,SO2
2003-06-22,,,123.16171745,
2003-06-23,,,,
2003-06-24,,,,
2003-06-25,,43.44624595,126.22293303,
2003-06-26,,,,
2003-06-27,,,,
2003-06-28,,36.71852534,88.41692574,
2003-06-29,,,,
2003-06-30,,,,
2003-07-01,,39.25511757,86.81344995,
2003-07-02,,,,
2003-07-03,,,,
2003-07-04,,54.51698034,102.44099364,
2003-07-05,,,,
2003-07-06,,,,
2003-07-07,,39.42399167,77.20786161,
2003-07-08,,,,
2003-07-09,,,,
2003-07-10,,48.09622057,91.05018743,
2003-07-11,,,,
2003-07-12,,,,
2003-07-13,,40.97528258,69.23491707,
2003-07-14,,,,
2003-07-15,,,,
2003-07-16,,61.88797481,113.57106156,
2003-07-17,,,,
2003-07-18,,,,
2003-07-19,45.66641471,39.0132473,84.19085827,
2003-07-20,,,,
2003-07-21,,,,
2003-07-22,39.76127488,47.5521798,101.43662812,
2003-07-23,,,,
2003-07-24,,,,
2003-07-25,4.09423028,51.22375363,82.20087975,
2003-07-26,,,,
2003-07-27,,,,
2003-07-28,37.08427816,47.26995599,79.84645638,
2003-07-29,,,,
2003-07-30,,,,
2003-07-31,72.53565677,,113.69461169,
2003-08-01,,,,
2003-08-02,,,,
2003-08-03,54.63538072,41.21250925,77.00452707,
2003-08-04,,,,
2003-08-05,,,,
2003-08-06,71.74488153,76.10428941,129.32100078,
2003-08-07,,,,
2003-08-08,,,,
2003-08-09,59.09247757,52.1963807,88.13320552,41.28846622
2003-08-10,,,,
2003-08-11,,,,
2003-08-12,76.99275362,70.98263344,125.36607461,5.55897646
2003-08-13,,,,
2003-08-14,,,,
2003-08-15,59.88325282,62.65384832,103.63370839,8.74232196
2003-08-16,,,,
2003-08-17,,,,
2003-08-18,56.14504256,35.94488164,67.92647548,10.3102384
2003-08-19,,,,
2003-08-20,,,,
2003-08-21,79.94018864,77.61460805,126.41944894,8.74232196
2003-08-22,,,,
2003-08-23,,,,
2003-08-24,47.94973545,28.92924084,59.49847427,9.55003649
2003-08-25,,,,
2003-08-26,,,,
2003-08-27,85.11617207,95.09571618,151.61614657,2.37563097
2003-08-28,,,,
2003-08-29,,,,
2003-08-30,27.605245,74.76519049,137.57872814,15.10901295
2003-08-31,,,,
2003-09-01,,,,
2003-09-02,43.4926386,68.20245607,112.57844676,14.30129842
2003-09-03,,,,
2003-09-04,,,,
2003-09-05,45.72118703,63.76114686,99.18066425,7.93460743
2003-09-06,,,,
2003-09-07,,,,
2003-09-08,64.34034967,52.40542333,95.75180848,19.86027489
2003-09-09,,,,
2003-09-10,,,,
2003-09-11,9.31429608,95.28667627,153.43239778,
2003-09-12,,,,
2003-09-13,,,,
2003-09-14,2.41971176,35.18963119,65.48754927,
2003-09-15,,,,
2003-09-16,,,,
2003-09-17,36.62423477,57.86232788,101.03137882,
2003-09-18,,,,
2003-09-19,,,,
2003-09-20,97.20427257,81.98888498,123.4833889,
2003-09-21,,,,
2003-09-22,,,,
2003-09-23,50.59889585,60.22728691,103.45800288,
2003-09-24,,,,
2003-09-25,,,,
2003-09-26,48.83143307,100.496474,153.98161103,
2003-09-27,,,,
2003-09-28,,,,
2003-09-29,26.93572556,97.57976336,123.4851814,
2003-09-30,,,,
2003-10-01,,,,
2003-10-02,34.79111552,117.90172696,191.22216336,
2003-10-03,,,,
2003-10-04,,,,
2003-10-05,49.0141632,39.07628866,71.93037633,
2003-10-06,,,,
2003-10-07,,,,
2003-10-08,46.92472775,105.03435602,159.91031217,
2003-10-09,,,,
2003-10-10,,,,
2003-10-11,70.97048293,,139.81246028,
2003-10-12,,,,
2003-10-13,,,,
2003-10-14,98.75184282,82.47603068,120.61510638,
2003-10-15,,,,
2003-10-16,,,,
2003-10-17,73.42463838,55.4725011,135.50157624,
2003-10-18,,,,
2003-10-19,,,,
2003-10-20,82.08362891,106.61080924,185.72014707,
2003-10-21,,,,
2003-10-22,,,,
2003-10-23,70.69556999,77.046191,128.81593556,
2003-10-24,,,,
2003-10-25,,,,
2003-10-26,50.71192162,44.19209539,77.53238373,
2003-10-27,,,,
2003-10-28,,,,
2003-10-29,69.60552271,66.33451517,109.25816796,
2003-10-30,,,,
2003-10-31,,,,
2003-11-01,61.99250514,75.85471756,130.3659657,
2003-11-02,,,,
2003-11-03,,,,
2003-11-04,54.3797766,84.12897855,74.42846545,
2003-11-05,,,,
2003-11-06,,,,
2003-11-07,93.93983931,77.71051246,116.01755502,
2003-11-08,,,,
2003-11-09,,,,
2003-11-10,59.19720426,72.67302378,118.31894297,
2003-11-11,,,,
2003-11-12,,,,
2003-11-13,62.23043245,64.46727374,104.85128976,
2003-11-14,,,,
2003-11-15,,,,
2003-11-16,73.85269923,37.6356718,67.41611087,
2003-11-17,,,,
2003-11-18,,,,
2003-11-19,70.37419104,69.83061681,121.54406908,
2003-11-20,,,,
2003-11-21,,,,
2003-11-22,40.13358224,59.82161674,108.16610132,
2003-11-23,,,,
2003-11-24,,,,
2003-11-25,60.39206011,84.21355089,129.82264227,
2003-11-26,,,,
2003-11-27,,,,
2003-11-28,41.90381258,59.81281516,101.81661136,
2003-11-29,,,,
2003-11-30,,,,
2003-12-01,52.87748979,57.56949369,126.15955473,
2003-12-02,,,,
2003-12-03,,,,
2003-12-04,48.79482657,72.64888046,124.27132705,
2003-12-05,,,,
2003-12-06,,,,
2003-12-07,12.39733457,64.62073399,76.10970251,
2003-12-08,,,,
2003-12-09,,,,
2003-12-10,28.24282468,61.7501265,104.42786334,
2003-12-11,,,,
2003-12-12,,,,
2003-12-13,30.43758415,73.71961002,133.22488801,
2003-12-14,,,,
2003-12-15,,,,
2003-12-16,42.37744274,57.29226157,102.67473849,
2003-12-17,,,,
2003-12-18,,,,
2003-12-19,13.96609276,59.51330045,107.14468768,
2003-12-20,,,,
2003-12-21,,,,
2003-12-22,31.90807351,83.61402382,129.92409739,
2003-12-23,,,,
2003-12-24,,,,
2003-12-25,4.36527104,35.91327764,63.68443587,
2003-12-26,,,,
2003-12-27,,,,
2003-12-28,2.88519584,33.61440853,65.03389098,
2003-12-29,,,,
2003-12-30,,,,
2003-12-31,0.67580501,45.66002577,76.72206797,
2004-01-01,,,,
2004-01-02,,,,
2004-01-03,,37.86506161,81.07817863,
2004-01-04,,,,
2004-01-05,,,,
2004-01-06,,57.34798072,91.21597745,
2004-01-07,,,,
2004-01-08,,,,
2004-01-09,,61.40833354,94.77600836,
2004-01-10,,,,
2004-01-11,,,,
2004-01-12,,36.25517044,67.32183765,
2004-01-13,,,,
2004-01-14,,,,
2004-01-15,,48.3436448,84.50000914,
2004-01-16,,,,
2004-01-17,,,,
2004-01-18,,,86.17854846,
2004-01-19,,,,
2004-01-20,,,,
2004-01-21,,,,
2004-01-22,,,,
2004-01-23,,,,
2004-01-24,40.81979491,45.96240579,95.34955992,7.31147916
2004-01-25,,,,
2004-01-26,,,,
2004-01-27,46.92809664,66.77947277,113.14314782,12.33711605
2004-01-28,,,,
2004-01-29,,,,
2004-01-30,32.55810308,64.00806225,106.8940538,18.78369125
2004-01-31,,,,
2004-02-01,,,,
2004-02-02,43.73884847,43.25638589,109.04796157,14.23309274
2004-02-03,,,,
2004-02-04,,,,
2004-02-05,40.10190084,58.63408864,109.45278601,11.47836913
2004-02-06,,,,
2004-02-07,,,,
2004-02-08,52.14831576,50.93985114,96.89199492,7.36111161
2004-02-09,,,,
2004-02-10,,,,
2004-02-11,40.01048051,85.83546997,141.07197278,11.26027537
2004-02-12,,,,
2004-02-13,,,,
2004-02-14,46.0528207,67.2100797,109.78785304,34.27635374
2004-02-15,,,,
2004-02-16,,,,
2004-02-17,43.51307938,73.60379799,115.15638846,41.08309991
2004-02-18,,,,
2004-02-19,,,,
2004-02-20,53.32218845,95.63139616,149.95108697,54.47096656
2004-02-21,,,,
2004-02-22,,,,
2004-02-23,55.43370029,,103.9748922,14.67862949
2004-02-24,,,,
2004-02-25,,,,
2004-02-26,51.73130482,82.70968121,138.18953929,45.89415265
2004-02-27,,,,
2004-02-28,,,,
2004-02-29,32.24582769,62.56879826,58.26214081,58.90789269
2004-03-01,,,,
2004-03-02,,,,
2004-03-03,38.29325715,51.55831278,81.91364678,1.03399672
2004-03-04,,,,
2004-03-05,,,,
2004-03-06,67.93773106,84.42331071,129.46099191,29.10601228
2004-03-07,,,,
2004-03-08,,,,
2004-03-09,39.5523316,71.16229305,108.3959897,
2004-03-10,,,,
2004-03-11,,,,
2004-03-12,49.71719066,66.96611537,98.65898388,4.17480481
2004-03-13,,,,
2004-03-14,,,,
2004-03-15,27.15744845,75.15869883,116.15130266,
2004-03-16,,,,
2004-03-17,,,,
2004-03-18,52.26057031,119.26529598,143.19268184,24.95918869
2004-03-19,,,,
2004-03-20,,,,
2004-03-21,50.76405535,88.83194343,121.45105859,
2004-03-22,,,,
2004-03-23,,,,
2004-03-24,46.56379214,55.77341004,82.99039482,
2004-03-25,,,,
2004-03-26,,,,
2004-03-27,61.69327269,74.8764002,,
2004-03-28,,,,
2004-03-29,,,,
2004-03-30,59.29998566,82.60253542,123.68034217,21.66961706
2004-03-31,,,,
2004-04-01,,,,
2004-04-02,74.52255685,95.5532474,140.72355577,9.41165965
2004-04-03,,,,
2004-04-04,,,,
2004-04-05,85.29741863,47.77952018,83.51630873,2.08564533
2004-04-06,,,,
2004-04-07,,,,
2004-04-08,61.10474292,26.29035189,69.66062792,2.05536844
2004-04-09,,,,
2004-04-10,,,,
2004-04-11,,,,
2004-04-12,,,,
2004-04-13,,,,
2004-04-14,51.92795468,74.88990121,107.60428969,1.84436873
2004-04-15,,,,
2004-04-16,,,,
2004-04-17,52.5029254,45.54709457,83.42242528,53.28479527
2004-04-18,,,,
2004-04-19,,,,
2004-04-20,50.95919579,68.1465857,100.96875166,
2004-04-21,,,,
2004-04-22,,,,
2004-04-23,50.52870331,,120.26763214,
2004-04-24,,,,
2004-04-25,,,,
2004-04-26,61.11584579,77.22287268,149.80623949,9.30364689
2004-04-27,,,,
2004-04-28,,,,
2004-04-29,36.37506883,49.23066177,87.45476248,
2004-04-30,,,,
2004-05-01,,,,
2004-05-02,29.40912225,33.02799428,60.00755476,4.60545976
2004-05-03,,,,
2004-05-04,,,,
2004-05-05,44.10467891,63.45214091,105.971216,5.54232804
2004-05-06,,,,
2004-05-07,,,,
2004-05-08,51.99952608,44.67730951,89.89869978,19.73365617
2004-05-09,,,,
2004-05-10,,,,
2004-05-11,28.7697935,48.58279333,84.74131209,13.81198474
2004-05-12,,,,
2004-05-13,,,,
2004-05-14,31.48859569,46.83682421,88.38189239,16.73599326
2004-05-15,,,,
2004-05-16,,,,
2004-05-17,44.84031822,65.89842355,115.53870416,19.70860287
2004-05-18,,,,
2004-05-19,,,,
2004-05-20,34.5149581,72.83372571,109.94808208,3.74007797
2004-05-21,,,,
2004-05-22,,,,
2004-05-23,36.41113464,92.26976388,146.63605922,
2004-05-24,,,,
2004-05-25,,,,
2004-05-26,47.45958095,70.1008729,116.18550392,14.09307198
2004-05-27,,,,
2004-05-28,,,,
2004-05-29,96.90771566,64.10548809,119.85704633,8.06685205
2004-05-30,,,,
2004-05-31,,,,
2004-06-01,2.78435633,76.58640095,125.27193621,
2004-06-02,,,,
2004-06-03,,,,
2004-06-04,45.10777974,51.43341645,104.26769568,
2004-06-05,,,,
2004-06-06,,,,
2004-06-07,41.71337122,54.15625955,130.03739466,1.47266314
2004-06-08,,,,
2004-06-09,,,,
2004-06-10,33.57796068,47.53178793,93.20875863,9.57671958
2004-06-11,,,,
2004-06-12,,,,
2004-06-13,,38.56399236,78.1663947,
2004-06-14,,,,
2004-06-15,,,,
2004-06-16,,50.70055664,96.15409714,
2004-06-17,,,,
2004-06-18,,,,
2004-06-19,,54.66043542,116.99759851,
2004-06-20,,,,
2004-06-21,,,,
2004-06-22,,,86.86618354,
2004-06-23,,,,
2004-06-24,,,,
2004-06-25,,50.25519813,98.72523966,
2004-06-26,,,,
2004-06-27,,,,
2004-06-28,,45.26161746,87.0548074,
2004-06-29,,,,
2004-06-30,,,,
2004-07-01,,56.90190748,110.87396392,
2004-07-02,,,,
2004-07-03,,,,
2004-07-04,,37.65578319,60.24824851,
2004-07-05,,,,
2004-07-06,,,,
2004-07-07,,47.68018646,78.44786936,
2004-07-08,,,,
2004-07-09,,,,
2004-07-10,,60.17192199,106.76589385,
2004-07-11,,,,
2004-07-12,,,,
2004-07-13,39.78753743,47.35639948,75.884901,
2004-07-14,,,,
2004-07-15,,,,
2004-07-16,,46.17572891,104.32674789,
2004-07-17,,,,
2004-07-18,,,,
2004-07-19,39.53775109,,80.69477267,
2004-07-20,,,,
2004-07-21,,,,
2004-07-22,,58.8348133,93.31404171,
2004-07-23,,,,
2004-07-24,,,,
2004-07-25,39.48793452,53.83942986,106.96773127,
2004-07-26,,,,
2004-07-27,,,,
2004-07-28,,55.32188805,96.02930851,
2004-07-29,,,,
2004-07-30,,,,
2004-07-31,85.82724106,56.73586032,104.02524263,
2004-08-01,,,,
2004-08-02,,,,
2004-08-03,,75.11865454,125.38127197,
2004-08-04,,,,
2004-08-05,,,,
2004-08-06,50.64942191,64.39295807,105.5808362,
2004-08-07,,,,
2004-08-08,,,,
2004-08-09,,57.44766228,102.93427435,
2004-08-10,,,,
2004-08-11,,,,
2004-08-12,93.71665446,61.53278001,112.9568307,0.62457061
2004-08-13,,,,
2004-08-14,,,,
2004-08-15,,39.64839244,77.27754236,
2004-08-16,,,,
2004-08-17,,,,
2004-08-18,37.33875809,39.56416775,80.59924974,0.73817701
2004-08-19,,,,
2004-08-20,,,,
2004-08-21,,49.2558985,98.2195656,
2004-08-22,,,,
2004-08-23,,,,
2004-08-24,91.03530397,66.08096326,124.92949023,0.61523317
2004-08-25,,,,
2004-08-26,,,,
2004-08-27,,42.78045696,77.87597424,
2004-08-28,,,,
2004-08-29,,,,
2004-08-30,85.02376468,42.42840678,78.35195399,
2004-08-31,,,,
2004-09-01,,,,
2004-09-02,,54.79626349,90.2493524,
2004-09-03,,,,
2004-09-04,,,,
2004-09-05,86.40172972,33.17246228,56.4318045,1.35814266
2004-09-06,,,,
2004-09-07,,,,
2004-09-08,,86.55542597,136.8370936,
2004-09-09,,,,
2004-09-10,,,,
2004-09-11,80.90210147,78.85371206,121.65073325,1.85129955
2004-09-12,,,,
2004-09-13,,,,
2004-09-14,,72.72734587,108.12357301,
2004-09-15,,,,
2004-09-16,,,,
2004-09-17,82.29166589,71.84390991,114.23553057,0.62325683
2004-09-18,,,,
2004-09-19,,,,
2004-09-20,,49.20194001,78.48853111,
2004-09-21,,,,
2004-09-22,,,,
2004-09-23,49.97162341,80.581342,116.56788917,
2004-09-24,,,,
2004-09-25,,,,
2004-09-26,,64.82782874,108.0,
2004-09-27,,,,
2004-09-28,,,,
2004-09-29,66.36929543,111.21925273,191.19944616,1.47584244
2004-09-30,,,,
2004-10-01,,,,
2004-10-02,,90.33303101,168.07143578,
2004-10-03,,,,
2004-10-04,,,,
2004-10-05,71.20776396,153.00217929,223.15585533,3.16887364
2004-10-06,,,,
2004-10-07,,,,
2004-10-08,,85.33907596,134.45980883,
2004-10-09,,,,
2004-10-10,,,,
2004-10-11,61.23057811,123.6109329,211.78697661,2.44828008
2004-10-12,,,,
2004-10-13,,,,
2004-10-14,,52.49550602,87.4918534,
2004-10-15,,,,
2004-10-16,,,,
2004-10-17,36.10659603,38.56969331,68.66292764,2.2742627
2004-10-18,,,,
2004-10-19,,,,
2004-10-20,,,122.70339233,
2004-10-21,,,,
2004-10-22,,,,
2004-10-23,40.26234846,66.44688077,91.8588628,2.26852686
2004-10-24,,,,
2004-10-25,,,,
2004-10-26,,87.16223862,134.08862052,
2004-10-27,,,,
2004-10-28,,,,
2004-10-29,51.93223572,81.66481211,107.92628847,2.68244788
2004-10-30,,,,
2004-10-31,,,,
2004-11-01,,50.0,82.96085284,
2004-11-02,,,,
2004-11-03,,,,
2004-11-04,43.59926367,101.17372599,170.58085902,2.66664886
2004-11-05,,,,
2004-11-06,,,,
2004-11-07,,,,
2004-11-08,,,,
2004-11-09,,,,
2004-11-10,28.16068816,80.11727413,126.6648506,0.52800053
2004-11-11,,,,
2004-11-12,,,,
2004-11-13,,52.47433783,94.07686268,
2004-11-14,,,,
2004-11-15,,,,
2004-11-16,42.35930736,79.25299041,125.16247443,8.91162709
2004-11-17,,,,
2004-11-18,,,,
2004-11-19,,83.90899018,121.73559818,
2004-11-20,,,,
2004-11-21,,,,
2004-11-22,31.48494916,63.18427636,103.39828487,3.61980827
2004-11-23,,,,
2004-11-24,,,,
2004-11-25,,90.14513192,139.60362381,
2004-11-26,,,,
2004-11-27,,,,
2004-11-28,33.17502152,53.86450943,91.00607985,1.28146695
2004-11-29,,,,
2004-11-30,,,,
2004-12-01,,73.26025421,114.4777835,
2004-12-02,,,,
2004-12-03,,,,
2004-12-04,29.71278358,59.21364753,106.66766052,
2004-12-05,,,,
2004-12-06,,,,
2004-12-07,,64.60681171,104.53080045,
2004-12-08,,,,
2004-12-09,,,,
2004-12-10,36.15750197,76.0,121.8182695,2.15823176
2004-12-11,,,,
2004-12-12,,,,
2004-12-13,,55.65771232,96.35563193,
2004-12-14,,,,
2004-12-15,,,,
2004-12-16,,78.22062041,131.46541409,
2004-12-17,,,,
2004-12-18,,,,
2004-12-19,,,,
2004-12-20,,,,
2004-12-21,,,,
2004-12-22,,,,
2004-12-23,,,,
2004-12-24,,,,
2004-12-25,,,,
2004-12-26,,,,
2004-12-27,,,,
2004-12-28,,,,
2004-12-29,,,,
2004-12-30,,,,
2004-12-31,,,,
2005-01-01,,,,
2005-01-02,,,,
2005-01-03,,,,
2005-01-04,,,,
2005-01-05,,,,
2005-01-06,,,,
2005-01-07,,,,
2005-01-08,,,,
2005-01-09,,,,
2005-01-10,,,,
2005-01-11,,,,
2005-01-12,,,,
2005-01-13,,60.08382508,108.84525115,
2005-01-14,,,,
2005-01-15,,,,
2005-01-16,,36.64766962,67.65156944,
2005-01-17,,,,
2005-01-18,,,,
2005-01-19,,55.3977056,104.00066407,
2005-01-20,,,,
2005-01-21,,,,
2005-01-22,,45.47021557,87.50711087,
2005-01-23,,,,
2005-01-24,,,,
2005-01-25,38.40737883,57.03425157,114.1720636,3.35001748
2005-01-26,,,,
2005-01-27,,,,
2005-01-28,,66.17737468,120.34848126,
2005-01-29,,,,
2005-01-30,,,,
2005-01-31,29.05669567,57.48524955,105.89699687,7.52252551
2005-02-01,,,,
2005-02-02,,,,
2005-02-03,,62.32251477,110.12169574,
2005-02-04,,,,
2005-02-05,,,,
2005-02-06,19.73839543,38.13303669,75.12295472,6.45354237
2005-02-07,,,,
2005-02-08,,,,
2005-02-09,,56.73798245,106.88673268,
2005-02-10,,,,
2005-02-11,,,,
2005-02-12,35.93077007,49.04355088,,11.43818461
2005-02-13,,,,
2005-02-14,,,,
2005-02-15,,61.73679297,,
2005-02-16,,,,
2005-02-17,,,,
2005-02-18,29.58905098,69.22357927,125.80163871,
2005-02-19,,,,
2005-02-20,,,,
2005-02-21,,62.56892078,120.41601226,
2005-02-22,,,,
2005-02-23,,,,
2005-02-24,25.83254194,66.83164587,119.62956917,17.51910641
2005-02-25,,,,
2005-02-26,,,,
2005-02-27,,53.70672273,93.9102269,
2005-02-28,,,,
2005-03-01,,,,
2005-03-02,25.37705632,70.37917493,123.41329461,17.07248811
2005-03-03,,,,
2005-03-04,,,,
2005-03-05,,59.61562264,107.54697655,
2005-03-06,,,,
2005-03-07,,,,
2005-03-08,26.03209847,66.18375674,114.29090366,
2005-03-09,,,,
2005-03-10,,,,
2005-03-11,,85.5514548,166.29753602,
2005-03-12,,,,
2005-03-13,,,,
2005-03-14,28.16081988,102.2624006,170.05970747,23.38268641
2005-03-15,,,,
2005-03-16,,,,
2005-03-17,,108.06431008,168.92150197,
2005-03-18,,,,
2005-03-19,,,,
2005-03-20,26.92335944,43.91857999,70.00570567,23.41219758
2005-03-21,,,,
2005-03-22,,,,
2005-03-23,,63.64920612,97.03974387,
2005-03-24,,,,
2005-03-25,,,,
2005-03-26,,,,
2005-03-27,,,,
2005-03-28,,,,
2005-03-29,,87.44623222,135.16359272,
2005-03-30,,,,
2005-03-31,,,,
2005-04-01,28.06684407,81.62493303,125.96728754,0.73102348
2005-04-02,,,,
2005-04-03,,,,
2005-04-04,,70.64743227,116.46202723,
2005-04-05,,,,
2005-04-06,,,,
2005-04-07,17.34403163,61.31860233,103.90058507,0.73349524
2005-04-08,,,,
2005-04-09,,,,
2005-04-10,,33.57101956,60.35470232,
2005-04-11,,,,
2005-04-12,,,,
2005-04-13,59.67407407,68.08830392,116.19136103,1.32776385
2005-04-14,,,,
2005-04-15,,,,
2005-04-16,,41.44571427,86.73707485,
2005-04-17,,,,
2005-04-18,,,,
2005-04-19,17.06277706,73.24496904,115.55135445,2.91280291
2005-04-20,,,,
2005-04-21,,,,
2005-04-22,,79.77723112,121.06436174,
2005-04-23,,,,
2005-04-24,,,,
2005-04-25,36.6786141,69.16259178,102.02576041,
2005-04-26,,,,
2005-04-27,,,,
2005-04-28,,91.82408728,134.28450766,
2005-04-29,,,,
2005-04-30,,,,
2005-05-01,23.41479802,52.05120089,91.06721808,
2005-05-02,,,,
2005-05-03,,,,
2005-05-04,,62.34362296,95.51499212,
2005-05-05,,,,
2005-05-06,,,,
2005-05-07,51.79626197,70.01113461,116.76401666,
2005-05-08,,,,
2005-05-09,,,,
2005-05-10,,,83.8612738,
2005-05-11,,,,
2005-05-12,,,,
2005-05-13,44.67161502,55.75264273,92.46661009,
2005-05-14,,,,
2005-05-15,,,,
2005-05-16,,70.85107734,119.86814,
2005-05-17,,,,
2005-05-18,,,,
2005-05-19,44.53392632,66.68079316,101.52608789,
2005-05-20,,,,
2005-05-21,,,,
2005-05-22,,45.02354512,70.46886909,
2005-05-23,,,,
2005-05-24,,,,
2005-05-25,37.76113884,43.69262354,74.78595671,
2005-05-26,,,,
2005-05-27,,,,
2005-05-28,,42.91248675,78.62340246,
2005-05-29,,,,
2005-05-30,,,,
2005-05-31,46.19264338,72.5449148,108.48452009,
2005-06-01,,,,
2005-06-02,,,,
2005-06-03,,53.44854941,87.52442528,
2005-06-04,,,,
2005-06-05,,,,
2005-06-06,35.71084134,37.68408218,64.30408231,
2005-06-07,,,,
2005-06-08,,,,
2005-06-09,,82.79586466,125.42758166,
2005-06-10,,,,
2005-06-11,,,,
2005-06-12,9.29260593,56.267231,,
2005-06-13,,,,
2005-06-14,,,,
2005-06-15,,48.23285162,79.39221686,
2005-06-16,,,,
2005-06-17,,,,
