Fecha,NO2,PM10,PST,SO2
2001-05-11,42.34475638,,,
2001-05-12,,,,
2001-05-13,,,,
2001-05-14,,,,
2001-05-15,,,,
2001-05-16,,,,
2001-05-17,,,,
2001-05-18,,,,
2001-05-19,,,,
2001-05-20,,,,
2001-05-21,,,,
2001-05-22,,,,
2001-05-23,49.5135573,,,17.24810628
2001-05-24,,,,
2001-05-25,,,,
2001-05-26,50.63377353,,79.74702913,17.24810628
2001-05-27,,,,
2001-05-28,,,,
2001-05-29,51.75398976,,,17.93437045
2001-05-30,,,,
2001-05-31,,,,
2001-06-01,49.5135573,,,22.78397063
2001-06-02,,,,
2001-06-03,,,,
2001-06-04,54.53212601,,,29.14335199
2001-06-05,,,,
2001-06-06,,,,
2001-06-07,55.0698298,,97.43383935,23.28723102
2001-06-08,,,,
2001-06-09,,,,
2001-06-10,24.42071378,,77.98061955,17.88861951
2001-06-11,,,,
2001-06-12,,,,
2001-06-13,38.31139502,,,20.13041581
2001-06-14,,,,
2001-06-15,,,,
2001-06-16,28.31906626,,,15.96707982
2001-06-17,,,,
2001-06-18,,,,
2001-06-19,62.28402231,,44.41472269,13.72528351
2001-06-20,,,,
2001-06-21,,,,
2001-06-22,55.65234224,,96.0352647,23.42448386
2001-06-23,,,,
2001-06-24,,,,
2001-06-25,52.87420599,,67.06174219,19.26114786
2001-06-26,,,,
2001-06-27,,,,
2001-06-28,48.39334108,,,15.09781186
2001-06-29,,,,
2001-06-30,,,,
2001-07-01,46.19771727,,,20.95393282
2001-07-02,,,,
2001-07-03,,,,
2001-07-04,47.85563729,,,20.40492148
2001-07-05,,,,
2001-07-06,,,,
2001-07-07,52.87420599,,,24.24800087
2001-07-08,,,,
2001-07-09,,,,
2001-07-10,51.17147732,,,20.40492148
2001-07-11,,,,
2001-07-12,,,,
2001-07-13,47.3179335,,,15.09781186
2001-07-14,,,,
2001-07-15,,,,
2001-07-16,33.42725226,,,15.41806848
2001-07-17,,,,
2001-07-18,,,,
2001-07-19,61.74631852,,,17.0651025
2001-07-20,,,,
2001-07-21,,,,
2001-07-22,40.05893234,,,14.82330619
2001-07-23,,,,
2001-07-24,,,,
2001-07-25,55.0698298,,,15.41806848
2001-07-26,,,,
2001-07-27,,,,
2001-07-28,52.87420599,,,14.82330619
2001-07-29,,,,
2001-07-30,,,,
2001-07-31,54.53212601,,,19.53565353
2001-08-01,,,,
2001-08-02,,,,
2001-08-03,47.85563729,,,17.33503307
2001-08-04,,,,
2001-08-05,,,,
2001-08-06,15.05570611,,,19.55395391
2001-08-07,,,,
2001-08-08,,,,
2001-08-09,57.31026226,,,15.395193
2001-08-10,,,,
2001-08-11,,,,
2001-08-12,40.64144477,,,24.26630124
2001-08-13,,,,
2001-08-14,,,,
2001-08-15,56.72774982,,,12.0690993
2001-08-16,,,,
2001-08-17,,,,
2001-08-18,48.97585352,,,12.0690993
2001-08-19,,,,
2001-08-20,,,,
2001-08-21,,,,
2001-08-22,,,,
2001-08-23,,,,
2001-08-24,50.09606974,,,6.52408476
2001-08-25,,,,
2001-08-26,,,,
2001-08-27,48.39334108,,,12.34818006
2001-08-28,,,,
2001-08-29,,,,
2001-08-30,,,,
2001-08-31,,,,
2001-09-01,,,,
2001-09-02,36.7430923,,,4.03065826
2001-09-03,,,,
2001-09-04,,,,
2001-09-05,68.42280724,,,4.86332546
2001-09-06,,,,
2001-09-07,,,,
2001-09-08,55.65234224,,,2.92348539
2001-09-09,,,,
2001-09-10,,,,
2001-09-11,27.87097977,,,6.52408476
2001-09-12,,,,
2001-09-13,,,,
2001-09-14,60.83428703,,,7.0440908
2001-09-15,,,,
2001-09-16,,,,
2001-09-17,57.55005415,,,6.27572796
2001-09-18,,,,
2001-09-19,,,,
2001-09-20,59.55551566,,,6.52952603
2001-09-21,,,,
2001-09-22,,,,
2001-09-23,54.8640138,,98.61495437,16.50290868
2001-09-24,,,,
2001-09-25,,,,
2001-09-26,55.79182179,,,21.54766313
2001-09-27,,,,
2001-09-28,,,,
