Fecha,CO,DViento,HAire10,NO,NO2,NOx,O3,P,PLiquida,PM2.5,RGlobal,TAire10,VViento
2014-08-14,16520.55238095,161.68571429,53.8,54.67445652,30.09891304,84.77336957,10.36956522,,0.0,,10.83142857,20.75714286,0.02857143
2014-08-15,13130.95052632,210.6625,49.70416667,55.92391304,26.46902174,82.39293478,13.28521739,,0.0,,193.83583333,22.71666667,0.22916667
2014-08-16,14258.02588235,218.625,50.37083333,34.6326087,21.23858696,55.87119565,17.21391304,,0.0,,121.31041667,23.04583333,0.1625
2014-08-17,23225.79,226.40833333,51.86666667,26.34347826,18.01902174,44.3625,16.55913043,,0.0,,141.68041667,22.92083333,0.25
2014-08-18,10811.87478261,192.2125,54.7375,24.0951087,16.35271739,40.44782609,17.51652174,,0.0,,110.17875,22.37916667,0.17083333
2014-08-19,16962.394,173.92916667,63.17083333,61.7576087,31.44565217,93.20326087,9.75130435,,0.0,,85.04291667,20.9125,0.09583333
2014-08-20,19837.968,172.41666667,48.08333333,34.29728261,27.26521739,61.5625,19.64695652,,0.0,,147.2875,22.77083333,0.13333333
2014-08-21,19331.541,200.07916667,49.13333333,42.58695652,27.89456522,70.48152174,18.64608696,,0.0,,155.8625,22.43333333,0.2125
2014-08-22,8615.08,138.46666667,63.4125,55.66467391,36.0451087,91.70978261,17.13217391,,0.0,,75.84791667,20.99166667,0.05
2014-08-23,,137.15833333,75.74615385,49.38641304,33.51086957,80.85549517,11.00173913,,0.0,,66.65291667,18.79166667,0.04166667
2014-08-24,,124.45714286,,41.21666667,23.13958333,64.35625,0.69333333,,0.0,,7.83714286,17.04285714,0.05714286
2014-08-25,,,,,,,,,,,,,
2014-08-26,,,,,,,,,,,,,
2014-08-27,14850.01777778,,,48.93916667,40.1475,89.08666667,18.576,,,,,,
2014-08-28,5604.79142857,,,63.28369565,33.75108696,97.03478261,9.76571429,,,,,,
2014-08-29,7455.94173913,,,40.71576087,19.82771739,60.54347826,22.81478261,,,,,,
2014-08-30,6033.59304348,,,34.80271739,23.00706522,57.80978261,37.89565217,,,,,,
2014-08-31,4833.96086957,,,30.20108696,23.25,53.45108696,39.21565217,,,,,,
2014-09-01,,,,38.92045455,37.94181818,76.86227273,39.36363636,,0.0,,,,
2014-09-02,,,,44.88095238,70.99238095,115.87333333,17.2,,0.0,,,,
2014-09-03,,,,14.61956522,81.24869565,95.86826087,26.0,,0.0,,,,
2014-09-04,392.57142857,,,17.1875,75.28952381,93.4215,21.52380952,,0.0,,,,
2014-09-05,522.7173913,,,21.79347826,80.34956522,102.14304348,22.86956522,,0.0,,,,
2014-09-06,84.63043478,,,16.30434783,78.22434783,94.52869565,30.34782609,,0.0,,,,
2014-09-07,89.60869565,,,7.66304348,64.9826087,72.64565217,27.47826087,,0.0,,,,
2014-09-08,318.60869565,,,15.43478261,71.68521739,87.12,32.43478261,,0.0,,,,
2014-09-09,383.32608696,,,22.7173913,76.0173913,98.73478261,31.30434783,,0.0,,,,
2014-09-10,624.54545455,,,28.01136364,93.14545455,121.15681818,28.36363636,,0.0,,,,
2014-09-11,179.92857143,104.71818182,85.70909091,22.11956522,97.35130435,119.47086957,17.2173913,,0.0,,29.59090909,18.94363636,0.45454545
2014-09-12,1130.06521739,132.56666667,84.35,36.68478261,101.84695652,138.53173913,19.2173913,,,,63.01166667,18.94958333,0.22083333
2014-09-13,492.84782609,139.1,74.2125,30.92391304,89.83130435,120.75521739,19.82608696,,,,114.405,20.39791667,0.29583333
2014-09-14,219.04347826,119.875,72.9375,9.51086957,74.46434783,83.97521739,25.30434783,,,,81.79,20.22083333,0.6125
2014-09-15,286.25,128.01363636,79.22272727,27.38636364,84.51454545,111.90090909,15.81818182,,,,67.42909091,19.56545455,0.39545455
2014-09-16,751.7173913,126.60416667,56.93333333,14.94565217,70.86782609,85.81347826,22.60869565,,,,133.84416667,22.39791667,0.95
2014-09-17,761.425,112.52083333,68.65416667,17.20238095,66.33714286,83.53952381,32.2,,,,107.91916667,21.05166667,0.6875
2014-09-18,139.39130435,126.05,79.56666667,23.64130435,25.09391304,48.73521739,30.52173913,,,,57.75208333,18.3675,0.58333333
2014-09-19,283.76086957,109.06666667,81.57083333,25.32608696,23.21391304,48.54,17.47826087,,0.07083333,,75.18291667,18.24291667,0.4875
2014-09-20,199.13043478,118.32083333,78.87083333,19.45652174,18.55478261,38.01130435,29.30434783,,0.0,,91.53458333,19.12291667,0.6
2014-09-21,84.63043478,92.86666667,81.09166667,15.92391304,15.53043478,31.45434783,26.7826087,,0.0,,105.62791667,19.39041667,0.41666667
2014-09-22,49.7826087,101.39583333,77.84166667,20.97826087,16.1026087,37.08086957,23.47826087,,0.0,,110.75708333,19.31833333,0.94166667
2014-09-23,1815.64285714,79.85833333,67.975,22.66304348,22.56,45.22304348,28.17391304,,2.78,,138.87208333,21.10291667,0.85
2014-09-24,1573.13043478,79.36666667,60.1375,21.57608696,18.22782609,39.80391304,35.73913043,,0.0,,129.15083333,22.32208333,0.825
2014-09-25,2427.4,82.15,81.4,21.98928257,52.75811723,74.74739981,31.26891117,,0.03333333,,11.995,18.62833333,0.46666667
2014-09-26,,,,28.23784924,68.99648816,97.2343374,30.42147265,,,,,,
2014-09-27,,,,22.50025517,51.48376503,73.9840202,36.59812475,,,,,,
2014-09-28,2186.56089246,,,10.51520165,26.56793617,38.64676329,17.37167032,,,,,,
2014-09-29,1143.02203745,141.39166667,45.96666667,28.34139322,46.74196842,75.08336164,39.83333333,,0.0,,162.7875,24.235,1.225
2014-09-30,836.34782609,161.31666667,57.78333333,22.33695652,19.04521739,41.38217391,29.56521739,,0.0,,162.37166667,22.43333333,0.9625
2014-10-01,363.91086957,139.675,57.28333333,16.88913043,15.5852,32.47433043,28.04608696,,0.0,,140.44291667,22.33333333,1.14166667
2014-10-02,1208.72173913,117.40833333,52.46666667,18.84130435,14.50542609,33.34673043,24.50869565,,0.0,,114.88791667,22.525,1.125
2014-10-03,1383.95652174,130.85833333,58.00416667,25.87282609,20.13153043,46.00435652,21.27391304,,0.0,,104.32875,22.59583333,0.6875
2014-10-04,886.13043478,127.4125,70.46666667,14.32880435,21.62,35.94880435,22.76434783,,0.05833333,,96.28333333,22.03333333,0.77083333
2014-10-05,1078.29130435,116.1875,78.26428571,16.64565217,15.03182609,31.67747826,22.31304348,,0.1875,,123.6125,19.8,0.55
2014-10-06,1343.6326087,136.525,75.81,23.54728261,22.88368696,46.43096957,21.27478261,,0.0,,108.69958333,19.07916667,0.60416667
2014-10-07,1213.7,146.70833333,86.23846154,28.64782609,26.978,55.62582609,16.36,,0.0,,63.83125,18.23333333,0.1875
2014-10-08,611.33043478,125.04782609,74.55714286,24.2576087,28.38881739,52.64642609,8.88086957,,0.76956522,,47.74565217,18.63913043,0.19130435
2014-10-09,1263.4826087,155.69583333,69.6625,27.97826087,29.33453913,57.3128,7.48173913,,0.80416667,,34.85166667,19.1875,0.19166667
2014-10-10,1098.70217391,160.35416667,59.64166667,31.81793478,22.54937391,54.3673087,12.12086957,,0.02083333,,63.06041667,20.89583333,0.74166667
2014-10-11,839.33478261,141.77083333,56.20416667,25.81413043,19.85770435,45.67183478,14.79565217,,0.0375,,81.25583333,21.64166667,0.44583333
2014-10-12,1030.5,125.65833333,58.575,21.54402174,14.32314783,35.86716957,17.94521739,,0.12916667,,114.33125,21.49166667,0.57916667
2014-10-13,613.81956522,126.14583333,57.225,19.8798913,12.63932174,32.51921304,14.81391304,,0.04583333,,66.6075,21.37083333,0.52083333
2014-10-14,1211.21086957,127.66666667,56.59166667,26.50163043,22.69323478,49.19486522,12.29826087,,0.34583333,,102.42708333,21.9625,0.575
2014-10-15,1152.96521739,115.38333333,60.64166667,37.16467391,26.72787826,63.89255217,12.84695652,,0.10416667,,65.80375,20.89166667,0.28333333
2014-10-16,316.6173913,137.84583333,46.37916667,31.02717391,22.05730435,53.08447826,16.47130435,,0.00416667,,82.72375,23.40833333,0.825
2014-10-17,501.80869565,166.6625,48.84166667,28.95217391,19.58469565,48.53686957,16.48608696,,0.0,,65.8525,22.025,0.52083333
2014-10-18,735.28913043,132.94583333,46.87083333,27.92826087,19.29615652,47.22441739,14.46086957,,0.0,,58.99833333,21.8,0.47916667
2014-10-19,891.60652174,147.9,52.6875,20.50108696,18.3676,38.86868696,20.86869565,,0.075,,59.28,21.55,0.39166667
2014-10-20,1468.08913043,113.44583333,56.72916667,33.23858696,22.48725217,55.72583913,10.08434783,,0.14583333,,47.55875,20.925,0.29583333
2014-10-21,682.51956522,138.30833333,46.35,33.00434783,24.23892174,57.24326957,21.22695652,,0.0,,99.49166667,23.24583333,0.5625
2014-10-22,423.12954545,98.11666667,66.17083333,29.31904762,41.19527619,70.51432381,14.42857143,,1.27916667,,93.72,20.61666667,0.67083333
2014-10-23,1809.1,152.7,72.30833333,58.9125,58.91184348,117.82434348,19.72434783,,0.00416667,,137.86541667,20.1875,0.7
2014-10-24,767.64782609,140.9625,69.66666667,48.29293478,59.6524,107.94533478,22.94521739,,0.3375,,100.20625,21.09583333,0.75833333
2014-10-25,460.48913043,138.25416667,78.79583333,29.43409091,53.00489091,82.43898182,20.44571429,,1.09583333,,102.45833333,19.92083333,0.725
2014-10-26,818.92391304,140.35833333,83.99583333,24.65108696,37.11446957,61.76555652,19.86521739,,0.68333333,,45.36958333,17.6,0.3125
2014-10-27,1435.73043478,186.69583333,66.98333333,50.23967391,49.49304348,99.73271739,29.53565217,,0.00416667,,105.18541667,20.12083333,0.925
