Fecha,CO,O3,PM2.5
2008-06-21,1.116872,34.17095411,
2008-06-22,,15.31481021,
2008-06-23,,20.5511553,
2008-06-24,,29.35586227,
2008-06-25,1.477558,11.66527388,
2008-06-26,1.39274525,13.73136013,
2008-06-27,1.164363,17.09580842,
2008-06-28,1.028569,15.78874028,
2008-06-29,,15.26878386,
2008-06-30,,18.79447202,
2008-07-01,,14.13340655,
2008-07-02,1.2273483,14.86925389,
2008-07-03,1.20592033,17.20614065,30.6
2008-07-04,1.11634533,19.15978575,27.45833333
2008-07-05,1.1436376,17.0372145,22.5
2008-07-06,,21.09986933,16.95833333
2008-07-07,,,28.0
2008-07-08,1.26767633,15.74900247,30.5
2008-07-09,1.1731004,19.91300877,24.83333333
2008-07-10,1.28455417,10.50859543,16.95833333
2008-07-11,1.4367554,18.44280386,18.54166667
2008-07-12,,17.92409144,19.65217391
2008-07-13,1.055051,18.05505724,18.41666667
2008-07-14,1.32084589,14.84185655,23.54166667
2008-07-15,1.323721,18.38415033,17.04166667
2008-07-16,1.65742889,10.80322132,23.83333333
2008-07-17,1.26871033,15.70751682,17.41666667
2008-07-18,1.3812393,15.53514219,23.29166667
2008-07-19,1.29629,17.52013004,19.45833333
2008-07-20,1.267128,16.10861435,18.25
2008-07-21,1.3952296,12.59215932,17.30434783
2008-07-22,1.39223971,15.7686783,16.91666667
2008-07-23,1.21904173,21.53169064,19.45833333
2008-07-24,1.28867486,24.7510763,23.5
2008-07-25,1.38487267,23.70427315,16.41666667
2008-07-26,1.17865575,26.40682878,18.70833333
2008-07-27,,16.31229387,12.875
2008-07-28,1.294683,24.49717209,18.54166667
2008-07-29,1.3080694,14.09259727,18.5
2008-07-30,1.30725357,22.04278186,18.95833333
2008-07-31,1.40654727,30.818801,23.08333333
2008-08-01,1.33927669,20.38529761,17.41666667
2008-08-02,1.30719531,31.21442044,26.66666667
2008-08-03,,21.41317195,12.45833333
2008-08-04,1.131581,21.31857641,18.5
2008-08-05,1.22831225,17.80573383,18.54166667
2008-08-06,1.17194233,15.98531157,16.70833333
2008-08-07,,,16.0
2008-08-08,1.300038,19.7041997,18.375
2008-08-09,1.15874,26.55897839,27.16666667
2008-08-10,1.04842,23.03323983,30.04166667
2008-08-11,1.21147386,15.89788826,17.66666667
2008-08-12,1.1960345,19.18441307,24.41666667
2008-08-13,1.2080658,23.9674168,22.29166667
2008-08-14,1.7701868,16.33661326,24.73913043
2008-08-15,1.1514885,29.41777863,23.95833333
2008-08-16,1.18144233,20.47416952,23.0
2008-08-17,1.057848,19.76917118,21.41666667
2008-08-18,1.072466,20.68788967,21.375
2008-08-19,1.19957638,18.29357982,21.0
2008-08-20,1.24532775,16.86354967,27.45833333
2008-08-21,1.52596913,22.13160421,38.33333333
2008-08-22,1.21159967,17.39964748,29.54166667
2008-08-23,1.20276871,17.73376465,20.25
2008-08-24,,20.92687055,23.79166667
2008-08-25,1.179253,13.00107932,20.83333333
2008-08-26,1.23217375,25.49872913,27.625
2008-08-27,1.44530564,26.0433281,30.66666667
2008-08-28,1.45124071,16.3192378,29.5
2008-08-29,1.123899,14.60495825,32.54166667
2008-08-30,1.15505617,36.3692411,25.375
2008-08-31,1.083776,21.03790142,14.70833333
2008-09-01,,10.16533207,20.52941176
2008-09-02,1.060302,14.5772181,17.79166667
2008-09-03,,12.68198418,13.70833333
2008-09-04,1.527495,11.12235418,20.20833333
2008-09-05,1.604455,23.12181918,29.79166667
2008-09-06,1.218888,22.50775273,21.375
2008-09-07,,,29.0
2008-09-08,1.2763095,27.29893714,29.45833333
2008-09-09,,20.88106361,20.70833333
2008-09-10,,24.85952564,19.0
2008-09-11,1.152784,29.67753257,26.875
2008-09-12,1.2608425,28.10807457,29.95833333
2008-09-13,1.11526033,27.86941796,40.66666667
2008-09-14,1.098146,27.486667,37.08333333
2008-09-15,1.352591,20.68426367,24.86363636
2008-09-16,1.2639866,15.24957535,31.70833333
2008-09-17,1.1772215,20.81344513,26.20833333
2008-09-18,1.12058867,22.7364939,33.45833333
2008-09-19,1.236795,18.06382714,36.54166667
2008-09-20,1.60416,22.18654595,29.75
2008-09-21,,31.466034,16.16666667
2008-09-22,1.37350867,15.48848118,22.79166667
2008-09-23,1.176709,16.39896823,19.20833333
2008-09-24,1.076349,23.53742978,17.45833333
2008-09-25,1.29662583,25.07339,20.41666667
2008-09-26,1.1647175,21.80816729,24.375
2008-09-27,1.332077,25.71730278,18.125
2008-09-28,1.14028867,26.36650068,20.75
2008-09-29,1.288436,19.24796127,18.95652174
2008-09-30,1.19022033,21.89119743,22.83333333
2008-10-01,1.20071557,24.588979,18.875
2008-10-02,1.155172,21.3602573,23.75
2008-10-03,1.1522114,18.42287386,25.95833333
2008-10-04,,3.244981,28.1
2008-10-05,,,
2008-10-06,,,
2008-10-07,,,
2008-10-08,,,
2008-10-09,,,
2008-10-10,1.18787171,23.76088171,26.21428571
2008-10-11,1.15553773,29.18248495,30.75
2008-10-12,,18.48949413,12.66666667
2008-10-13,1.15081433,24.27445694,22.375
2008-10-14,1.2125008,21.2696969,14.45833333
2008-10-15,1.626176,11.24120967,25.375
2008-10-16,1.22478514,18.08166036,24.33333333
2008-10-17,,,32.0
2008-10-18,1.25442738,28.59883489,28.75
2008-10-19,,28.43352465,16.29166667
2008-10-20,1.19568283,17.99506327,23.79166667
2008-10-21,1.1959342,24.616506,27.5
2008-10-22,1.1536991,19.05098515,20.0
2008-10-23,1.015936,22.78750605,22.58333333
2008-10-24,1.030607,26.42089426,23.29166667
2008-10-25,1.19074875,16.37786768,22.82608696
2008-10-26,,19.9029107,15.20833333
2008-10-27,1.19186588,19.04497387,23.26086957
2008-10-28,1.28236155,27.76636043,31.26086957
2008-10-29,1.21394933,26.96603452,25.08333333
2008-10-30,1.09599522,19.1009443,23.04166667
2008-10-31,1.268521,22.46707757,23.45833333
2008-11-01,1.103486,7.846272,18.41666667
2008-11-02,,,10.54166667
2008-11-03,1.047683,,15.875
2008-11-04,1.6283072,26.98302385,39.66666667
2008-11-05,1.25750091,20.76796909,32.29166667
2008-11-06,1.18366875,24.65320832,23.375
2008-11-07,1.23942025,16.47823157,20.5
2008-11-08,1.15040343,13.50451726,25.66666667
2008-11-09,1.17174025,20.89405933,22.33333333
2008-11-10,1.1073442,17.22742465,18.34782609
