Fecha,DViento,HAire10,HAire2,NO,NO2,NOx,O3,P,PLiquida,PM2.5,RGlobal,TAire10,TAire2,TMPR_AIR_10CM,VViento
2012-09-13,,,,12.75,20.91666667,33.83333333,19.75,,0.0,,139.65,,,,
2012-09-14,,,,19.14285714,27.04761905,46.14285714,20.54545455,,0.0,,257.1375,,,,
2012-09-15,,,,33.33333333,30.41666667,63.58333333,17.20833333,,0.0,,232.78333333,,,,
2012-09-16,,,,13.375,18.125,31.41666667,17.0,,0.0,,221.09166667,,,,
2012-09-17,,,,16.04166667,22.875,38.875,17.41666667,,0.02083333,,143.94166667,,,,
2012-09-18,,,,23.125,21.83333333,44.91666667,23.33333333,,0.00833333,26.84615385,223.12916667,,,,
2012-09-19,,,,8.91666667,15.91666667,24.95833333,31.83333333,,0.22083333,22.04166667,193.4875,,,,
2012-09-20,,,,19.95833333,27.29166667,47.20833333,28.25,,0.025,33.29166667,147.87916667,,,,
2012-09-21,,,,14.08333333,20.58333333,34.70833333,37.75,,0.57083333,23.58333333,195.57916667,,,,
2012-09-22,,,,18.79166667,21.83333333,40.66666667,33.0,,0.2375,22.54166667,174.24166667,,,,
2012-09-23,,,,4.79166667,11.875,16.58333333,37.83333333,,0.0,15.08333333,195.1625,,,,
2012-09-24,,,,40.5,23.70833333,64.20833333,22.875,,1.11666667,26.54166667,110.9375,,,,
2012-09-25,,,,32.125,25.0,57.16666667,26.25,,0.00416667,33.5,132.95833333,,,,
2012-09-26,,,,25.33333333,21.20833333,46.66666667,23.625,,0.0,26.54166667,190.8875,,,,
2012-09-27,,,,10.79166667,17.70833333,28.375,29.75,,0.0,20.58333333,183.8375,,,,
2012-09-28,,,,28.5,21.70833333,50.04166667,26.75,,0.21666667,29.125,205.14166667,,,,
2012-09-29,,,,18.125,18.45833333,36.66666667,27.29166667,,0.0,23.41666667,210.0625,,,,
2012-09-30,,,,6.04166667,11.58333333,17.58333333,25.125,,0.0,15.375,194.19166667,,,,
2012-10-01,,,,11.37931034,17.875,28.27586207,16.33333333,,0.0,17.70833333,171.24166667,,,,
2012-10-02,,,,14.29166667,20.25,34.25,27.875,,0.12083333,19.16666667,153.52916667,,,,
2012-10-03,,,,10.5,15.75,26.20833333,27.33333333,,0.02916667,18.20833333,237.1375,,,,
2012-10-04,,,,35.54166667,29.0,64.75,31.75,,0.12916667,30.0,177.61666667,,,,
2012-10-05,,,,35.16666667,27.70833333,62.625,31.08333333,,0.02916667,32.70833333,164.1375,,,,
2012-10-06,,,,40.08333333,30.125,70.25,27.25,,0.58333333,41.79166667,119.7125,,,,
2012-10-07,,,,14.79166667,16.25,31.25531915,28.125,,0.50416667,16.375,175.82083333,,,,
