Fecha,CO,NO,NO2,NOx,PM10
2008-01-01,,,,,56.07129696
2008-01-02,,,,,57.59296182
2008-01-03,,,,,59.4322335
2008-01-04,,,,,62.39926952
2008-01-05,,,,,65.40598375
2008-01-06,,,,,52.81440958
2008-01-07,,,,,65.47212042
2008-01-08,,,,,76.02563867
2008-01-09,,,,,68.41705714
2008-01-10,,,,,49.78965364
2008-01-11,,,,,59.8351625
2008-01-12,,,,,45.793653
2008-01-13,,,,,39.35287125
2008-01-14,,,,,54.450551
2008-01-15,,,,,48.549625
2008-01-16,,,,,54.358105
2008-01-17,,,,,57.7747275
2008-01-18,,,,,59.178875
2008-01-19,,,,,61.19112211
2008-01-20,,,,,57.23036542
2008-01-21,,,,,61.33249947
2008-01-22,,,,,62.62126727
2008-01-23,,,,,72.27009526
2008-01-24,,,,,67.836794
2008-01-25,,,,,85.44405
2008-01-26,,,,,69.00553105
2008-01-27,,,,,50.84045708
2008-01-28,,,,,60.71557263
2008-01-29,,,,,67.96160333
2008-01-30,,,,,85.06337429
2008-01-31,,,,,52.14286
2008-02-01,,,,,
2008-02-02,,,,,
2008-02-03,,,,,
2008-02-04,,,,,
2008-02-05,,,,,
2008-02-06,,,,,
2008-02-07,,,,,
2008-02-08,,,,,
2008-02-09,,,,,
2008-02-10,,,,,
2008-02-11,,,,,
2008-02-12,,,,,
2008-02-13,,,,,
2008-02-14,,,,,
2008-02-15,,,,,
2008-02-16,,,,,
2008-02-17,,,,,
2008-02-18,,,,,
2008-02-19,,,,,
2008-02-20,,,,,
2008-02-21,,,,,
2008-02-22,,,,,
2008-02-23,,,,,
2008-02-24,,,,,
2008-02-25,,,,,
2008-02-26,,,,,
2008-02-27,,,,,
2008-02-28,,,,,
2008-02-29,,,,,
2008-03-01,,,,,
2008-03-02,,,,,
2008-03-03,,,,,
2008-03-04,,,,,
2008-03-05,,,,,
2008-03-06,,,,,
2008-03-07,,,,,
2008-03-08,,,,,
2008-03-09,,,,,
2008-03-10,,,,,
2008-03-11,,,,,
2008-03-12,,,,,
2008-03-13,,,,,
2008-03-14,,,,,
2008-03-15,,,,,
2008-03-16,,,,,
2008-03-17,,,,,
2008-03-18,,,,,
2008-03-19,,,,,
2008-03-20,,,,,
2008-03-21,,,,,
2008-03-22,,,,,
2008-03-23,,,,,
2008-03-24,,,,,
2008-03-25,,,,,
2008-03-26,,,,,
2008-03-27,,,,,170.19624057
