"Estacion","Fecha inicial","Fecha final","DViento"
"ALMACÉN GENERAL DE EPM","2025-10-31","","40.77708333"
"ALMACÉN GENERAL DE EPM","2025-10-30","","82.12654167"
"ALMACÉN GENERAL DE EPM","2025-10-29","","61.89220833"
"ALMACÉN GENERAL DE EPM","2025-10-28","","168.72441667"
"ALMACÉN GENERAL DE EPM","2025-10-27","","212.12583333"
"ALMACÉN GENERAL DE EPM","2025-10-26","","120.82995833"
"ALMACÉN GENERAL DE EPM","2025-10-25","","173.107"
"ALMACÉN GENERAL DE EPM","2025-10-24","","222.47541667"
"ALMACÉN GENERAL DE EPM","2025-10-23","","140.37895833"
"ALMACÉN GENERAL DE EPM","2025-10-22","","191.67479167"
"ALMACÉN GENERAL DE EPM","2025-10-21","","227.29983333"
"ALMACÉN GENERAL DE EPM","2025-10-20","","191.08970833"
"ALMACÉN GENERAL DE EPM","2025-10-19","","74.10666667"
"ALMACÉN GENERAL DE EPM","2025-10-18","","100.46295833"
"ALMACÉN GENERAL DE EPM","2025-10-17","","177.90895833"
"ALMACÉN GENERAL DE EPM","2025-10-16","","147.629125"
"ALMACÉN GENERAL DE EPM","2025-10-15","","198.44466667"
"ALMACÉN GENERAL DE EPM","2025-10-14","","59.39266667"
"ALMACÉN GENERAL DE EPM","2025-10-13","","0.0"
"ALMACÉN GENERAL DE EPM","2025-10-12","","0.0"
"ALMACÉN GENERAL DE EPM","2025-10-11","","154.04108333"
"ALMACÉN GENERAL DE EPM","2025-10-10","","213.28779167"
"ALMACÉN GENERAL DE EPM","2025-10-09","","151.508"
"ALMACÉN GENERAL DE EPM","2025-10-08","","144.56808333"
"ALMACÉN GENERAL DE EPM","2025-10-07","","133.62058333"
"ALMACÉN GENERAL DE EPM","2025-10-06","","89.629875"
"ALMACÉN GENERAL DE EPM","2025-10-05","","163.48708333"
"ALMACÉN GENERAL DE EPM","2025-10-04","","158.84695833"
"ALMACÉN GENERAL DE EPM","2025-10-03","","139.78341667"
"ALMACÉN GENERAL DE EPM","2025-10-02","","122.88704167"
"ALMACÉN GENERAL DE EPM","2025-10-01","","118.75616667"
"ALMACÉN GENERAL DE EPM","2025-09-30","","0.0"
"ALMACÉN GENERAL DE EPM","2025-09-29","","0.0"
"ALMACÉN GENERAL DE EPM","2025-09-28","","0.0"
"ALMACÉN GENERAL DE EPM","2025-09-27","","0.0"
"ALMACÉN GENERAL DE EPM","2025-09-26","","0.0"
"ALMACÉN GENERAL DE EPM","2025-09-25","","0.0"
"ALMACÉN GENERAL DE EPM","2025-09-24","","42.271625"
"ALMACÉN GENERAL DE EPM","2025-09-23","","110.20416667"
"ALMACÉN GENERAL DE EPM","2025-09-22","","65.85533333"
"ALMACÉN GENERAL DE EPM","2025-09-21","","97.56204167"
"ALMACÉN GENERAL DE EPM","2025-09-20","","153.3215"
"ALMACÉN GENERAL DE EPM","2025-09-19","","22.63020833"
"ALMACÉN GENERAL DE EPM","2025-09-18","","147.26058333"
"ALMACÉN GENERAL DE EPM","2025-09-17","","102.75795833"
"ALMACÉN GENERAL DE EPM","2025-09-16","","55.895875"
"ALMACÉN GENERAL DE EPM","2025-09-15","","62.18533333"
"ALMACÉN GENERAL DE EPM","2025-09-14","","46.37079167"
"ALMACÉN GENERAL DE EPM","2025-09-13","","72.739625"
"ALMACÉN GENERAL DE EPM","2025-09-12","","92.65925"
"ALMACÉN GENERAL DE EPM","2025-09-11","","75.27791667"
"ALMACÉN GENERAL DE EPM","2025-09-10","","70.7815"
"ALMACÉN GENERAL DE EPM","2025-09-09","","109.86908333"
"ALMACÉN GENERAL DE EPM","2025-09-08","","49.33725"
"ALMACÉN GENERAL DE EPM","2025-09-07","","171.39"
"ALMACÉN GENERAL DE EPM","2025-09-06","","154.303375"
"ALMACÉN GENERAL DE EPM","2025-09-05","","37.53741667"
"ALMACÉN GENERAL DE EPM","2025-09-04","","74.806625"
"ALMACÉN GENERAL DE EPM","2025-09-03","","100.92991667"
"ALMACÉN GENERAL DE EPM","2025-09-02","","162.93629167"
"ALMACÉN GENERAL DE EPM","2025-09-01","","98.05591667"
"ALMACÉN GENERAL DE EPM","2025-08-31","","180.82575702"
"ALMACÉN GENERAL DE EPM","2025-08-30","","74.3556704"
"ALMACÉN GENERAL DE EPM","2025-08-29","","130.5688781"
"ALMACÉN GENERAL DE EPM","2025-08-28","","77.19610817"
"ALMACÉN GENERAL DE EPM","2025-08-27","","47.63793758"
"ALMACÉN GENERAL DE EPM","2025-08-26","","97.79566801"
"ALMACÉN GENERAL DE EPM","2025-08-25","","64.04269388"
"ALMACÉN GENERAL DE EPM","2025-08-24","","92.84512034"
"ALMACÉN GENERAL DE EPM","2025-08-23","","187.82144486"
"ALMACÉN GENERAL DE EPM","2025-08-22","","175.44756415"
"ALMACÉN GENERAL DE EPM","2025-08-21","","128.64694409"
"ALMACÉN GENERAL DE EPM","2025-08-20","","182.06852107"
"ALMACÉN GENERAL DE EPM","2025-08-19","","90.34169961"
"ALMACÉN GENERAL DE EPM","2025-08-18","","116.0480205"
"ALMACÉN GENERAL DE EPM","2025-08-17","","152.87488738"
"ALMACÉN GENERAL DE EPM","2025-08-16","","134.20002891"
"ALMACÉN GENERAL DE EPM","2025-08-15","","168.11452137"
"ALMACÉN GENERAL DE EPM","2025-08-14","","100.25887814"
"ALMACÉN GENERAL DE EPM","2025-08-13","","97.78235949"
"ALMACÉN GENERAL DE EPM","2025-08-12","","74.07154864"
"ALMACÉN GENERAL DE EPM","2025-08-11","","107.89522703"
"ALMACÉN GENERAL DE EPM","2025-08-10","","211.20642312"
"ALMACÉN GENERAL DE EPM","2025-08-09","","172.39828423"
"ALMACÉN GENERAL DE EPM","2025-08-08","","168.33755297"
"ALMACÉN GENERAL DE EPM","2025-08-07","","163.31467992"
"ALMACÉN GENERAL DE EPM","2025-08-06","","72.93885059"
"ALMACÉN GENERAL DE EPM","2025-08-05","","106.1093674"
"ALMACÉN GENERAL DE EPM","2025-08-04","","91.97757502"
"ALMACÉN GENERAL DE EPM","2025-08-03","","136.18785132"
"ALMACÉN GENERAL DE EPM","2025-08-02","","156.43321891"
"ALMACÉN GENERAL DE EPM","2025-08-01","","72.420649"
"ALMACÉN GENERAL DE EPM","2025-07-31","","64.45866324"
"ALMACÉN GENERAL DE EPM","2025-07-30","","113.13954158"
"ALMACÉN GENERAL DE EPM","2025-07-29","","124.07000977"
"ALMACÉN GENERAL DE EPM","2025-07-28","","117.87813881"
"ALMACÉN GENERAL DE EPM","2025-07-27","","152.33560351"
"ALMACÉN GENERAL DE EPM","2025-07-26","","107.08056874"
"ALMACÉN GENERAL DE EPM","2025-07-25","","146.73599081"
"ALMACÉN GENERAL DE EPM","2025-07-24","","105.82110622"
"ALMACÉN GENERAL DE EPM","2025-07-23","","52.44239079"
"ALMACÉN GENERAL DE EPM","2025-07-22","","32.21948924"
"ALMACÉN GENERAL DE EPM","2025-07-21","","57.61228444"
"ALMACÉN GENERAL DE EPM","2025-07-20","","104.90040365"
"ALMACÉN GENERAL DE EPM","2025-07-19","","125.03316805"
"ALMACÉN GENERAL DE EPM","2025-07-18","","111.75218099"
"ALMACÉN GENERAL DE EPM","2025-07-17","","126.49161618"
