"Estacion","Fecha inicial","Fecha final","NO"
"ALMACÉN GENERAL DE EPM","2025-10-31","","11.07882292"
"ALMACÉN GENERAL DE EPM","2025-10-30","","9.99183875"
"ALMACÉN GENERAL DE EPM","2025-10-29","","12.33700583"
"ALMACÉN GENERAL DE EPM","2025-10-28","","18.69358125"
"ALMACÉN GENERAL DE EPM","2025-10-27","","15.45240583"
"ALMACÉN GENERAL DE EPM","2025-10-26","","5.73890708"
"ALMACÉN GENERAL DE EPM","2025-10-25","","10.2953425"
"ALMACÉN GENERAL DE EPM","2025-10-24","","39.49411208"
"ALMACÉN GENERAL DE EPM","2025-10-23","","41.20723875"
"ALMACÉN GENERAL DE EPM","2025-10-22","","29.22776583"
"ALMACÉN GENERAL DE EPM","2025-10-21","","20.0685025"
"ALMACÉN GENERAL DE EPM","2025-10-20","","8.19147708"
"ALMACÉN GENERAL DE EPM","2025-10-19","","9.0914075"
"ALMACÉN GENERAL DE EPM","2025-10-18","","16.42434583"
"ALMACÉN GENERAL DE EPM","2025-10-17","","26.70037333"
"ALMACÉN GENERAL DE EPM","2025-10-16","","19.92386417"
"ALMACÉN GENERAL DE EPM","2025-10-15","","22.77805292"
"ALMACÉN GENERAL DE EPM","2025-10-14","","24.99055958"
"ALMACÉN GENERAL DE EPM","2025-10-13","","10.96930292"
"ALMACÉN GENERAL DE EPM","2025-10-12","","6.80898208"
"ALMACÉN GENERAL DE EPM","2025-10-11","","21.32687083"
"ALMACÉN GENERAL DE EPM","2025-10-10","","17.19326625"
"ALMACÉN GENERAL DE EPM","2025-10-09","","28.68352125"
"ALMACÉN GENERAL DE EPM","2025-10-08","","22.96231458"
"ALMACÉN GENERAL DE EPM","2025-10-07","","12.59542"
"ALMACÉN GENERAL DE EPM","2025-10-06","","13.89328042"
"ALMACÉN GENERAL DE EPM","2025-10-05","","3.81072417"
"ALMACÉN GENERAL DE EPM","2025-10-04","","14.85620583"
"ALMACÉN GENERAL DE EPM","2025-10-03","","11.00561333"
"ALMACÉN GENERAL DE EPM","2025-10-02","","1.83916833"
"ALMACÉN GENERAL DE EPM","2025-10-01","","0.0"
"ALMACÉN GENERAL DE EPM","2025-09-30","","0.0"
"ALMACÉN GENERAL DE EPM","2025-09-29","","16.30896"
"ALMACÉN GENERAL DE EPM","2025-09-28","","13.63802792"
"ALMACÉN GENERAL DE EPM","2025-09-27","","18.38156958"
"ALMACÉN GENERAL DE EPM","2025-09-26","","30.642725"
"ALMACÉN GENERAL DE EPM","2025-09-25","","7.86600208"
"ALMACÉN GENERAL DE EPM","2025-09-24","","8.44827625"
"ALMACÉN GENERAL DE EPM","2025-09-23","","11.24842792"
"ALMACÉN GENERAL DE EPM","2025-09-22","","7.81041917"
"ALMACÉN GENERAL DE EPM","2025-09-21","","5.87509125"
"ALMACÉN GENERAL DE EPM","2025-09-20","","10.89556292"
"ALMACÉN GENERAL DE EPM","2025-09-19","","14.45773708"
"ALMACÉN GENERAL DE EPM","2025-09-18","","18.55136417"
"ALMACÉN GENERAL DE EPM","2025-09-17","","10.35267375"
"ALMACÉN GENERAL DE EPM","2025-09-16","","7.88632417"
"ALMACÉN GENERAL DE EPM","2025-09-15","","5.69273083"
"ALMACÉN GENERAL DE EPM","2025-09-14","","1.01815208"
"ALMACÉN GENERAL DE EPM","2025-09-13","","5.060845"
"ALMACÉN GENERAL DE EPM","2025-09-12","","9.31472333"
"ALMACÉN GENERAL DE EPM","2025-09-11","","8.1223325"
"ALMACÉN GENERAL DE EPM","2025-09-10","","9.94946667"
"ALMACÉN GENERAL DE EPM","2025-09-09","","12.54443083"
"ALMACÉN GENERAL DE EPM","2025-09-08","","14.81707625"
"ALMACÉN GENERAL DE EPM","2025-09-07","","6.80678167"
