"Estacion","Fecha inicial","Fecha final","NO2"
"ALMACÉN GENERAL DE EPM","2025-10-31","","34.58926958"
"ALMACÉN GENERAL DE EPM","2025-10-30","","30.87116667"
"ALMACÉN GENERAL DE EPM","2025-10-29","","33.38880833"
"ALMACÉN GENERAL DE EPM","2025-10-28","","37.76544375"
"ALMACÉN GENERAL DE EPM","2025-10-27","","23.31463417"
"ALMACÉN GENERAL DE EPM","2025-10-26","","29.198545"
"ALMACÉN GENERAL DE EPM","2025-10-25","","32.36023875"
"ALMACÉN GENERAL DE EPM","2025-10-24","","49.50571458"
"ALMACÉN GENERAL DE EPM","2025-10-23","","54.22429708"
"ALMACÉN GENERAL DE EPM","2025-10-22","","51.52787333"
"ALMACÉN GENERAL DE EPM","2025-10-21","","45.99329583"
"ALMACÉN GENERAL DE EPM","2025-10-20","","37.57240083"
"ALMACÉN GENERAL DE EPM","2025-10-19","","31.59017542"
"ALMACÉN GENERAL DE EPM","2025-10-18","","43.36967833"
"ALMACÉN GENERAL DE EPM","2025-10-17","","48.74488083"
"ALMACÉN GENERAL DE EPM","2025-10-16","","38.0154675"
"ALMACÉN GENERAL DE EPM","2025-10-15","","48.45299958"
"ALMACÉN GENERAL DE EPM","2025-10-14","","43.50308125"
"ALMACÉN GENERAL DE EPM","2025-10-13","","27.96998167"
"ALMACÉN GENERAL DE EPM","2025-10-12","","35.489205"
"ALMACÉN GENERAL DE EPM","2025-10-11","","43.062795"
"ALMACÉN GENERAL DE EPM","2025-10-10","","37.6628525"
"ALMACÉN GENERAL DE EPM","2025-10-09","","50.09394208"
"ALMACÉN GENERAL DE EPM","2025-10-08","","48.27064625"
"ALMACÉN GENERAL DE EPM","2025-10-07","","41.78823708"
"ALMACÉN GENERAL DE EPM","2025-10-06","","39.54422833"
"ALMACÉN GENERAL DE EPM","2025-10-05","","29.59242458"
"ALMACÉN GENERAL DE EPM","2025-10-04","","45.81932917"
"ALMACÉN GENERAL DE EPM","2025-10-03","","42.70390083"
"ALMACÉN GENERAL DE EPM","2025-10-02","","17.45177917"
"ALMACÉN GENERAL DE EPM","2025-10-01","","0.0"
"ALMACÉN GENERAL DE EPM","2025-09-30","","0.0"
"ALMACÉN GENERAL DE EPM","2025-09-29","","26.92165292"
"ALMACÉN GENERAL DE EPM","2025-09-28","","37.11897"
"ALMACÉN GENERAL DE EPM","2025-09-27","","55.10535208"
"ALMACÉN GENERAL DE EPM","2025-09-26","","53.353865"
"ALMACÉN GENERAL DE EPM","2025-09-25","","38.71615292"
"ALMACÉN GENERAL DE EPM","2025-09-24","","35.57023917"
"ALMACÉN GENERAL DE EPM","2025-09-23","","30.18828917"
"ALMACÉN GENERAL DE EPM","2025-09-22","","32.54174958"
"ALMACÉN GENERAL DE EPM","2025-09-21","","28.98419583"
"ALMACÉN GENERAL DE EPM","2025-09-20","","40.7921225"
"ALMACÉN GENERAL DE EPM","2025-09-19","","49.44937333"
"ALMACÉN GENERAL DE EPM","2025-09-18","","51.15163167"
"ALMACÉN GENERAL DE EPM","2025-09-17","","37.61102042"
"ALMACÉN GENERAL DE EPM","2025-09-16","","32.29409625"
"ALMACÉN GENERAL DE EPM","2025-09-15","","22.96355083"
"ALMACÉN GENERAL DE EPM","2025-09-14","","15.5916"
"ALMACÉN GENERAL DE EPM","2025-09-13","","25.93657583"
"ALMACÉN GENERAL DE EPM","2025-09-12","","41.1641925"
"ALMACÉN GENERAL DE EPM","2025-09-11","","31.54414458"
"ALMACÉN GENERAL DE EPM","2025-09-10","","31.81020917"
"ALMACÉN GENERAL DE EPM","2025-09-09","","34.04943167"
"ALMACÉN GENERAL DE EPM","2025-09-08","","32.43252333"
"ALMACÉN GENERAL DE EPM","2025-09-07","","30.52208792"
"ALMACÉN GENERAL DE EPM","2025-09-06","","40.74000375"
"ALMACÉN GENERAL DE EPM","2025-09-05","","32.82750958"
"ALMACÉN GENERAL DE EPM","2025-09-04","","40.92139458"
"ALMACÉN GENERAL DE EPM","2025-09-03","","33.37151167"
"ALMACÉN GENERAL DE EPM","2025-09-02","","36.36325292"
"ALMACÉN GENERAL DE EPM","2025-09-01","","33.387765"
"ALMACÉN GENERAL DE EPM","2025-08-31","","37.25704499"
"ALMACÉN GENERAL DE EPM","2025-08-30","","39.0751582"
"ALMACÉN GENERAL DE EPM","2025-08-29","","42.18301745"
"ALMACÉN GENERAL DE EPM","2025-08-28","","41.40880465"
"ALMACÉN GENERAL DE EPM","2025-08-27","","36.66616867"
"ALMACÉN GENERAL DE EPM","2025-08-26","","35.62445419"
"ALMACÉN GENERAL DE EPM","2025-08-25","","38.31305773"
"ALMACÉN GENERAL DE EPM","2025-08-24","","25.82500834"
"ALMACÉN GENERAL DE EPM","2025-08-23","","40.12321755"
"ALMACÉN GENERAL DE EPM","2025-08-22","","54.23169732"
"ALMACÉN GENERAL DE EPM","2025-08-21","","39.9950762"
"ALMACÉN GENERAL DE EPM","2025-08-20","","40.33831572"
"ALMACÉN GENERAL DE EPM","2025-08-19","","35.99155952"
"ALMACÉN GENERAL DE EPM","2025-08-18","","26.01274633"
"ALMACÉN GENERAL DE EPM","2025-08-17","","37.39704092"
"ALMACÉN GENERAL DE EPM","2025-08-16","","37.77225156"
"ALMACÉN GENERAL DE EPM","2025-08-15","","50.88442578"
"ALMACÉN GENERAL DE EPM","2025-08-14","","31.68252581"
"ALMACÉN GENERAL DE EPM","2025-08-13","","23.67548617"
"ALMACÉN GENERAL DE EPM","2025-08-12","","22.75991921"
"ALMACÉN GENERAL DE EPM","2025-08-11","","26.98579342"
"ALMACÉN GENERAL DE EPM","2025-08-10","","22.24244751"
"ALMACÉN GENERAL DE EPM","2025-08-09","","23.41867719"
"ALMACÉN GENERAL DE EPM","2025-08-08","","28.70705786"
"ALMACÉN GENERAL DE EPM","2025-08-07","","24.64796297"
"ALMACÉN GENERAL DE EPM","2025-08-06","","27.96681573"
"ALMACÉN GENERAL DE EPM","2025-08-05","","28.68318747"
"ALMACÉN GENERAL DE EPM","2025-08-04","","26.38371371"
"ALMACÉN GENERAL DE EPM","2025-08-03","","20.44959698"
"ALMACÉN GENERAL DE EPM","2025-08-02","","25.07439718"
"ALMACÉN GENERAL DE EPM","2025-08-01","","24.98299615"
"ALMACÉN GENERAL DE EPM","2025-07-31","","26.46963174"
"ALMACÉN GENERAL DE EPM","2025-07-30","","30.42838144"
"ALMACÉN GENERAL DE EPM","2025-07-29","","31.42300717"
"ALMACÉN GENERAL DE EPM","2025-07-28","","33.83136211"
"ALMACÉN GENERAL DE EPM","2025-07-27","","24.97373602"
"ALMACÉN GENERAL DE EPM","2025-07-26","","36.14805136"
"ALMACÉN GENERAL DE EPM","2025-07-25","","36.48759128"
"ALMACÉN GENERAL DE EPM","2025-07-24","","32.00358494"
"ALMACÉN GENERAL DE EPM","2025-07-23","","28.38269513"
"ALMACÉN GENERAL DE EPM","2025-07-22","","28.45870693"
"ALMACÉN GENERAL DE EPM","2025-07-21","","35.45546934"
"ALMACÉN GENERAL DE EPM","2025-07-20","","22.72646416"
"ALMACÉN GENERAL DE EPM","2025-07-19","","24.40560167"
"ALMACÉN GENERAL DE EPM","2025-07-18","","26.60523914"
"ALMACÉN GENERAL DE EPM","2025-07-17","","25.00578518"
"ALMACÉN GENERAL DE EPM","2025-07-16","","36.59123919"
"ALMACÉN GENERAL DE EPM","2025-07-15","","33.2095125"
"ALMACÉN GENERAL DE EPM","2025-07-14","","25.01250075"
"ALMACÉN GENERAL DE EPM","2025-07-13","","21.56122947"
"ALMACÉN GENERAL DE EPM","2025-07-12","","28.33871144"
"ALMACÉN GENERAL DE EPM","2025-07-11","","30.92070213"
"ALMACÉN GENERAL DE EPM","2025-07-10","","36.73090532"
"ALMACÉN GENERAL DE EPM","2025-07-09","","35.64010164"
"ALMACÉN GENERAL DE EPM","2025-07-08","","32.64616092"
"ALMACÉN GENERAL DE EPM","2025-07-07","","32.60990525"
"ALMACÉN GENERAL DE EPM","2025-07-06","","21.68775378"
"ALMACÉN GENERAL DE EPM","2025-07-05","","26.53665761"
"ALMACÉN GENERAL DE EPM","2025-07-04","","31.73122973"
"ALMACÉN GENERAL DE EPM","2025-07-03","","39.10709926"
"ALMACÉN GENERAL DE EPM","2025-07-02","","29.45540005"
"ALMACÉN GENERAL DE EPM","2025-07-01","","32.51835548"
"ALMACÉN GENERAL DE EPM","2025-06-30","","23.52661967"
"ALMACÉN GENERAL DE EPM","2025-06-29","","29.30483611"
"ALMACÉN GENERAL DE EPM","2025-06-28","","35.07763615"
"ALMACÉN GENERAL DE EPM","2025-06-27","","43.01913759"
"ALMACÉN GENERAL DE EPM","2025-06-26","","41.03568726"
"ALMACÉN GENERAL DE EPM","2025-06-25","","39.23059622"
"ALMACÉN GENERAL DE EPM","2025-06-24","","38.60140787"
"ALMACÉN GENERAL DE EPM","2025-06-23","","24.64406971"
"ALMACÉN GENERAL DE EPM","2025-06-22","","28.11557354"
"ALMACÉN GENERAL DE EPM","2025-06-21","","28.86699243"
"ALMACÉN GENERAL DE EPM","2025-06-20","","34.07227022"
"ALMACÉN GENERAL DE EPM","2025-06-19","","33.66194103"
"ALMACÉN GENERAL DE EPM","2025-06-18","","36.01943521"
"ALMACÉN GENERAL DE EPM","2025-06-17","","34.21927297"
"ALMACÉN GENERAL DE EPM","2025-06-16","","38.80073415"
"ALMACÉN GENERAL DE EPM","2025-06-15","","23.98741154"
"ALMACÉN GENERAL DE EPM","2025-06-14","","32.4382025"
"ALMACÉN GENERAL DE EPM","2025-06-13","","24.23987775"
"ALMACÉN GENERAL DE EPM","2025-06-12","","42.10075321"
"ALMACÉN GENERAL DE EPM","2025-06-11","","74.82341622"
"ALMACÉN GENERAL DE EPM","2025-06-10","","40.60937373"
"ALMACÉN GENERAL DE EPM","2025-06-09","","39.77081606"
"ALMACÉN GENERAL DE EPM","2025-06-08","","19.85013668"
"ALMACÉN GENERAL DE EPM","2025-06-07","","25.28106234"
"ALMACÉN GENERAL DE EPM","2025-06-06","","29.08607411"
"ALMACÉN GENERAL DE EPM","2025-06-05","","33.42346728"
"ALMACÉN GENERAL DE EPM","2025-06-04","","33.57966059"
"ALMACÉN GENERAL DE EPM","2025-06-03","","29.12063192"
"ALMACÉN GENERAL DE EPM","2025-06-02","","16.17100463"
"ALMACÉN GENERAL DE EPM","2025-06-01","","18.54072552"
"ALMACÉN GENERAL DE EPM","2025-05-31","","31.01189292"
"ALMACÉN GENERAL DE EPM","2025-05-30","","34.62045518"
"ALMACÉN GENERAL DE EPM","2025-05-29","","35.04919915"
"ALMACÉN GENERAL DE EPM","2025-05-28","","33.74792516"
"ALMACÉN GENERAL DE EPM","2025-05-27","","39.72695627"
"ALMACÉN GENERAL DE EPM","2025-05-26","","32.61880682"
"ALMACÉN GENERAL DE EPM","2025-05-25","","24.85994056"
"ALMACÉN GENERAL DE EPM","2025-05-24","","22.67561599"
"ALMACÉN GENERAL DE EPM","2025-05-23","","34.82834472"
"ALMACÉN GENERAL DE EPM","2025-05-22","","35.26801554"
"ALMACÉN GENERAL DE EPM","2025-05-21","","33.52943442"
"ALMACÉN GENERAL DE EPM","2025-05-20","","44.14683829"
