"Estacion","Fecha inicial","Fecha final","PM2.5"
"ALMACÉN GENERAL DE EPM","2025-10-31","","10.54166667"
"ALMACÉN GENERAL DE EPM","2025-10-30","","11.66666667"
"ALMACÉN GENERAL DE EPM","2025-10-29","","13.5"
"ALMACÉN GENERAL DE EPM","2025-10-28","","17.875"
"ALMACÉN GENERAL DE EPM","2025-10-27","","12.58333333"
"ALMACÉN GENERAL DE EPM","2025-10-26","","8.91666667"
"ALMACÉN GENERAL DE EPM","2025-10-25","","15.375"
"ALMACÉN GENERAL DE EPM","2025-10-24","","27.83333333"
"ALMACÉN GENERAL DE EPM","2025-10-23","","25.625"
"ALMACÉN GENERAL DE EPM","2025-10-22","","23.33333333"
"ALMACÉN GENERAL DE EPM","2025-10-21","","20.25"
"ALMACÉN GENERAL DE EPM","2025-10-20","","15.0"
"ALMACÉN GENERAL DE EPM","2025-10-19","","10.45833333"
"ALMACÉN GENERAL DE EPM","2025-10-18","","15.25"
"ALMACÉN GENERAL DE EPM","2025-10-17","","18.83333333"
"ALMACÉN GENERAL DE EPM","2025-10-16","","16.41666667"
"ALMACÉN GENERAL DE EPM","2025-10-15","","21.875"
"ALMACÉN GENERAL DE EPM","2025-10-14","","17.20833333"
"ALMACÉN GENERAL DE EPM","2025-10-13","","9.41666667"
"ALMACÉN GENERAL DE EPM","2025-10-12","","6.41666667"
"ALMACÉN GENERAL DE EPM","2025-10-11","","17.125"
"ALMACÉN GENERAL DE EPM","2025-10-10","","16.41666667"
"ALMACÉN GENERAL DE EPM","2025-10-09","","25.41666667"
"ALMACÉN GENERAL DE EPM","2025-10-08","","23.125"
"ALMACÉN GENERAL DE EPM","2025-10-07","","18.5"
"ALMACÉN GENERAL DE EPM","2025-10-06","","8.45833333"
"ALMACÉN GENERAL DE EPM","2025-10-05","","10.95833333"
"ALMACÉN GENERAL DE EPM","2025-10-04","","17.91666667"
"ALMACÉN GENERAL DE EPM","2025-10-03","","16.875"
"ALMACÉN GENERAL DE EPM","2025-10-02","","19.45833333"
"ALMACÉN GENERAL DE EPM","2025-10-01","","17.95833333"
"ALMACÉN GENERAL DE EPM","2025-09-30","","15.29166667"
"ALMACÉN GENERAL DE EPM","2025-09-29","","17.66666667"
"ALMACÉN GENERAL DE EPM","2025-09-28","","17.58333333"
"ALMACÉN GENERAL DE EPM","2025-09-27","","27.66666667"
"ALMACÉN GENERAL DE EPM","2025-09-26","","30.41666667"
"ALMACÉN GENERAL DE EPM","2025-09-25","","15.75"
"ALMACÉN GENERAL DE EPM","2025-09-24","","18.33333333"
"ALMACÉN GENERAL DE EPM","2025-09-23","","13.54166667"
"ALMACÉN GENERAL DE EPM","2025-09-22","","9.83333333"
"ALMACÉN GENERAL DE EPM","2025-09-21","","11.70833333"
"ALMACÉN GENERAL DE EPM","2025-09-20","","12.75"
"ALMACÉN GENERAL DE EPM","2025-09-19","","17.875"
"ALMACÉN GENERAL DE EPM","2025-09-18","","15.70833333"
"ALMACÉN GENERAL DE EPM","2025-09-17","","17.875"
"ALMACÉN GENERAL DE EPM","2025-09-16","","16.41666667"
"ALMACÉN GENERAL DE EPM","2025-09-15","","12.375"
"ALMACÉN GENERAL DE EPM","2025-09-14","","10.91666667"
"ALMACÉN GENERAL DE EPM","2025-09-13","","15.375"
"ALMACÉN GENERAL DE EPM","2025-09-12","","21.16666667"
"ALMACÉN GENERAL DE EPM","2025-09-11","","17.29166667"
"ALMACÉN GENERAL DE EPM","2025-09-10","","14.875"
"ALMACÉN GENERAL DE EPM","2025-09-09","","12.45833333"
"ALMACÉN GENERAL DE EPM","2025-09-08","","9.41666667"
"ALMACÉN GENERAL DE EPM","2025-09-07","","8.875"
"ALMACÉN GENERAL DE EPM","2025-09-06","","16.125"
"ALMACÉN GENERAL DE EPM","2025-09-05","","12.58333333"
"ALMACÉN GENERAL DE EPM","2025-09-04","","11.29166667"
