"Estacion","Fecha inicial","Fecha final","PM2.5"
"BARBOSA - TORRE SOCIAL","2025-10-31","","6.04725304"
"BARBOSA - TORRE SOCIAL","2025-10-30","","8.717235"
"BARBOSA - TORRE SOCIAL","2025-10-29","","8.09230958"
"BARBOSA - TORRE SOCIAL","2025-10-28","","10.14689333"
"BARBOSA - TORRE SOCIAL","2025-10-27","","8.51582792"
"BARBOSA - TORRE SOCIAL","2025-10-26","","8.2067225"
"BARBOSA - TORRE SOCIAL","2025-10-25","","11.02799417"
"BARBOSA - TORRE SOCIAL","2025-10-24","","17.11196708"
"BARBOSA - TORRE SOCIAL","2025-10-23","","16.31182917"
"BARBOSA - TORRE SOCIAL","2025-10-22","","14.36814292"
"BARBOSA - TORRE SOCIAL","2025-10-21","","7.23116083"
"BARBOSA - TORRE SOCIAL","2025-10-20","","6.23079208"
"BARBOSA - TORRE SOCIAL","2025-10-19","","9.84368"
"BARBOSA - TORRE SOCIAL","2025-10-18","","9.87658708"
"BARBOSA - TORRE SOCIAL","2025-10-17","","10.9417025"
"BARBOSA - TORRE SOCIAL","2025-10-16","","10.57498875"
"BARBOSA - TORRE SOCIAL","2025-10-15","","7.7896625"
"BARBOSA - TORRE SOCIAL","2025-10-14","","6.57373208"
"BARBOSA - TORRE SOCIAL","2025-10-13","","11.87904917"
"BARBOSA - TORRE SOCIAL","2025-10-12","","9.24030417"
"BARBOSA - TORRE SOCIAL","2025-10-11","","14.54411583"
"BARBOSA - TORRE SOCIAL","2025-10-10","","12.90726708"
"BARBOSA - TORRE SOCIAL","2025-10-09","","16.04647375"
"BARBOSA - TORRE SOCIAL","2025-10-08","","10.10641083"
"BARBOSA - TORRE SOCIAL","2025-10-07","","7.48557667"
"BARBOSA - TORRE SOCIAL","2025-10-06","","8.91587167"
"BARBOSA - TORRE SOCIAL","2025-10-05","","7.31569292"
"BARBOSA - TORRE SOCIAL","2025-10-04","","6.81628"
"BARBOSA - TORRE SOCIAL","2025-10-03","","7.26836167"
"BARBOSA - TORRE SOCIAL","2025-10-02","","9.36246083"
"BARBOSA - TORRE SOCIAL","2025-10-01","","9.375"
"BARBOSA - TORRE SOCIAL","2025-09-30","","6.67446826"
