"Estacion","Fecha inicial","Fecha final","DViento"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-31","","106.51769565"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-30","","61.78283333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-29","","119.5575"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-28","","206.28370833"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-27","","240.362125"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-26","","161.11958333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-25","","190.330625"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-24","","236.30270833"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-23","","144.12054167"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-22","","247.73729167"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-21","","203.80766667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-20","","206.98345833"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-19","","109.278375"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-18","","140.99941667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-17","","152.97033333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-16","","176.03908333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-15","","152.48329167"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-14","","86.87791667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-13","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-12","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-11","","177.126375"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-10","","260.492375"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-09","","184.46145833"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-08","","79.61554167"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-07","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-06","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-05","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-04","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-03","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-02","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-01","","100.93495833"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-30","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-29","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-28","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-27","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-26","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-25","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-24","","110.73520833"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-23","","218.23120833"
