"Estacion","Fecha inicial","Fecha final","NO"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-31","","11.85554087"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-30","","9.75077708"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-29","","11.0455775"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-28","","23.49164542"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-27","","20.21424375"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-26","","6.85149458"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-25","","13.67141458"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-24","","38.33685917"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-23","","32.29094625"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-22","","29.29380708"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-21","","23.12743667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-20","","9.88087083"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-19","","7.52411417"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-18","","15.44079375"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-17","","18.70271708"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-16","","25.31627875"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-15","","12.40018292"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-14","","8.82163292"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-13","","0.6377825"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-12","","7.05353458"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-11","","13.02394292"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-10","","18.25443833"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-09","","20.99455167"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-08","","20.24782833"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-07","","19.67789458"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-06","","9.468445"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-05","","4.6516525"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-04","","12.31168792"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-03","","11.85569875"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-02","","35.58951542"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-01","","26.88297542"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-30","","17.22291783"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-29","","13.64720208"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-28","","9.28872792"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-27","","19.27324375"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-26","","26.81705292"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-25","","9.10354083"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-24","","7.67576208"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-23","","9.86671458"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-22","","8.75581667"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-21","","7.72047667"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-20","","12.1938"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-19","","11.81203542"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-18","","11.43701833"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-17","","10.89373667"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-16","","9.32431958"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-15","","6.29028"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-14","","4.93245042"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-13","","10.07277083"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-12","","12.07376292"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-11","","10.83820708"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-10","","20.34740708"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-09","","11.0124425"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-08","","7.32137417"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-07","","4.74871042"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-06","","12.78627333"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-05","","10.46593375"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-04","","16.9943725"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-03","","7.30895625"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-02","","12.83716208"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-01","","13.40844958"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-31","","9.27882333"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-30","","9.22909016"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-29","","4.97424896"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-28","","18.14866507"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-27","","11.36324201"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-26","","12.37145782"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-25","","12.31477979"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-24","","6.40385066"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-23","","11.26141984"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-22","","9.68891245"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-21","","8.82577726"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-20","","14.77258562"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-19","","10.42230293"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-18","","2.9197958"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-17","","14.32372486"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-16","","12.47828806"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-15","","15.92974031"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-14","","18.52200761"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-13","","11.39101634"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-12","","12.73437572"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-11","","14.04874623"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-10","","13.99235949"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-09","","10.1920494"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-08","","10.87361661"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-07","","7.87504179"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-06","","8.59209473"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-05","","24.04734628"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-04","","13.25761989"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-03","","6.79434188"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-02","","13.41864967"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-01","","8.4417863"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-31","","8.20992148"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-30","","11.19713261"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-29","","14.11805174"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-28","","13.24118817"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-27","","8.79297953"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-26","","13.03362133"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-25","","22.6327003"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-24","","12.95776601"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-23","","7.10105819"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-22","","8.50292792"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-21","","11.25106715"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-20","","5.32470938"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-19","","18.49968083"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-18","","19.54888614"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-17","","8.04789675"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-16","","11.71598365"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-15","","13.06831497"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-14","","9.19452783"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-13","","4.60739581"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-12","","9.19941481"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-11","","11.81643457"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-10","","13.80228291"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-09","","14.54793294"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-08","","12.03626996"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-07","","11.05177928"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-06","","5.08429151"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-05","","9.90132091"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-04","","10.60106536"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-03","","13.61794518"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-02","","11.39847733"
"CASA DE JUSTICIA ITAGÜÍ","2025-07-01","","10.06863122"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-30","","5.92655768"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-29","","10.83595391"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-28","","8.56357431"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-27","","11.74741005"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-26","","23.16010083"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-25","","32.70099424"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-24","","29.92040048"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-23","","8.78222752"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-22","","7.70103702"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-21","","15.18775434"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-20","","18.7491541"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-19","","6.5582933"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-17","","19.11771885"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-16","","35.66846417"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-15","","27.98351295"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-14","","23.12266297"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-13","","15.90902838"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-12","","28.23670138"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-11","","20.09731032"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-10","","10.73780091"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-09","","10.88151454"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-08","","11.66902025"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-07","","17.85272038"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-06","","16.28320761"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-05","","16.47400473"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-04","","13.64735946"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-03","","14.64498212"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-02","","7.60558006"
"CASA DE JUSTICIA ITAGÜÍ","2025-06-01","","5.18542891"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-31","","12.84602968"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-30","","10.35046606"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-29","","21.43311502"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-28","","39.98021407"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-27","","13.30645365"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-26","","11.49540727"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-25","","5.13227697"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-24","","11.84132841"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-23","","20.12763468"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-22","","23.56766547"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-21","","23.588127"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-20","","18.74334372"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-19","","8.83518016"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-18","","10.51486529"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-17","","11.17317566"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-16","","29.42735391"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-15","","18.40679653"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-14","","11.13087282"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-13","","16.92616161"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-12","","15.03980174"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-11","","14.91987388"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-10","","27.51983752"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-09","","32.72001467"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-08","","20.87880891"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-07","","24.54633369"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-06","","15.28068464"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-05","","12.16377996"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-04","","8.01075529"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-03","","15.44370232"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-02","","19.71014078"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-01","","17.58980199"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-30","","14.84925814"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-29","","21.62492666"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-28","","15.58003928"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-27","","8.48052727"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-26","","10.05343327"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-25","","24.4843052"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-24","","11.62188821"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-23","","11.82718828"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-22","","13.88726163"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-21","","15.70722373"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-20","","8.32246145"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-19","","4.73300769"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-18","","1.95379797"
