"Estacion","Fecha inicial","Fecha final","NO2"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-31","","37.7634813"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-30","","34.31883333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-29","","34.21280208"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-28","","37.38557458"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-27","","23.93661"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-26","","24.981285"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-25","","30.62063917"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-24","","42.53879958"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-23","","45.31304708"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-22","","43.08373917"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-21","","35.18812958"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-20","","42.85797833"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-19","","30.95377917"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-18","","37.98474667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-17","","41.29388208"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-16","","39.97714083"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-15","","27.95507833"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-14","","9.46215708"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-13","","2.42714667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-12","","30.84710417"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-11","","33.61579167"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-10","","31.39404167"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-09","","45.72758708"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-08","","38.72875958"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-07","","40.76647792"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-06","","41.90731542"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-05","","25.95701333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-04","","41.66155125"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-03","","45.91694625"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-02","","53.6483"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-01","","40.4779275"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-30","","46.29231478"
