"Estacion","Fecha inicial","Fecha final","NOx"
"CASA DE JUSTICIA ITAGÜÍ","2013-12-01","","69.92805"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-30","","29.94458388"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-29","","31.72164879"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-28","","20.60237863"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-27","","32.75045739"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-26","","23.03525545"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-25","","35.23777229"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-24","","35.71202496"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-23","","31.37721663"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-22","","31.96486667"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-21","","30.5576155"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-20","","33.20135673"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-19","","14.38738789"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-18","","21.66533008"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-17","","9.01875589"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-16","","11.23787667"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-15","","17.82225138"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-14","","11.81787207"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-13","","23.47576995"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-12","","25.69733325"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-11","","27.93288763"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-10","","22.7465985"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-09","","34.9914875"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-08","","35.76402"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-07","","30.47168583"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-06","","33.12399333"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-05","","28.94581596"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-04","","15.76988408"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-03","","12.89270929"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-02","","21.17713517"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-01","","27.65076716"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-31","","23.29243604"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-30","","36.79077803"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-29","","35.79691983"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-28","","26.296026"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-27","","14.30265163"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-26","","32.06854833"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-25","","29.82793388"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-24","","45.77575833"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-23","","42.65654458"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-22","","37.12952458"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-21","","34.51347613"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-20","","14.15201363"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-19","","36.97726375"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-18","","41.04588525"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-17","","29.43034788"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-16","","27.44754821"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-15","","40.55663288"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-14","","21.64747013"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-13","","20.18247025"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-12","","26.07658575"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-11","","24.23071054"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-10","","14.69755221"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-09","","18.22240775"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-08","","22.01749588"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-07","","26.7840055"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-06","","22.50399338"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-05","","24.55369763"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-04","","34.446526"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-03","","39.96201917"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-02","","38.496725"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-01","","40.94283212"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-30","","38.81432996"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-29","","21.45883192"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-28","","28.62434083"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-27","","49.59296167"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-26","","48.92718292"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-25","","32.89278488"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-24","","28.43233268"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-23","","19.93305029"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-22","","17.69824638"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-21","","23.79450858"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-20","","28.45428196"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-19","","19.78126758"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-18","","18.96059404"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-17","","20.50472358"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-16","","23.32004046"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-15","","16.44523429"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-14","","31.67650932"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-13","","41.34614375"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-12","","36.45678722"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-11","","28.49631921"
