"Estacion","Fecha inicial","Fecha final","PLiquida"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-31","","0.05956522"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-30","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-29","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-28","","0.19375"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-27","","0.91333333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-26","","0.22208333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-25","","0.53291667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-24","","0.43583333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-23","","0.00666667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-22","","2.00791667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-21","","0.09541667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-20","","3.51541667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-19","","0.0025"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-18","","0.00458333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-17","","0.10625"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-16","","0.405"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-15","","1.68041667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-14","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-13","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-12","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-11","","0.47208333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-10","","0.56916667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-09","","0.42708333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-08","","0.00375"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-07","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-06","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-05","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-04","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-03","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-02","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-01","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-30","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-29","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-28","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-27","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-26","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-25","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-24","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-23","","0.02958333"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-22","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-21","","0.07833333"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-20","","0.00333333"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-19","","0.06666667"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-18","","0.49375"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-17","","0.55"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-16","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-15","","0.015"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-14","","0.00458333"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-13","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-12","","0.00333333"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-11","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-10","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-09","","0.2175"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-08","","0.02583333"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-07","","1.0425"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-06","","0.78458333"
