"Estacion","Fecha inicial","Fecha final","RGlobal"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-31","","84.33434783"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-30","","64.97125"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-29","","99.77708333"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-28","","73.56041667"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-27","","42.60541667"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-26","","48.06791667"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-25","","95.71"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-24","","86.05083333"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-23","","70.42666667"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-22","","76.4225"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-21","","75.35333333"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-20","","61.58166667"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-19","","86.61291667"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-18","","56.56083333"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-17","","62.67958333"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-16","","53.75541667"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-15","","51.24083333"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-14","","47.94833333"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-13","","45.30375"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-12","","86.89916667"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-11","","62.49958333"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-10","","94.49708333"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-09","","83.83458333"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-08","","44.66916667"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-07","","43.56041667"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-06","","50.3675"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-05","","53.53791667"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-04","","49.74333333"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-03","","70.75083333"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-02","","47.95125"
"CASA DE JUSTICIA ITAGÜÍ","2025-05-01","","47.34708333"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-30","","60.22086957"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-29","","56.46875"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-28","","62.46083333"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-27","","74.93666667"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-26","","77.03708333"
"CASA DE JUSTICIA ITAGÜÍ","2025-04-25","","70.73291667"
