"Estacion","Fecha inicial","Fecha final","SO2"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-31","","5.35649826"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-30","","3.51104375"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-29","","5.10385958"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-28","","12.23294625"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-27","","7.87049125"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-26","","3.14489333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-25","","5.959425"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-24","","10.60156958"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-23","","6.23804375"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-22","","7.11090333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-21","","8.7246"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-20","","5.72186333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-19","","6.29828958"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-18","","5.4242"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-17","","8.38755042"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-16","","7.76574375"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-15","","9.27464875"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-14","","0.19325375"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-13","","0.289305"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-12","","3.17599958"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-11","","5.09339583"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-10","","4.78397875"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-09","","8.73348708"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-08","","7.93496667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-07","","7.42758042"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-06","","3.60858583"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-05","","2.73142375"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-04","","5.70186042"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-03","","8.46133625"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-02","","9.74497333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-01","","5.66790292"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-30","","8.77377043"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-29","","4.7262225"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-28","","4.36277208"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-27","","8.58895125"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-26","","8.38361375"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-25","","5.0271025"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-24","","5.70160083"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-23","","5.2924075"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-22","","3.89502833"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-21","","3.32597667"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-20","","3.66641"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-19","","5.07832917"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-18","","4.51199333"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-17","","7.01830208"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-16","","5.80979333"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-15","","3.32131208"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-14","","2.33367792"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-13","","4.51768667"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-12","","7.65324792"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-11","","7.34637042"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-10","","7.2891375"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-09","","1.59498875"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-08","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-07","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-06","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-05","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-04","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-03","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-02","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-01","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-28","","8.26872014"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-27","","7.11954445"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-26","","7.71054193"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-25","","6.92581555"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-24","","3.73594785"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-23","","7.59523016"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-22","","6.23155131"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-21","","6.22720767"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-20","","8.2129379"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-19","","5.65082832"
"CASA DE JUSTICIA ITAGÜÍ","2025-08-18","","3.69541071"
