"Estacion","Fecha inicial","Fecha final","TAire10"
"CASA DE JUSTICIA ITAGÜÍ","2013-12-01","","18.79597"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-30","","19.0555284"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-29","","20.50778417"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-28","","20.573165"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-27","","20.50423043"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-26","","19.79412125"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-25","","20.19654"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-24","","18.96682208"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-23","","20.70886625"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-22","","20.9771475"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-21","","21.2988125"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-20","","19.62630125"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-19","","20.84051458"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-18","","21.118605"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-17","","21.79389"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-16","","23.15443375"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-15","","22.38750083"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-14","","22.59486917"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-13","","22.0182125"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-12","","22.0122175"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-11","","21.603385"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-10","","20.41095542"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-09","","20.36608167"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-08","","20.69215458"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-07","","19.22082958"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-06","","20.31236125"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-05","","19.79961833"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-04","","19.2682525"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-03","","20.81857625"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-02","","21.40942792"
"CASA DE JUSTICIA ITAGÜÍ","2013-11-01","","20.6897604"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-31","","20.74286696"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-30","","20.85393763"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-29","","21.08388333"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-28","","21.85577583"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-27","","21.184085"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-26","","22.30079375"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-25","","21.93609375"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-24","","21.54056125"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-23","","20.67053958"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-22","","20.43327792"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-21","","20.61354833"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-20","","22.35528917"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-19","","22.84888875"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-18","","20.94331625"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-17","","20.29980667"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-16","","20.44549708"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-15","","20.5676175"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-14","","18.681915"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-13","","20.60781792"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-12","","21.61818333"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-11","","20.92320958"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-10","","22.92574583"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-09","","23.60869792"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-08","","22.58963417"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-07","","22.70225167"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-06","","23.19692167"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-05","","22.810075"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-04","","20.08891042"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-03","","20.96905208"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-02","","21.13076667"
"CASA DE JUSTICIA ITAGÜÍ","2013-10-01","","20.03073012"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-30","","19.84416"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-29","","20.53522542"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-28","","19.4733975"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-27","","20.613275"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-26","","20.712505"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-25","","23.41136583"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-24","","23.19308417"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-23","","24.38630792"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-22","","23.62229083"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-21","","23.76649958"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-20","","23.18515167"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-19","","22.77073958"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-18","","22.56749043"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-17","","22.31758583"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-16","","24.3807125"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-15","","23.85222583"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-14","","21.54115708"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-13","","20.6824575"
"CASA DE JUSTICIA ITAGÜÍ","2013-09-12","","20.01423957"
