"Estacion","Fecha inicial","Fecha final","TMPR AIR 10CM"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-31","","22.4913913"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-30","","22.171"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-29","","22.90775"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-28","","21.253625"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-27","","20.50445833"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-26","","21.59391667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-25","","21.418"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-24","","20.1135"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-23","","20.02341667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-22","","19.64704167"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-21","","20.53416667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-20","","19.35591667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-19","","22.28654167"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-18","","21.30954167"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-17","","20.5875"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-16","","20.164125"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-15","","15.918625"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-14","","6.89654167"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-13","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-12","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-11","","19.04216667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-10","","19.57891667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-09","","20.55841667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-08","","6.33775"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-07","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-06","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-05","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-04","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-03","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-02","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-01","","7.29779167"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-30","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-29","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-28","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-27","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-26","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-25","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-24","","8.85508333"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-23","","24.24491667"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-22","","23.03095833"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-21","","22.65766667"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-20","","21.64925"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-19","","20.59675"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-18","","19.69245833"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-17","","22.00625"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-16","","23.498375"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-15","","23.97570833"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-14","","23.96029167"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-13","","23.73025"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-12","","23.28008333"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-11","","23.67558333"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-10","","23.719125"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-09","","22.86058333"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-08","","21.94033333"
