"Estacion","Fecha inicial","Fecha final","VViento"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-31","","1.12786957"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-30","","1.15129167"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-29","","0.93245833"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-28","","0.70429167"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-27","","0.818125"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-26","","0.72283333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-25","","0.8555"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-24","","0.603125"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-23","","0.70204167"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-22","","0.57383333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-21","","0.66945833"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-20","","0.628"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-19","","0.86183333"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-18","","0.82525"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-17","","0.86375"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-16","","0.74295833"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-15","","0.46991667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-14","","0.39720833"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-13","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-12","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-11","","0.65241667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-10","","0.73641667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-09","","0.81995833"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-08","","0.16766667"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-07","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-06","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-05","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-04","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-03","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-02","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-10-01","","0.35395833"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-30","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-29","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-28","","0.0"
"CASA DE JUSTICIA ITAGÜÍ","2025-09-27","","0.0"
