"Estacion","Fecha inicial","Fecha final","DViento"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-31","","67.31256522"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-30","","81.37333333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-29","","20.89241667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-28","","78.85954167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-27","","114.75579167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-26","","49.32195833"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-25","","101.78645833"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-24","","168.28179167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-23","","126.95975"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-22","","146.42541667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-21","","120.39654167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-20","","94.95116667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-19","","73.54091667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-18","","62.75341667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-17","","131.36929167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-16","","110.81908333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-15","","128.61058333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-14","","46.62804167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-13","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-12","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-11","","74.06029167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-10","","200.55104167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-09","","133.80216667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-08","","149.83854167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-07","","115.54470833"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-06","","76.50070833"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-05","","78.03054167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-04","","122.88416667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-03","","87.90445833"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-02","","87.532375"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-01","","118.52366667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-30","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-29","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-28","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-27","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-26","","0.0"
