"Estacion","Fecha inicial","Fecha final","HAire10"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-31","","65.77069565"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-30","","71.348125"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-29","","23.18383333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-28","","41.05516667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-27","","50.50091667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-26","","43.43475"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-25","","39.35216667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-24","","68.321875"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-23","","70.689875"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-22","","78.80470833"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-21","","69.27625"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-20","","57.52991667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-19","","50.64991667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-18","","52.55141667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-17","","73.510375"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-16","","67.68179167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-15","","75.323"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-14","","23.01341667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-13","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-12","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-11","","38.938625"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-10","","71.758625"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-09","","70.629"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-08","","76.27945833"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-07","","65.78016667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-06","","64.996625"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-05","","65.17283333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-04","","65.13504167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-03","","59.38366667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-02","","64.77495833"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-01","","67.29820833"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-30","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-29","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-28","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-27","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-26","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-25","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-24","","31.656"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-23","","58.28070833"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-22","","62.40808333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-21","","46.17975"
