"Estacion","Fecha inicial","Fecha final","PLiquida"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-31","","0.12043478"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-30","","0.18208333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-29","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-28","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-27","","0.47958333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-26","","0.05083333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-25","","0.09"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-24","","0.26125"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-23","","1.86958333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-22","","1.04583333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-21","","0.16583333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-20","","0.8525"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-19","","0.02208333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-18","","0.00208333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-17","","0.10958333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-16","","2.57416667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-15","","0.73458333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-14","","0.00375"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-13","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-12","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-11","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-10","","0.36333333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-09","","1.13833333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-08","","0.25333333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-07","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-06","","1.15958333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-05","","0.3125"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-04","","0.03375"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-03","","0.19041667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-02","","0.00333333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-01","","0.38583333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-30","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-29","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-28","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-27","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-26","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-25","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-24","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-23","","0.00583333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-22","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-21","","0.00125"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-20","","0.0075"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-19","","0.77083333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-18","","0.35125"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-17","","0.02791667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-16","","4.1667E-4"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-15","","0.01625"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-14","","4.1667E-4"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-13","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-12","","0.00333333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-11","","0.18291667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-10","","0.0225"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-09","","0.12083333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-08","","0.10291667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-07","","2.41708333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-06","","0.86041667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-05","","0.09583333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-04","","0.34208333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-03","","1.65666667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-02","","0.04791667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-09-01","","0.43333333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-31","","0.24652174"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-30","","0.30136364"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-29","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-28","","0.08052632"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-27","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-25","","0.04285714"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-24","","0.0147619"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-23","","0.02041667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-22","","2.08333333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-21","","0.19090909"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-19","","9.0909E-4"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-18","","0.5025"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-17","","0.77041667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-16","","0.17666667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-15","","0.65333333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-14","","0.06458333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-13","","0.00458333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-12","","4.1667E-4"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-11","","0.94291667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-10","","0.10833333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-09","","0.04916667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-08","","0.8075"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-07","","0.58458333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-06","","0.27083333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-05","","4.1667E-4"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-08-04","","0.00125"
