"Estacion","Fecha inicial","Fecha final","PM2.5"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-31","","6.84329609"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-30","","7.99969167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-29","","11.5338625"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-28","","10.23890167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-27","","8.04507792"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-26","","8.32631667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-25","","11.2159025"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-24","","20.75321667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-23","","17.11089458"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-22","","16.93740833"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-21","","8.007745"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-20","","7.868205"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-19","","10.34791042"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-18","","11.53149167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-17","","10.70131458"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-16","","9.63783958"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-15","","11.10644333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-14","","7.43802"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-13","","7.65889792"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-12","","9.13024292"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-11","","12.351335"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-10","","10.01295167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-09","","12.89663542"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-08","","14.49016083"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-07","","9.80176083"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-06","","6.86781583"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-05","","5.90982667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-04","","10.57566917"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-03","","8.41201167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-02","","10.42371"
