"Estacion","Fecha inicial","Fecha final","VViento"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-31","","1.88852174"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-30","","1.27120833"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-29","","0.77258333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-28","","0.506125"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-27","","0.37008333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-26","","0.64816667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-25","","0.327875"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-24","","0.55904167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-23","","0.53683333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-22","","0.785"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-21","","0.92204167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-20","","0.93804167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-19","","0.448375"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-18","","0.68483333"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-17","","1.14075"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-16","","1.25525"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-15","","0.77229167"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-14","","0.28195833"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-13","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-12","","0.0"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-11","","0.408375"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-10","","0.98766667"
"COPACABANA - CIUDADELA EDUCATIVA LA VIDA","2025-10-09","","1.12245833"
