"Estacion","Fecha inicial","Fecha final","PM10"
"CORANTIOQUIA - MEDELLÍN.","2025-10-29","","20.7648"
"CORANTIOQUIA - MEDELLÍN.","2025-10-26","","14.726"
"CORANTIOQUIA - MEDELLÍN.","2025-10-23","","41.1075"
"CORANTIOQUIA - MEDELLÍN.","2025-10-20","","17.9594"
"CORANTIOQUIA - MEDELLÍN.","2025-10-17","","26.1938"
"CORANTIOQUIA - MEDELLÍN.","2025-10-15","","30.873"
"CORANTIOQUIA - MEDELLÍN.","2025-10-11","","23.5795"
"CORANTIOQUIA - MEDELLÍN.","2025-10-08","","43.2846"
"CORANTIOQUIA - MEDELLÍN.","2025-10-05","","16.9601"
"CORANTIOQUIA - MEDELLÍN.","2025-10-02","","25.3477"
"CORANTIOQUIA - MEDELLÍN.","2025-09-29","","24.45684967"
"CORANTIOQUIA - MEDELLÍN.","2025-09-26","","41.48916886"
"CORANTIOQUIA - MEDELLÍN.","2025-09-23","","21.92632829"
"CORANTIOQUIA - MEDELLÍN.","2025-09-20","","23.2174264"
"CORANTIOQUIA - MEDELLÍN.","2025-09-17","","27.31988706"
"CORANTIOQUIA - MEDELLÍN.","2025-09-14","","17.50964577"
"CORANTIOQUIA - MEDELLÍN.","2025-09-11","","26.6523671"
"CORANTIOQUIA - MEDELLÍN.","2025-09-08","","17.00983761"
"CORANTIOQUIA - MEDELLÍN.","2025-09-05","","23.0329888"
"CORANTIOQUIA - MEDELLÍN.","2025-09-02","","22.23842027"
"CORANTIOQUIA - MEDELLÍN.","2025-08-30","","29.50346"
"CORANTIOQUIA - MEDELLÍN.","2025-08-27","","20.82196807"
"CORANTIOQUIA - MEDELLÍN.","2025-08-24","","15.87360359"
"CORANTIOQUIA - MEDELLÍN.","2025-08-21","","23.29883145"
"CORANTIOQUIA - MEDELLÍN.","2025-08-18","","10.7356618"
"CORANTIOQUIA - MEDELLÍN.","2025-08-15","","32.08344394"
"CORANTIOQUIA - MEDELLÍN.","2025-08-12","","19.85154055"
"CORANTIOQUIA - MEDELLÍN.","2025-08-09","","23.55757794"
"CORANTIOQUIA - MEDELLÍN.","2025-08-06","","19.1271387"
"CORANTIOQUIA - MEDELLÍN.","2025-08-03","","12.59074214"
"CORANTIOQUIA - MEDELLÍN.","2025-07-31","","20.65664948"
"CORANTIOQUIA - MEDELLÍN.","2025-07-28","","18.66249212"
"CORANTIOQUIA - MEDELLÍN.","2025-07-25","","35.32087825"
"CORANTIOQUIA - MEDELLÍN.","2025-07-22","","23.96631001"
"CORANTIOQUIA - MEDELLÍN.","2025-07-19","","29.28762276"
"CORANTIOQUIA - MEDELLÍN.","2025-07-16","","26.00265605"
"CORANTIOQUIA - MEDELLÍN.","2025-07-13","","12.1149695"
"CORANTIOQUIA - MEDELLÍN.","2025-07-10","","25.82437183"
"CORANTIOQUIA - MEDELLÍN.","2025-07-07","","21.62180545"
"CORANTIOQUIA - MEDELLÍN.","2025-07-04","","16.43016093"
"CORANTIOQUIA - MEDELLÍN.","2025-07-01","","16.51824615"
"CORANTIOQUIA - MEDELLÍN.","2025-06-27","","20.18403879"
"CORANTIOQUIA - MEDELLÍN.","2025-06-25","","38.67788753"
"CORANTIOQUIA - MEDELLÍN.","2025-06-22","","11.58749406"
"CORANTIOQUIA - MEDELLÍN.","2025-06-19","","22.68863861"
"CORANTIOQUIA - MEDELLÍN.","2025-06-16","","23.95095133"
"CORANTIOQUIA - MEDELLÍN.","2025-06-13","","14.41960057"
"CORANTIOQUIA - MEDELLÍN.","2025-06-10","","21.81563131"
"CORANTIOQUIA - MEDELLÍN.","2025-06-07","","17.91502037"
"CORANTIOQUIA - MEDELLÍN.","2025-06-04","","21.45321421"
"CORANTIOQUIA - MEDELLÍN.","2025-05-31","","19.68313096"
"CORANTIOQUIA - MEDELLÍN.","2025-05-28","","27.58629824"
