"Estacion","Fecha inicial","Fecha final","PST"
"CORANTIOQUIA - MEDELLÍN.","2003-06-22","","80.17230265"
"CORANTIOQUIA - MEDELLÍN.","2003-06-19","","88.91950556"
"CORANTIOQUIA - MEDELLÍN.","2003-06-16","","74.60929751"
"CORANTIOQUIA - MEDELLÍN.","2003-06-13","","104.41385027"
"CORANTIOQUIA - MEDELLÍN.","2003-06-10","","93.33895274"
"CORANTIOQUIA - MEDELLÍN.","2003-06-07","","84.51812574"
"CORANTIOQUIA - MEDELLÍN.","2003-06-04","","154.24724056"
"CORANTIOQUIA - MEDELLÍN.","2003-06-01","","67.14069406"
"CORANTIOQUIA - MEDELLÍN.","2003-05-29","","101.94197756"
"CORANTIOQUIA - MEDELLÍN.","2003-05-17","","84.32670468"
"CORANTIOQUIA - MEDELLÍN.","2003-05-14","","74.75689654"
"CORANTIOQUIA - MEDELLÍN.","2003-05-11","","72.14402224"
"CORANTIOQUIA - MEDELLÍN.","2003-05-08","","73.92493812"
"CORANTIOQUIA - MEDELLÍN.","2003-05-05","","97.83629799"
"CORANTIOQUIA - MEDELLÍN.","2003-05-02","","156.5172416"
"CORANTIOQUIA - MEDELLÍN.","2003-04-29","","112.87210351"
"CORANTIOQUIA - MEDELLÍN.","2003-04-26","","109.46801708"
"CORANTIOQUIA - MEDELLÍN.","2003-04-23","","76.1730905"
"CORANTIOQUIA - MEDELLÍN.","2003-04-14","","106.05792495"
"CORANTIOQUIA - MEDELLÍN.","2003-04-11","","96.34917306"
"CORANTIOQUIA - MEDELLÍN.","2003-04-08","","93.87207139"
"CORANTIOQUIA - MEDELLÍN.","2003-04-05","","114.90826701"
"CORANTIOQUIA - MEDELLÍN.","2003-04-02","","102.4996947"
"CORANTIOQUIA - MEDELLÍN.","2003-03-30","","70.17495654"
"CORANTIOQUIA - MEDELLÍN.","2003-03-27","","128.02053111"
"CORANTIOQUIA - MEDELLÍN.","2003-03-24","","116.1097535"
"CORANTIOQUIA - MEDELLÍN.","2003-03-05","","121.08196561"
"CORANTIOQUIA - MEDELLÍN.","2003-03-02","","85.79592315"
"CORANTIOQUIA - MEDELLÍN.","2003-02-27","","109.17810916"
"CORANTIOQUIA - MEDELLÍN.","2003-02-24","","112.99583421"
"CORANTIOQUIA - MEDELLÍN.","2003-02-21","","118.84260638"
"CORANTIOQUIA - MEDELLÍN.","2003-02-18","","118.11322516"
"CORANTIOQUIA - MEDELLÍN.","2003-02-15","","102.55592126"
"CORANTIOQUIA - MEDELLÍN.","2003-02-12","","90.89890144"
"CORANTIOQUIA - MEDELLÍN.","2003-02-09","","76.36666076"
"CORANTIOQUIA - MEDELLÍN.","2003-02-06","","83.8194863"
"CORANTIOQUIA - MEDELLÍN.","2003-02-03","","116.63222418"
"CORANTIOQUIA - MEDELLÍN.","2003-01-31","","107.06805858"
"CORANTIOQUIA - MEDELLÍN.","2003-01-28","","127.54878946"
"CORANTIOQUIA - MEDELLÍN.","2003-01-25","","99.50161686"
"CORANTIOQUIA - MEDELLÍN.","2003-01-22","","105.12973814"
"CORANTIOQUIA - MEDELLÍN.","2003-01-19","","70.88809819"
"CORANTIOQUIA - MEDELLÍN.","2003-01-16","","86.77611104"
"CORANTIOQUIA - MEDELLÍN.","2003-01-13","","103.78744404"
"CORANTIOQUIA - MEDELLÍN.","2003-01-04","","82.67379135"
"CORANTIOQUIA - MEDELLÍN.","2003-01-01","","37.64395724"
"CORANTIOQUIA - MEDELLÍN.","2002-12-29","","75.59861589"
"CORANTIOQUIA - MEDELLÍN.","2002-12-26","","81.56844953"
"CORANTIOQUIA - MEDELLÍN.","2002-12-23","","50.02132984"
"CORANTIOQUIA - MEDELLÍN.","2002-12-20","","171.01696036"
"CORANTIOQUIA - MEDELLÍN.","2002-12-17","","87.58955466"
"CORANTIOQUIA - MEDELLÍN.","2002-12-14","","82.99719727"
"CORANTIOQUIA - MEDELLÍN.","2002-12-11","","88.82290862"
"CORANTIOQUIA - MEDELLÍN.","2002-12-08","","107.14951529"
"CORANTIOQUIA - MEDELLÍN.","2002-12-05","","215.1319304"
"CORANTIOQUIA - MEDELLÍN.","2002-12-02","","90.88997152"
"CORANTIOQUIA - MEDELLÍN.","2002-11-29","","130.684014"
"CORANTIOQUIA - MEDELLÍN.","2002-11-23","","64.75520442"
"CORANTIOQUIA - MEDELLÍN.","2002-11-20","","108.95762573"
"CORANTIOQUIA - MEDELLÍN.","2002-11-17","","104.13673734"
"CORANTIOQUIA - MEDELLÍN.","2002-07-02","","90.73918826"
"CORANTIOQUIA - MEDELLÍN.","2002-06-29","","94.43474247"
"CORANTIOQUIA - MEDELLÍN.","2002-06-26","","93.18077743"
"CORANTIOQUIA - MEDELLÍN.","2002-06-23","","91.17829179"
"CORANTIOQUIA - MEDELLÍN.","2002-06-20","","90.3510065"
"CORANTIOQUIA - MEDELLÍN.","2002-06-11","","84.19966137"
"CORANTIOQUIA - MEDELLÍN.","2002-06-08","","159.03065215"
"CORANTIOQUIA - MEDELLÍN.","2002-06-05","","125.86318084"
"CORANTIOQUIA - MEDELLÍN.","2002-06-02","","55.96680531"
"CORANTIOQUIA - MEDELLÍN.","2002-05-30","","87.27036066"
"CORANTIOQUIA - MEDELLÍN.","2002-05-27","","75.73437707"
"CORANTIOQUIA - MEDELLÍN.","2002-05-24","","144.40238446"
"CORANTIOQUIA - MEDELLÍN.","2002-05-21","","128.91121514"
"CORANTIOQUIA - MEDELLÍN.","2002-05-18","","89.1771887"
"CORANTIOQUIA - MEDELLÍN.","2002-05-15","","90.05718209"
"CORANTIOQUIA - MEDELLÍN.","2002-05-12","","65.14224647"
