"Estacion","Fecha inicial","Fecha final","DViento"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-12","","56.63297454"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-11","","178.28161865"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-10","","189.50129954"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-09","","213.46925162"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-08","","203.99977087"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-07","","210.94755136"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-06","","189.03799003"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-05","","178.22700823"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-04","","163.58713296"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-03","","177.50274806"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-02","","186.63816207"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-01","","190.74956096"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-30","","208.24749579"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-29","","149.03258892"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-28","","199.05161026"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-27","","169.16651756"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-26","","185.12793013"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-25","","182.86402715"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-24","","187.90677509"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-23","","172.74655865"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-22","","237.77372195"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-21","","198.95672158"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-20","","163.80578688"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-19","","224.36341829"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-18","","184.29185357"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-17","","212.02025629"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-16","","182.54524856"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-15","","149.87257142"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-14","","152.23705658"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-13","","168.84319672"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-12","","143.63996791"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-11","","166.77796846"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-10","","176.2409239"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-09","","169.4614214"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-08","","165.11252072"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-07","","187.02075908"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-06","","188.34042887"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-05","","145.08406489"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-04","","173.31897235"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-03","","209.68155575"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-02","","136.03750108"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-01","","187.1927707"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-31","","226.90795122"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-30","","247.38965575"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-29","","221.60741362"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-28","","182.74416874"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-27","","192.83067838"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-26","","164.9076088"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-25","","211.75849966"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-24","","158.39810171"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-23","","145.52302491"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-22","","188.75187145"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-21","","158.0831353"
