"Estacion","Fecha inicial","Fecha final","HAire2"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-28","","75.01666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-27","","70.32916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-26","","79.60416667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-25","","75.04782609"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-24","","81.53333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-23","","74.17916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-22","","71.0875"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-21","","76.31666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-20","","66.15416667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-19","","69.2125"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-18","","72.87916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-17","","86.075"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-16","","74.49166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-15","","73.23333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-14","","80.3875"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-13","","75.77916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-12","","81.675"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-11","","80.62666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-10","","83.58333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-09","","78.21666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-08","","85.59583333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-07","","77.20833333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-06","","80.80416667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-05","","83.2"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-04","","78.71304348"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-03","","80.85833333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-02","","87.925"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-01","","77.2"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-31","","72.075"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-30","","69.89166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-29","","69.52916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-28","","65.6875"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-27","","68.53333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-26","","71.77619048"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-25","","75.61304348"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-24","","75.25833333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-23","","79.2375"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-22","","80.62916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-21","","69.46153846"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-29","","87.0125"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-28","","67.04583333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-27","","72.71666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-26","","77.59583333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-25","","78.375"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-24","","78.95416667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-23","","78.4375"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-22","","77.76666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-21","","82.07083333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-20","","80.72083333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-19","","81.675"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-18","","81.64166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-16","","91.55714286"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-15","","80.02916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-14","","82.7"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-13","","80.2125"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-12","","80.2375"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-11","","76.7625"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-10","","68.47083333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-09","","72.13333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-08","","73.27083333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-07","","71.425"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-05","","90.53333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-04","","75.9625"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-03","","82.20416667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-02","","83.52916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-01","","83.91666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-30","","84.83333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-29","","80.24166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-28","","79.18333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-27","","74.73333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-26","","76.60833333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-25","","75.77083333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-24","","78.63333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-23","","82.90416667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-22","","83.26666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-21","","83.475"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-20","","78.62083333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-19","","77.89166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-18","","88.29166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-17","","84.2875"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-16","","78.59583333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-15","","80.21538462"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-02","","93.46666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-01","","82.65416667"
