"Estacion","Fecha inicial","Fecha final","PLiquida"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-12","","0.12142857"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-11","","0.03791667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-10","","0.21833333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-09","","0.08708333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-08","","0.0"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-07","","0.10791667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-06","","0.27"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-05","","0.20541667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-04","","0.06916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-03","","0.0"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-02","","0.01375"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-01","","0.0"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-30","","0.05086957"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-29","","0.00458333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-28","","0.32875"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-27","","0.15666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-26","","0.02666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-25","","0.08458333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-24","","0.01916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-23","","4.1667E-4"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-22","","0.10833333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-21","","0.21166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-20","","0.30583333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-19","","0.21"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-18","","0.30541667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-17","","0.0875"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-16","","0.0875"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-15","","0.00416667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-14","","0.02541667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-13","","0.00291667"
