"Estacion","Fecha inicial","Fecha final","PM2.5"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-12","","23.28571429"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-11","","20.875"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-10","","10.625"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-09","","15.79166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-08","","9.25"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-07","","13.16666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-06","","11.65217391"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-05","","20.79166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-04","","20.91666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-03","","20.0"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-02","","18.31818182"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-01","","11.13043478"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-30","","15.04347826"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-29","","14.66666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-28","","10.33333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-27","","21.85"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-26","","23.54166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-25","","11.125"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-24","","9.60869565"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-23","","7.04166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-22","","8.375"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-21","","12.625"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-20","","12.75"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-19","","5.375"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-18","","14.56521739"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-17","","8.60869565"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-16","","12.79166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-15","","16.41666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-14","","25.625"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-13","","23.625"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-12","","20.66666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-11","","23.125"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-10","","16.0"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-09","","17.125"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-08","","18.11764706"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-07","","12.875"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-06","","17.08333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-05","","14.5"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-04","","15.79166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-03","","17.41666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-02","","21.66666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-01","","13.20833333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-31","","22.86956522"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-30","","18.25"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-29","","12.58333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-28","","21.16666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-27","","17.0"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-26","","31.16666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-25","","27.41666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-24","","32.70833333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-23","","37.30434783"
