"Estacion","Fecha inicial","Fecha final","RGlobal"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-18","","101.34444444"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-17","","126.90454545"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-16","","144.84166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-15","","115.8173913"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-14","","135.17083333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-13","","138.06363636"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-12","","116.63043478"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-11","","80.92916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-10","","147.51304348"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-09","","146.79583333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-08","","142.525"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-07","","138.95416667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-06","","147.125"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-05","","190.83913043"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-04","","163.53181818"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-03","","112.51666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-02","","160.52727273"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-05-01","","76.33913043"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-04-30","","118.53181818"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-04-29","","97.17826087"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-04-28","","181.12083333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-04-27","","87.95217391"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-04-26","","154.59565217"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-04-25","","154.35833333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-04-24","","92.00416667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2020-04-23","","102.83333333"
