"Estacion","Fecha inicial","Fecha final","TAire2"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-28","","19.94166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-27","","20.55"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-26","","18.625"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-25","","19.3173913"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-24","","18.6625"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-23","","20.59166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-22","","20.1375"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-21","","18.675"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-20","","19.95833333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-19","","20.04583333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-18","","18.85"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-17","","16.74166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-16","","18.98333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-15","","18.48333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-14","","17.35416667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-13","","17.7625"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-12","","16.875"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-11","","17.8"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-10","","17.06666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-09","","18.5625"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-08","","17.43333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-07","","18.97083333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-06","","18.2875"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-05","","17.6875"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-04","","18.16521739"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-03","","17.86666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-02","","16.725"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-02-01","","18.19166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-31","","20.05416667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-30","","20.5"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-29","","20.47916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-28","","21.09583333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-27","","20.54166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-26","","19.13333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-25","","18.94782609"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-24","","19.5"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-23","","19.12916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-22","","18.93333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2013-01-21","","20.97692308"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-29","","15.5625"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-28","","19.21666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-27","","19.99583333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-26","","19.0875"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-25","","18.3125"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-24","","17.59583333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-23","","18.86666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-22","","19.15833333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-21","","17.67916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-20","","18.29583333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-19","","17.77083333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-18","","17.66666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-16","","15.28571429"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-15","","17.97916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-14","","16.98333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-13","","17.9625"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-12","","17.97916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-11","","18.59166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-10","","20.25"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-09","","19.43333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-08","","19.62083333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-07","","20.64166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-05","","16.66666667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-04","","18.90833333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-03","","17.44583333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-02","","17.275"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-12-01","","17.14166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-30","","17.14583333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-29","","18.5125"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-28","","19.1375"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-27","","19.69583333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-26","","19.0"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-25","","19.24166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-24","","19.14583333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-23","","18.38333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-22","","17.99166667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-21","","18.00833333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-20","","19.425"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-19","","18.48333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-18","","16.52916667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-17","","17.75"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-16","","18.6625"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-15","","18.04615385"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-02","","15.23333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-11-01","","17.25416667"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-10-31","","17.43333333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-10-30","","17.20833333"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-10-29","","18.4"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-10-28","","19.275"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-10-27","","19.625"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-10-26","","18.575"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2012-10-25","","20.15"
