"Estacion","Fecha inicial","Fecha final","VViento"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-12","","1.11262547"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-11","","0.91471904"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-10","","1.08219299"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-09","","1.11894684"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-08","","1.18693596"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-07","","1.05043635"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-06","","0.98724831"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-05","","0.99029661"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-04","","1.14058922"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-03","","1.12171647"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-02","","1.19375952"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-05-01","","1.30305165"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-30","","0.88500046"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-29","","1.07838998"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-28","","1.18125111"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-27","","1.0256487"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-26","","0.91586423"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-25","","0.87362585"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-24","","1.02338957"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-23","","1.25413916"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-22","","1.16511494"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-21","","0.97403003"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-20","","1.04125004"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-19","","1.18346816"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-18","","0.88041466"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-17","","1.21345544"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-16","","1.29248254"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-15","","1.04705142"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-14","","0.90828485"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-13","","1.01530836"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-12","","1.56713015"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-11","","0.98754248"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-10","","0.83117978"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-09","","0.80269141"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-08","","0.82585331"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-07","","0.98898088"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-06","","0.99893833"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-05","","1.0907518"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-04","","0.7819489"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-03","","0.86370539"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-02","","1.12730551"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-04-01","","0.86918577"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-31","","0.99238767"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-30","","0.95051938"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-29","","0.91687918"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-28","","0.92568919"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-27","","0.64712406"
"CORPORACIÓN UNIVERSITARIA LASALLISTA","2022-03-26","","0.86204467"
