"Estacion","Fecha inicial","Fecha final","HAire2"
"Centro Administrativo Municipal - Sabaneta","2013-02-28","","63.6805"
"Centro Administrativo Municipal - Sabaneta","2013-02-27","","61.18395417"
"Centro Administrativo Municipal - Sabaneta","2013-02-26","","68.88992083"
"Centro Administrativo Municipal - Sabaneta","2013-02-25","","62.9010375"
"Centro Administrativo Municipal - Sabaneta","2013-02-24","","75.39048333"
"Centro Administrativo Municipal - Sabaneta","2013-02-23","","61.2607375"
"Centro Administrativo Municipal - Sabaneta","2013-02-22","","65.94364167"
"Centro Administrativo Municipal - Sabaneta","2013-02-21","","65.40534583"
"Centro Administrativo Municipal - Sabaneta","2013-02-20","","55.8678625"
"Centro Administrativo Municipal - Sabaneta","2013-02-19","","57.021875"
"Centro Administrativo Municipal - Sabaneta","2013-02-18","","64.35125"
"Centro Administrativo Municipal - Sabaneta","2013-02-17","","79.2991375"
"Centro Administrativo Municipal - Sabaneta","2013-02-16","","63.75060417"
"Centro Administrativo Municipal - Sabaneta","2013-02-15","","65.7493875"
"Centro Administrativo Municipal - Sabaneta","2013-02-14","","72.98582917"
"Centro Administrativo Municipal - Sabaneta","2013-02-13","","68.30459583"
"Centro Administrativo Municipal - Sabaneta","2013-02-12","","70.79051667"
"Centro Administrativo Municipal - Sabaneta","2013-02-11","","76.66050833"
"Centro Administrativo Municipal - Sabaneta","2013-02-10","","79.8163375"
"Centro Administrativo Municipal - Sabaneta","2013-02-09","","69.03495833"
"Centro Administrativo Municipal - Sabaneta","2013-02-08","","75.10183333"
"Centro Administrativo Municipal - Sabaneta","2013-02-07","","67.00878333"
"Centro Administrativo Municipal - Sabaneta","2013-02-06","","70.14062083"
"Centro Administrativo Municipal - Sabaneta","2013-02-05","","74.77942917"
"Centro Administrativo Municipal - Sabaneta","2013-02-04","","72.4210125"
"Centro Administrativo Municipal - Sabaneta","2013-02-03","","76.7100625"
"Centro Administrativo Municipal - Sabaneta","2013-02-02","","82.00405"
"Centro Administrativo Municipal - Sabaneta","2013-02-01","","66.56065"
"Centro Administrativo Municipal - Sabaneta","2013-01-31","","62.30897083"
"Centro Administrativo Municipal - Sabaneta","2013-01-30","","59.91720833"
"Centro Administrativo Municipal - Sabaneta","2013-01-29","","61.47369583"
"Centro Administrativo Municipal - Sabaneta","2013-01-28","","57.38687083"
"Centro Administrativo Municipal - Sabaneta","2013-01-27","","59.07489167"
"Centro Administrativo Municipal - Sabaneta","2013-01-26","","64.48730833"
"Centro Administrativo Municipal - Sabaneta","2013-01-25","","65.76394167"
"Centro Administrativo Municipal - Sabaneta","2013-01-24","","66.0828625"
"Centro Administrativo Municipal - Sabaneta","2013-01-23","","68.47885833"
"Centro Administrativo Municipal - Sabaneta","2013-01-22","","71.987275"
