"Estacion","Fecha inicial","Fecha final","PST"
"Centro Administrativo Municipal - Sabaneta","2007-12-29","","96.4777149"
"Centro Administrativo Municipal - Sabaneta","2007-12-26","","71.21669691"
"Centro Administrativo Municipal - Sabaneta","2007-12-23","","52.3164608"
"Centro Administrativo Municipal - Sabaneta","2007-12-11","","98.61010999"
"Centro Administrativo Municipal - Sabaneta","2007-12-08","","85.30333292"
"Centro Administrativo Municipal - Sabaneta","2007-12-05","","52.52486508"
"Centro Administrativo Municipal - Sabaneta","2007-11-29","","84.49494438"
"Centro Administrativo Municipal - Sabaneta","2007-11-26","","87.64696375"
"Centro Administrativo Municipal - Sabaneta","2007-11-20","","141.70683247"
"Centro Administrativo Municipal - Sabaneta","2007-11-17","","127.24599912"
"Centro Administrativo Municipal - Sabaneta","2007-11-14","","109.7298535"
"Centro Administrativo Municipal - Sabaneta","2007-11-11","","73.66943271"
"Centro Administrativo Municipal - Sabaneta","2007-11-08","","92.28891739"
"Centro Administrativo Municipal - Sabaneta","2007-11-05","","61.74361514"
"Centro Administrativo Municipal - Sabaneta","2007-11-02","","93.63664639"
"Centro Administrativo Municipal - Sabaneta","2007-10-30","","78.37221435"
"Centro Administrativo Municipal - Sabaneta","2007-10-27","","46.46560966"
"Centro Administrativo Municipal - Sabaneta","2007-10-21","","61.72171668"
"Centro Administrativo Municipal - Sabaneta","2007-10-18","","51.63352503"
"Centro Administrativo Municipal - Sabaneta","2007-10-12","","75.31313262"
"Centro Administrativo Municipal - Sabaneta","2007-10-09","","53.22846511"
"Centro Administrativo Municipal - Sabaneta","2007-10-06","","89.91135279"
"Centro Administrativo Municipal - Sabaneta","2007-10-03","","75.04709514"
"Centro Administrativo Municipal - Sabaneta","2007-09-30","","84.24469773"
"Centro Administrativo Municipal - Sabaneta","2007-09-27","","119.45489237"
"Centro Administrativo Municipal - Sabaneta","2007-09-21","","93.70149113"
"Centro Administrativo Municipal - Sabaneta","2007-09-18","","106.64236417"
"Centro Administrativo Municipal - Sabaneta","2007-09-15","","60.9419872"
"Centro Administrativo Municipal - Sabaneta","2007-09-12","","102.92607077"
"Centro Administrativo Municipal - Sabaneta","2007-09-09","","89.03601905"
"Centro Administrativo Municipal - Sabaneta","2007-09-06","","40.63292483"
"Centro Administrativo Municipal - Sabaneta","2007-09-03","","108.73054728"
"Centro Administrativo Municipal - Sabaneta","2007-08-31","","125.1349016"
"Centro Administrativo Municipal - Sabaneta","2007-08-28","","111.86452473"
"Centro Administrativo Municipal - Sabaneta","2007-08-25","","50.93225492"
"Centro Administrativo Municipal - Sabaneta","2007-08-22","","82.35570108"
"Centro Administrativo Municipal - Sabaneta","2007-08-19","","69.14300706"
"Centro Administrativo Municipal - Sabaneta","2007-08-16","","87.38855406"
"Centro Administrativo Municipal - Sabaneta","2007-08-13","","129.58001484"
"Centro Administrativo Municipal - Sabaneta","2007-08-07","","68.11578885"
"Centro Administrativo Municipal - Sabaneta","2007-08-04","","110.12408168"
"Centro Administrativo Municipal - Sabaneta","2007-08-01","","117.91873136"
"Centro Administrativo Municipal - Sabaneta","2007-07-29","","103.60713181"
"Centro Administrativo Municipal - Sabaneta","2007-07-26","","103.77392027"
"Centro Administrativo Municipal - Sabaneta","2007-07-23","","58.12612185"
"Centro Administrativo Municipal - Sabaneta","2007-07-20","","58.87842754"
"Centro Administrativo Municipal - Sabaneta","2007-07-17","","96.41092431"
"Centro Administrativo Municipal - Sabaneta","2007-07-14","","101.55264264"
"Centro Administrativo Municipal - Sabaneta","2007-07-11","","91.13972586"
"Centro Administrativo Municipal - Sabaneta","2007-07-08","","57.71221716"
"Centro Administrativo Municipal - Sabaneta","2007-07-05","","105.30444408"
"Centro Administrativo Municipal - Sabaneta","2007-07-02","","68.92254136"
"Centro Administrativo Municipal - Sabaneta","2007-06-29","","100.45114058"
"Centro Administrativo Municipal - Sabaneta","2007-06-23","","116.08106289"
"Centro Administrativo Municipal - Sabaneta","2007-06-20","","115.4477452"
"Centro Administrativo Municipal - Sabaneta","2007-06-17","","90.01032259"
"Centro Administrativo Municipal - Sabaneta","2007-06-14","","49.29860037"
"Centro Administrativo Municipal - Sabaneta","2007-06-11","","68.16196548"
"Centro Administrativo Municipal - Sabaneta","2007-06-08","","53.72213268"
"Centro Administrativo Municipal - Sabaneta","2007-06-05","","47.96665544"
"Centro Administrativo Municipal - Sabaneta","2007-06-02","","107.30114959"
"Centro Administrativo Municipal - Sabaneta","2007-05-30","","120.37012791"
"Centro Administrativo Municipal - Sabaneta","2007-05-27","","88.04003982"
"Centro Administrativo Municipal - Sabaneta","2007-05-24","","129.50805661"
"Centro Administrativo Municipal - Sabaneta","2007-05-18","","76.01689632"
"Centro Administrativo Municipal - Sabaneta","2007-05-15","","122.18453322"
"Centro Administrativo Municipal - Sabaneta","2007-05-12","","119.00962041"
"Centro Administrativo Municipal - Sabaneta","2007-05-09","","107.82790982"
"Centro Administrativo Municipal - Sabaneta","2007-05-06","","38.61952153"
"Centro Administrativo Municipal - Sabaneta","2007-05-03","","102.77312775"
"Centro Administrativo Municipal - Sabaneta","2007-04-30","","152.47436748"
"Centro Administrativo Municipal - Sabaneta","2007-04-27","","116.94309676"
"Centro Administrativo Municipal - Sabaneta","2007-04-24","","90.81287358"
"Centro Administrativo Municipal - Sabaneta","2007-04-21","","94.83114589"
"Centro Administrativo Municipal - Sabaneta","2007-04-18","","98.71272828"
"Centro Administrativo Municipal - Sabaneta","2007-04-15","","99.61850144"
"Centro Administrativo Municipal - Sabaneta","2007-04-12","","117.43178725"
"Centro Administrativo Municipal - Sabaneta","2007-04-06","","35.7506088"
"Centro Administrativo Municipal - Sabaneta","2007-04-03","","85.15116497"
"Centro Administrativo Municipal - Sabaneta","2007-03-31","","87.17454438"
"Centro Administrativo Municipal - Sabaneta","2007-03-28","","132.37050734"
"Centro Administrativo Municipal - Sabaneta","2007-03-25","","70.37126652"
"Centro Administrativo Municipal - Sabaneta","2007-03-22","","76.13752226"
"Centro Administrativo Municipal - Sabaneta","2007-03-19","","95.25197519"
"Centro Administrativo Municipal - Sabaneta","2007-03-16","","121.2871455"
"Centro Administrativo Municipal - Sabaneta","2007-03-13","","121.39182037"
"Centro Administrativo Municipal - Sabaneta","2007-03-10","","109.83051577"
"Centro Administrativo Municipal - Sabaneta","2007-03-07","","103.43103515"
"Centro Administrativo Municipal - Sabaneta","2007-03-04","","103.71969388"
"Centro Administrativo Municipal - Sabaneta","2007-03-01","","135.86457136"
"Centro Administrativo Municipal - Sabaneta","2007-02-26","","92.52429053"
"Centro Administrativo Municipal - Sabaneta","2007-02-23","","128.56789342"
"Centro Administrativo Municipal - Sabaneta","2007-02-20","","113.75741102"
"Centro Administrativo Municipal - Sabaneta","2007-02-17","","97.12226551"
"Centro Administrativo Municipal - Sabaneta","2007-02-14","","123.78593492"
"Centro Administrativo Municipal - Sabaneta","2007-02-11","","103.76586912"
"Centro Administrativo Municipal - Sabaneta","2007-02-08","","123.23607734"
"Centro Administrativo Municipal - Sabaneta","2007-02-05","","131.94576995"
"Centro Administrativo Municipal - Sabaneta","2007-02-02","","123.19050832"
"Centro Administrativo Municipal - Sabaneta","2007-01-30","","142.86200881"
"Centro Administrativo Municipal - Sabaneta","2007-01-27","","86.42474841"
"Centro Administrativo Municipal - Sabaneta","2007-01-24","","120.76917605"
"Centro Administrativo Municipal - Sabaneta","2007-01-21","","88.8192348"
"Centro Administrativo Municipal - Sabaneta","2007-01-18","","100.42475685"
"Centro Administrativo Municipal - Sabaneta","2007-01-15","","91.61673757"
"Centro Administrativo Municipal - Sabaneta","2007-01-12","","94.47855819"
"Centro Administrativo Municipal - Sabaneta","2007-01-06","","109.24472261"
"Centro Administrativo Municipal - Sabaneta","2007-01-03","","110.76397594"
"Centro Administrativo Municipal - Sabaneta","2006-12-31","","88.98286585"
"Centro Administrativo Municipal - Sabaneta","2006-12-28","","118.68827745"
"Centro Administrativo Municipal - Sabaneta","2006-12-25","","85.29793535"
"Centro Administrativo Municipal - Sabaneta","2006-12-22","","145.60148023"
"Centro Administrativo Municipal - Sabaneta","2006-12-19","","133.09873796"
"Centro Administrativo Municipal - Sabaneta","2006-09-08","","76.26191475"
"Centro Administrativo Municipal - Sabaneta","2006-09-05","","99.73846666"
"Centro Administrativo Municipal - Sabaneta","2006-09-02","","70.12378993"
"Centro Administrativo Municipal - Sabaneta","2006-08-30","","76.03415622"
"Centro Administrativo Municipal - Sabaneta","2006-08-27","","71.86336904"
"Centro Administrativo Municipal - Sabaneta","2006-08-21","","44.83169006"
"Centro Administrativo Municipal - Sabaneta","2006-08-18","","98.79314424"
"Centro Administrativo Municipal - Sabaneta","2006-08-15","","109.95221073"
"Centro Administrativo Municipal - Sabaneta","2006-08-12","","81.6124939"
