"Estacion","Fecha inicial","Fecha final","RGlobal"
"Centro Administrativo Municipal - Sabaneta","2014-05-12","","207.76808265"
"Centro Administrativo Municipal - Sabaneta","2014-05-11","","201.02217281"
"Centro Administrativo Municipal - Sabaneta","2014-05-10","","158.06587108"
"Centro Administrativo Municipal - Sabaneta","2014-05-09","","112.10759696"
"Centro Administrativo Municipal - Sabaneta","2014-05-08","","170.5763065"
"Centro Administrativo Municipal - Sabaneta","2014-05-07","","99.70951516"
"Centro Administrativo Municipal - Sabaneta","2014-05-06","","150.72252719"
"Centro Administrativo Municipal - Sabaneta","2014-05-05","","168.982785"
"Centro Administrativo Municipal - Sabaneta","2014-05-04","","156.28220378"
"Centro Administrativo Municipal - Sabaneta","2014-05-03","","239.83965475"
"Centro Administrativo Municipal - Sabaneta","2014-05-02","","148.03906121"
"Centro Administrativo Municipal - Sabaneta","2014-05-01","","119.15750507"
"Centro Administrativo Municipal - Sabaneta","2014-04-30","","169.03351114"
"Centro Administrativo Municipal - Sabaneta","2014-04-29","","213.79381315"
"Centro Administrativo Municipal - Sabaneta","2014-04-28","","182.82073205"
"Centro Administrativo Municipal - Sabaneta","2014-04-27","","188.72057883"
"Centro Administrativo Municipal - Sabaneta","2014-04-26","","101.08438413"
"Centro Administrativo Municipal - Sabaneta","2014-04-25","","179.11034396"
"Centro Administrativo Municipal - Sabaneta","2014-04-24","","133.39856709"
"Centro Administrativo Municipal - Sabaneta","2014-04-23","","163.33628463"
"Centro Administrativo Municipal - Sabaneta","2014-04-22","","156.03999405"
"Centro Administrativo Municipal - Sabaneta","2014-04-21","","184.80923892"
"Centro Administrativo Municipal - Sabaneta","2014-04-20","","172.38010523"
"Centro Administrativo Municipal - Sabaneta","2014-04-19","","170.05899102"
"Centro Administrativo Municipal - Sabaneta","2014-04-18","","169.21212679"
"Centro Administrativo Municipal - Sabaneta","2014-04-17","","227.76336462"
"Centro Administrativo Municipal - Sabaneta","2014-04-16","","125.59641435"
"Centro Administrativo Municipal - Sabaneta","2014-04-15","","96.70460667"
"Centro Administrativo Municipal - Sabaneta","2014-04-14","","220.74583223"
"Centro Administrativo Municipal - Sabaneta","2014-04-13","","212.11127303"
"Centro Administrativo Municipal - Sabaneta","2014-04-12","","120.667175"
"Centro Administrativo Municipal - Sabaneta","2014-04-11","","138.45896309"
"Centro Administrativo Municipal - Sabaneta","2014-04-10","","247.30422917"
"Centro Administrativo Municipal - Sabaneta","2014-04-09","","190.61938355"
"Centro Administrativo Municipal - Sabaneta","2014-04-08","","230.85388021"
"Centro Administrativo Municipal - Sabaneta","2014-04-07","","160.59073883"
"Centro Administrativo Municipal - Sabaneta","2014-04-06","","154.02995458"
"Centro Administrativo Municipal - Sabaneta","2014-04-05","","256.40960242"
"Centro Administrativo Municipal - Sabaneta","2014-04-04","","187.82089612"
"Centro Administrativo Municipal - Sabaneta","2014-04-03","","169.24149288"
"Centro Administrativo Municipal - Sabaneta","2014-04-02","","173.24141892"
"Centro Administrativo Municipal - Sabaneta","2014-04-01","","283.16146629"
"Centro Administrativo Municipal - Sabaneta","2014-03-31","","225.97175709"
"Centro Administrativo Municipal - Sabaneta","2014-03-30","","230.66123171"
"Centro Administrativo Municipal - Sabaneta","2014-03-29","","240.29688713"
"Centro Administrativo Municipal - Sabaneta","2014-03-28","","230.44981635"
"Centro Administrativo Municipal - Sabaneta","2014-03-27","","244.46880508"
"Centro Administrativo Municipal - Sabaneta","2014-03-26","","174.85334311"
"Centro Administrativo Municipal - Sabaneta","2014-03-25","","157.41872708"
"Centro Administrativo Municipal - Sabaneta","2014-03-24","","175.64113669"
"Centro Administrativo Municipal - Sabaneta","2014-03-23","","249.30070403"
"Centro Administrativo Municipal - Sabaneta","2014-03-22","","159.28864542"
"Centro Administrativo Municipal - Sabaneta","2014-03-21","","189.58505692"
"Centro Administrativo Municipal - Sabaneta","2014-03-20","","138.13171972"
"Centro Administrativo Municipal - Sabaneta","2014-03-19","","228.32388688"
"Centro Administrativo Municipal - Sabaneta","2014-03-18","","131.84561885"
"Centro Administrativo Municipal - Sabaneta","2014-03-17","","129.88933854"
"Centro Administrativo Municipal - Sabaneta","2014-03-16","","174.6609925"
"Centro Administrativo Municipal - Sabaneta","2014-03-15","","180.33395354"
"Centro Administrativo Municipal - Sabaneta","2014-03-14","","127.42823283"
"Centro Administrativo Municipal - Sabaneta","2014-03-13","","105.75069767"
"Centro Administrativo Municipal - Sabaneta","2014-03-12","","126.6850995"
"Centro Administrativo Municipal - Sabaneta","2014-03-11","","179.30907813"
"Centro Administrativo Municipal - Sabaneta","2014-03-10","","197.18765504"
"Centro Administrativo Municipal - Sabaneta","2014-03-09","","172.25599521"
"Centro Administrativo Municipal - Sabaneta","2014-03-08","","157.319337"
"Centro Administrativo Municipal - Sabaneta","2014-03-07","","117.71118975"
"Centro Administrativo Municipal - Sabaneta","2014-03-06","","165.95869842"
"Centro Administrativo Municipal - Sabaneta","2014-03-05","","151.25905383"
"Centro Administrativo Municipal - Sabaneta","2014-03-04","","164.59777508"
"Centro Administrativo Municipal - Sabaneta","2014-03-03","","126.03434979"
"Centro Administrativo Municipal - Sabaneta","2014-03-02","","208.11876629"
"Centro Administrativo Municipal - Sabaneta","2014-03-01","","107.50764766"
"Centro Administrativo Municipal - Sabaneta","2014-02-28","","98.3155517"
"Centro Administrativo Municipal - Sabaneta","2014-02-27","","90.60156534"
"Centro Administrativo Municipal - Sabaneta","2014-02-26","","124.42137104"
"Centro Administrativo Municipal - Sabaneta","2014-02-25","","131.99102563"
"Centro Administrativo Municipal - Sabaneta","2014-02-24","","179.21124971"
"Centro Administrativo Municipal - Sabaneta","2014-02-23","","151.63896763"
"Centro Administrativo Municipal - Sabaneta","2014-02-22","","137.86666858"
"Centro Administrativo Municipal - Sabaneta","2014-02-21","","175.35535938"
"Centro Administrativo Municipal - Sabaneta","2014-02-20","","148.67177283"
"Centro Administrativo Municipal - Sabaneta","2014-02-19","","105.74501075"
"Centro Administrativo Municipal - Sabaneta","2014-02-18","","184.35589063"
"Centro Administrativo Municipal - Sabaneta","2014-02-17","","117.21877629"
"Centro Administrativo Municipal - Sabaneta","2014-02-16","","198.29985344"
"Centro Administrativo Municipal - Sabaneta","2014-02-15","","184.90261475"
"Centro Administrativo Municipal - Sabaneta","2014-02-14","","103.21197763"
"Centro Administrativo Municipal - Sabaneta","2014-02-13","","102.52117904"
"Centro Administrativo Municipal - Sabaneta","2014-02-12","","189.86069319"
"Centro Administrativo Municipal - Sabaneta","2014-02-11","","153.15575259"
"Centro Administrativo Municipal - Sabaneta","2014-02-10","","148.87523846"
"Centro Administrativo Municipal - Sabaneta","2014-02-09","","169.05788835"
"Centro Administrativo Municipal - Sabaneta","2014-02-08","","151.33130257"
"Centro Administrativo Municipal - Sabaneta","2014-02-07","","180.46419752"
"Centro Administrativo Municipal - Sabaneta","2014-02-06","","182.21496804"
"Centro Administrativo Municipal - Sabaneta","2014-02-05","","191.28146575"
"Centro Administrativo Municipal - Sabaneta","2014-02-04","","131.00863254"
"Centro Administrativo Municipal - Sabaneta","2014-02-03","","168.04712463"
"Centro Administrativo Municipal - Sabaneta","2014-02-02","","109.845714"
"Centro Administrativo Municipal - Sabaneta","2014-02-01","","103.319265"
"Centro Administrativo Municipal - Sabaneta","2014-01-31","","175.41355221"
"Centro Administrativo Municipal - Sabaneta","2014-01-30","","78.37643671"
"Centro Administrativo Municipal - Sabaneta","2014-01-29","","144.88278163"
"Centro Administrativo Municipal - Sabaneta","2014-01-28","","198.68789913"
"Centro Administrativo Municipal - Sabaneta","2014-01-27","","203.75677354"
"Centro Administrativo Municipal - Sabaneta","2014-01-26","","116.56140854"
"Centro Administrativo Municipal - Sabaneta","2014-01-25","","205.66342233"
"Centro Administrativo Municipal - Sabaneta","2014-01-24","","211.53957058"
"Centro Administrativo Municipal - Sabaneta","2014-01-23","","168.88262015"
"Centro Administrativo Municipal - Sabaneta","2014-01-22","","118.22019504"
"Centro Administrativo Municipal - Sabaneta","2014-01-21","","99.71437129"
"Centro Administrativo Municipal - Sabaneta","2014-01-20","","179.8003251"
"Centro Administrativo Municipal - Sabaneta","2014-01-19","","128.00460567"
"Centro Administrativo Municipal - Sabaneta","2014-01-18","","197.91169863"
"Centro Administrativo Municipal - Sabaneta","2014-01-17","","135.01795621"
"Centro Administrativo Municipal - Sabaneta","2014-01-16","","142.61800979"
"Centro Administrativo Municipal - Sabaneta","2014-01-15","","177.85006454"
"Centro Administrativo Municipal - Sabaneta","2014-01-14","","123.24764"
"Centro Administrativo Municipal - Sabaneta","2014-01-13","","188.89034307"
"Centro Administrativo Municipal - Sabaneta","2014-01-12","","190.26815388"
"Centro Administrativo Municipal - Sabaneta","2014-01-11","","189.522195"
"Centro Administrativo Municipal - Sabaneta","2014-01-10","","143.89633071"
"Centro Administrativo Municipal - Sabaneta","2014-01-09","","180.22282366"
"Centro Administrativo Municipal - Sabaneta","2014-01-08","","130.92616079"
"Centro Administrativo Municipal - Sabaneta","2014-01-07","","226.25655804"
"Centro Administrativo Municipal - Sabaneta","2014-01-06","","64.27157542"
"Centro Administrativo Municipal - Sabaneta","2014-01-05","","149.58407358"
"Centro Administrativo Municipal - Sabaneta","2014-01-04","","213.10044042"
"Centro Administrativo Municipal - Sabaneta","2014-01-03","","144.46431854"
"Centro Administrativo Municipal - Sabaneta","2014-01-02","","126.02919958"
"Centro Administrativo Municipal - Sabaneta","2014-01-01","","176.46628983"
"Centro Administrativo Municipal - Sabaneta","2013-12-31","","126.37701175"
"Centro Administrativo Municipal - Sabaneta","2013-12-30","","144.89146916"
"Centro Administrativo Municipal - Sabaneta","2013-12-29","","207.47969565"
"Centro Administrativo Municipal - Sabaneta","2013-12-28","","223.76213398"
"Centro Administrativo Municipal - Sabaneta","2013-12-27","","205.92949208"
"Centro Administrativo Municipal - Sabaneta","2013-12-26","","182.93406088"
"Centro Administrativo Municipal - Sabaneta","2013-12-25","","241.52939388"
"Centro Administrativo Municipal - Sabaneta","2013-12-24","","168.04868788"
"Centro Administrativo Municipal - Sabaneta","2013-12-23","","67.80511575"
"Centro Administrativo Municipal - Sabaneta","2013-12-22","","104.17330662"
"Centro Administrativo Municipal - Sabaneta","2013-12-21","","207.09969492"
"Centro Administrativo Municipal - Sabaneta","2013-12-20","","109.44761017"
"Centro Administrativo Municipal - Sabaneta","2013-12-19","","203.35909904"
"Centro Administrativo Municipal - Sabaneta","2013-12-18","","80.14712308"
"Centro Administrativo Municipal - Sabaneta","2013-12-17","","95.55765042"
