"Estacion","Fecha inicial","Fecha final","TAire10"
"Centro Administrativo Municipal - Sabaneta","2014-05-12","","19.67136"
"Centro Administrativo Municipal - Sabaneta","2014-05-11","","20.64817083"
"Centro Administrativo Municipal - Sabaneta","2014-05-10","","20.19819167"
"Centro Administrativo Municipal - Sabaneta","2014-05-09","","19.1127875"
"Centro Administrativo Municipal - Sabaneta","2014-05-08","","20.6817875"
"Centro Administrativo Municipal - Sabaneta","2014-05-07","","19.51224583"
"Centro Administrativo Municipal - Sabaneta","2014-05-06","","21.308175"
"Centro Administrativo Municipal - Sabaneta","2014-05-05","","21.53890833"
"Centro Administrativo Municipal - Sabaneta","2014-05-04","","22.20013333"
"Centro Administrativo Municipal - Sabaneta","2014-05-03","","22.47874167"
"Centro Administrativo Municipal - Sabaneta","2014-05-02","","20.21639167"
"Centro Administrativo Municipal - Sabaneta","2014-05-01","","20.83297083"
"Centro Administrativo Municipal - Sabaneta","2014-04-30","","21.24370417"
"Centro Administrativo Municipal - Sabaneta","2014-04-29","","22.666675"
"Centro Administrativo Municipal - Sabaneta","2014-04-28","","22.765825"
"Centro Administrativo Municipal - Sabaneta","2014-04-27","","20.23955833"
"Centro Administrativo Municipal - Sabaneta","2014-04-26","","19.2893"
"Centro Administrativo Municipal - Sabaneta","2014-04-25","","21.19895"
"Centro Administrativo Municipal - Sabaneta","2014-04-24","","19.70939583"
"Centro Administrativo Municipal - Sabaneta","2014-04-23","","20.6977125"
"Centro Administrativo Municipal - Sabaneta","2014-04-22","","21.63534167"
"Centro Administrativo Municipal - Sabaneta","2014-04-21","","21.03403333"
"Centro Administrativo Municipal - Sabaneta","2014-04-20","","21.4446625"
"Centro Administrativo Municipal - Sabaneta","2014-04-19","","21.77261364"
"Centro Administrativo Municipal - Sabaneta","2014-04-18","","21.16154583"
"Centro Administrativo Municipal - Sabaneta","2014-04-17","","22.488535"
"Centro Administrativo Municipal - Sabaneta","2014-04-16","","19.72120435"
"Centro Administrativo Municipal - Sabaneta","2014-04-15","","20.39389167"
"Centro Administrativo Municipal - Sabaneta","2014-04-14","","23.56313333"
"Centro Administrativo Municipal - Sabaneta","2014-04-13","","22.83489167"
"Centro Administrativo Municipal - Sabaneta","2014-04-12","","20.56765417"
"Centro Administrativo Municipal - Sabaneta","2014-04-11","","22.67692917"
"Centro Administrativo Municipal - Sabaneta","2014-04-10","","23.418375"
"Centro Administrativo Municipal - Sabaneta","2014-04-09","","22.63890833"
"Centro Administrativo Municipal - Sabaneta","2014-04-08","","24.3153"
"Centro Administrativo Municipal - Sabaneta","2014-04-07","","24.1129625"
"Centro Administrativo Municipal - Sabaneta","2014-04-06","","24.0128"
"Centro Administrativo Municipal - Sabaneta","2014-04-05","","23.71208333"
"Centro Administrativo Municipal - Sabaneta","2014-04-04","","22.07822917"
"Centro Administrativo Municipal - Sabaneta","2014-04-03","","22.5638"
"Centro Administrativo Municipal - Sabaneta","2014-04-02","","23.12773333"
"Centro Administrativo Municipal - Sabaneta","2014-04-01","","23.3895625"
"Centro Administrativo Municipal - Sabaneta","2014-03-31","","22.839975"
"Centro Administrativo Municipal - Sabaneta","2014-03-30","","23.47135833"
"Centro Administrativo Municipal - Sabaneta","2014-03-29","","24.04983333"
"Centro Administrativo Municipal - Sabaneta","2014-03-28","","23.5904875"
"Centro Administrativo Municipal - Sabaneta","2014-03-27","","23.028525"
"Centro Administrativo Municipal - Sabaneta","2014-03-26","","21.7286625"
"Centro Administrativo Municipal - Sabaneta","2014-03-25","","22.267925"
"Centro Administrativo Municipal - Sabaneta","2014-03-24","","21.95722917"
"Centro Administrativo Municipal - Sabaneta","2014-03-23","","22.75365417"
"Centro Administrativo Municipal - Sabaneta","2014-03-22","","23.56615"
"Centro Administrativo Municipal - Sabaneta","2014-03-21","","23.38234583"
"Centro Administrativo Municipal - Sabaneta","2014-03-20","","23.5335875"
"Centro Administrativo Municipal - Sabaneta","2014-03-19","","23.33750833"
"Centro Administrativo Municipal - Sabaneta","2014-03-18","","21.73755833"
"Centro Administrativo Municipal - Sabaneta","2014-03-17","","21.54162917"
"Centro Administrativo Municipal - Sabaneta","2014-03-16","","20.33885"
"Centro Administrativo Municipal - Sabaneta","2014-03-15","","20.9879375"
"Centro Administrativo Municipal - Sabaneta","2014-03-14","","21.31606667"
"Centro Administrativo Municipal - Sabaneta","2014-03-13","","20.835975"
"Centro Administrativo Municipal - Sabaneta","2014-03-12","","20.06525"
"Centro Administrativo Municipal - Sabaneta","2014-03-11","","21.8944625"
"Centro Administrativo Municipal - Sabaneta","2014-03-10","","21.44691667"
"Centro Administrativo Municipal - Sabaneta","2014-03-09","","20.62194167"
"Centro Administrativo Municipal - Sabaneta","2014-03-08","","19.48057917"
"Centro Administrativo Municipal - Sabaneta","2014-03-07","","19.89754167"
"Centro Administrativo Municipal - Sabaneta","2014-03-06","","20.18811667"
"Centro Administrativo Municipal - Sabaneta","2014-03-05","","20.80792917"
"Centro Administrativo Municipal - Sabaneta","2014-03-04","","20.59502917"
"Centro Administrativo Municipal - Sabaneta","2014-03-03","","20.30727917"
