"Estacion","Fecha inicial","Fecha final","VViento"
"Centro Administrativo Municipal - Sabaneta","2014-05-12","","0.8709721"
"Centro Administrativo Municipal - Sabaneta","2014-05-11","","1.16721304"
"Centro Administrativo Municipal - Sabaneta","2014-05-10","","1.34051296"
"Centro Administrativo Municipal - Sabaneta","2014-05-09","","0.63885733"
"Centro Administrativo Municipal - Sabaneta","2014-05-08","","0.89065655"
"Centro Administrativo Municipal - Sabaneta","2014-05-07","","0.42751513"
"Centro Administrativo Municipal - Sabaneta","2014-05-06","","0.81578058"
"Centro Administrativo Municipal - Sabaneta","2014-05-05","","0.88280658"
"Centro Administrativo Municipal - Sabaneta","2014-05-04","","0.82967034"
"Centro Administrativo Municipal - Sabaneta","2014-05-03","","0.90877258"
"Centro Administrativo Municipal - Sabaneta","2014-05-02","","0.60021168"
"Centro Administrativo Municipal - Sabaneta","2014-05-01","","0.66844608"
"Centro Administrativo Municipal - Sabaneta","2014-04-30","","0.67750342"
"Centro Administrativo Municipal - Sabaneta","2014-04-29","","1.22095583"
"Centro Administrativo Municipal - Sabaneta","2014-04-28","","0.68716484"
"Centro Administrativo Municipal - Sabaneta","2014-04-27","","0.88220367"
"Centro Administrativo Municipal - Sabaneta","2014-04-26","","0.45468748"
"Centro Administrativo Municipal - Sabaneta","2014-04-25","","0.68293727"
"Centro Administrativo Municipal - Sabaneta","2014-04-24","","0.73667925"
"Centro Administrativo Municipal - Sabaneta","2014-04-23","","1.22035088"
"Centro Administrativo Municipal - Sabaneta","2014-04-22","","0.90635577"
"Centro Administrativo Municipal - Sabaneta","2014-04-21","","0.85986208"
"Centro Administrativo Municipal - Sabaneta","2014-04-20","","0.63040429"
"Centro Administrativo Municipal - Sabaneta","2014-04-19","","0.86029991"
"Centro Administrativo Municipal - Sabaneta","2014-04-18","","0.84657834"
"Centro Administrativo Municipal - Sabaneta","2014-04-17","","1.1332738"
"Centro Administrativo Municipal - Sabaneta","2014-04-16","","0.47921817"
"Centro Administrativo Municipal - Sabaneta","2014-04-15","","0.97155175"
"Centro Administrativo Municipal - Sabaneta","2014-04-14","","1.17988213"
"Centro Administrativo Municipal - Sabaneta","2014-04-13","","0.73970271"
"Centro Administrativo Municipal - Sabaneta","2014-04-12","","0.87314733"
"Centro Administrativo Municipal - Sabaneta","2014-04-11","","0.83270025"
"Centro Administrativo Municipal - Sabaneta","2014-04-10","","1.64185588"
"Centro Administrativo Municipal - Sabaneta","2014-04-09","","1.35379292"
"Centro Administrativo Municipal - Sabaneta","2014-04-08","","1.34475458"
"Centro Administrativo Municipal - Sabaneta","2014-04-07","","1.52230175"
"Centro Administrativo Municipal - Sabaneta","2014-04-06","","1.13887308"
"Centro Administrativo Municipal - Sabaneta","2014-04-05","","1.14667338"
"Centro Administrativo Municipal - Sabaneta","2014-04-04","","0.8374909"
"Centro Administrativo Municipal - Sabaneta","2014-04-03","","1.010249"
"Centro Administrativo Municipal - Sabaneta","2014-04-02","","0.80551652"
"Centro Administrativo Municipal - Sabaneta","2014-04-01","","1.5959208"
"Centro Administrativo Municipal - Sabaneta","2014-03-31","","1.08757238"
"Centro Administrativo Municipal - Sabaneta","2014-03-30","","1.32115313"
"Centro Administrativo Municipal - Sabaneta","2014-03-29","","1.07967283"
"Centro Administrativo Municipal - Sabaneta","2014-03-28","","1.01988375"
"Centro Administrativo Municipal - Sabaneta","2014-03-27","","1.43121958"
"Centro Administrativo Municipal - Sabaneta","2014-03-26","","1.25419203"
"Centro Administrativo Municipal - Sabaneta","2014-03-25","","1.27288692"
"Centro Administrativo Municipal - Sabaneta","2014-03-24","","1.03804271"
"Centro Administrativo Municipal - Sabaneta","2014-03-23","","0.89729205"
"Centro Administrativo Municipal - Sabaneta","2014-03-22","","1.18051623"
"Centro Administrativo Municipal - Sabaneta","2014-03-21","","0.8767565"
"Centro Administrativo Municipal - Sabaneta","2014-03-20","","1.07724665"
"Centro Administrativo Municipal - Sabaneta","2014-03-19","","1.2039645"
"Centro Administrativo Municipal - Sabaneta","2014-03-18","","0.79708679"
"Centro Administrativo Municipal - Sabaneta","2014-03-17","","0.58933333"
"Centro Administrativo Municipal - Sabaneta","2014-03-16","","0.54586258"
"Centro Administrativo Municipal - Sabaneta","2014-03-15","","1.20466458"
"Centro Administrativo Municipal - Sabaneta","2014-03-14","","0.88582504"
"Centro Administrativo Municipal - Sabaneta","2014-03-13","","1.01442042"
"Centro Administrativo Municipal - Sabaneta","2014-03-12","","0.69625771"
"Centro Administrativo Municipal - Sabaneta","2014-03-11","","1.04948663"
"Centro Administrativo Municipal - Sabaneta","2014-03-10","","0.98543404"
"Centro Administrativo Municipal - Sabaneta","2014-03-09","","0.92799938"
"Centro Administrativo Municipal - Sabaneta","2014-03-08","","0.56942142"
