"Estacion","Fecha inicial","Fecha final","CO"
"Colegio el Rosario - Itagüí","2012-10-01","","0.438"
"Colegio el Rosario - Itagüí","2012-09-30","","0.53708333"
"Colegio el Rosario - Itagüí","2012-09-29","","0.72791667"
"Colegio el Rosario - Itagüí","2012-09-28","","0.72708333"
"Colegio el Rosario - Itagüí","2012-09-27","","0.50375"
"Colegio el Rosario - Itagüí","2012-09-26","","0.51041667"
"Colegio el Rosario - Itagüí","2012-09-25","","0.63708333"
"Colegio el Rosario - Itagüí","2012-09-24","","0.51541667"
"Colegio el Rosario - Itagüí","2012-09-23","","0.39083333"
"Colegio el Rosario - Itagüí","2012-09-22","","0.55791667"
"Colegio el Rosario - Itagüí","2012-09-21","","0.47791667"
"Colegio el Rosario - Itagüí","2012-09-20","","0.4925"
"Colegio el Rosario - Itagüí","2012-09-19","","0.51625"
"Colegio el Rosario - Itagüí","2012-09-18","","0.68708333"
"Colegio el Rosario - Itagüí","2012-09-17","","0.78"
"Colegio el Rosario - Itagüí","2012-09-16","","1.00958333"
"Colegio el Rosario - Itagüí","2012-09-15","","0.95625"
"Colegio el Rosario - Itagüí","2012-09-14","","0.97875"
"Colegio el Rosario - Itagüí","2012-09-13","","0.89125"
"Colegio el Rosario - Itagüí","2012-09-12","","0.92166667"
"Colegio el Rosario - Itagüí","2012-09-11","","0.77083333"
"Colegio el Rosario - Itagüí","2012-09-10","","0.68416667"
"Colegio el Rosario - Itagüí","2012-09-09","","0.685"
"Colegio el Rosario - Itagüí","2012-09-08","","0.6625"
"Colegio el Rosario - Itagüí","2012-09-07","","0.6225"
"Colegio el Rosario - Itagüí","2012-09-06","","0.63875"
"Colegio el Rosario - Itagüí","2012-09-05","","0.74461538"
