"Estacion","Fecha inicial","Fecha final","O3"
"Colegio el Rosario - Itagüí","2012-10-01","","19.2"
"Colegio el Rosario - Itagüí","2012-09-30","","27.30434783"
"Colegio el Rosario - Itagüí","2012-09-29","","26.04347826"
"Colegio el Rosario - Itagüí","2012-09-28","","18.04347826"
"Colegio el Rosario - Itagüí","2012-09-27","","24.39130435"
"Colegio el Rosario - Itagüí","2012-09-26","","21.91304348"
"Colegio el Rosario - Itagüí","2012-09-25","","20.26086957"
"Colegio el Rosario - Itagüí","2012-09-24","","15.82608696"
"Colegio el Rosario - Itagüí","2012-09-23","","27.56521739"
"Colegio el Rosario - Itagüí","2012-09-22","","20.82608696"
"Colegio el Rosario - Itagüí","2012-09-21","","28.04347826"
"Colegio el Rosario - Itagüí","2012-09-20","","24.08695652"
"Colegio el Rosario - Itagüí","2012-09-19","","28.86956522"
"Colegio el Rosario - Itagüí","2012-09-18","","22.08695652"
"Colegio el Rosario - Itagüí","2012-09-17","","21.59090909"
"Colegio el Rosario - Itagüí","2012-09-16","","25.39130435"
"Colegio el Rosario - Itagüí","2012-09-15","","29.82608696"
"Colegio el Rosario - Itagüí","2012-09-14","","36.43478261"
"Colegio el Rosario - Itagüí","2012-09-13","","27.17391304"
"Colegio el Rosario - Itagüí","2012-09-12","","26.52173913"
"Colegio el Rosario - Itagüí","2012-09-11","","25.39130435"
"Colegio el Rosario - Itagüí","2012-09-10","","27.86956522"
"Colegio el Rosario - Itagüí","2012-09-09","","22.0"
"Colegio el Rosario - Itagüí","2012-09-08","","25.56521739"
"Colegio el Rosario - Itagüí","2012-09-07","","28.65217391"
"Colegio el Rosario - Itagüí","2012-09-06","","23.73913043"
"Colegio el Rosario - Itagüí","2012-09-05","","21.69565217"
"Colegio el Rosario - Itagüí","2012-09-04","","22.30434783"
"Colegio el Rosario - Itagüí","2012-09-03","","24.69565217"
"Colegio el Rosario - Itagüí","2012-09-02","","27.95652174"
"Colegio el Rosario - Itagüí","2012-09-01","","24.43478261"
