"Estacion","Fecha inicial","Fecha final","PM10"
"Colegio el Rosario - Itagüí","2013-11-30","","53.86447144"
"Colegio el Rosario - Itagüí","2013-11-29","","56.87627443"
"Colegio el Rosario - Itagüí","2013-11-28","","51.11721881"
"Colegio el Rosario - Itagüí","2013-11-27","","67.59056155"
"Colegio el Rosario - Itagüí","2013-11-26","","56.79487371"
"Colegio el Rosario - Itagüí","2013-11-25","","65.08483184"
"Colegio el Rosario - Itagüí","2013-11-24","","51.11721832"
"Colegio el Rosario - Itagüí","2013-11-23","","65.3622338"
"Colegio el Rosario - Itagüí","2013-11-22","","71.10093927"
"Colegio el Rosario - Itagüí","2013-11-21","","72.87139153"
"Colegio el Rosario - Itagüí","2013-11-20","","58.28042706"
"Colegio el Rosario - Itagüí","2013-11-19","","37.22832942"
"Colegio el Rosario - Itagüí","2013-11-18","","56.49980021"
"Colegio el Rosario - Itagüí","2013-11-17","","43.55497443"
"Colegio el Rosario - Itagüí","2013-11-16","","53.84412241"
"Colegio el Rosario - Itagüí","2013-11-15","","54.26129723"
"Colegio el Rosario - Itagüí","2013-11-14","","46.79283981"
"Colegio el Rosario - Itagüí","2013-11-13","","60.71269641"
"Colegio el Rosario - Itagüí","2013-11-12","","51.88034431"
"Colegio el Rosario - Itagüí","2013-11-11","","49.08221594"
"Colegio el Rosario - Itagüí","2013-11-10","","43.76068552"
"Colegio el Rosario - Itagüí","2013-11-09","","56.78425785"
"Colegio el Rosario - Itagüí","2013-11-08","","64.63051746"
"Colegio el Rosario - Itagüí","2013-11-07","","53.13187075"
"Colegio el Rosario - Itagüí","2013-11-06","","54.36304696"
"Colegio el Rosario - Itagüí","2013-11-05","","45.55148816"
"Colegio el Rosario - Itagüí","2013-11-04","","31.82539842"
"Colegio el Rosario - Itagüí","2013-11-03","","26.69719301"
"Colegio el Rosario - Itagüí","2013-11-02","","29.74969645"
"Colegio el Rosario - Itagüí","2013-11-01","","38.07285555"
"Colegio el Rosario - Itagüí","2013-10-31","","51.74806984"
"Colegio el Rosario - Itagüí","2013-10-30","","64.94392791"
"Colegio el Rosario - Itagüí","2013-10-29","","68.51648744"
"Colegio el Rosario - Itagüí","2013-10-28","","57.53765027"
"Colegio el Rosario - Itagüí","2013-10-27","","38.2763559"
"Colegio el Rosario - Itagüí","2013-10-26","","67.49721643"
"Colegio el Rosario - Itagüí","2013-10-25","","69.99186412"
"Colegio el Rosario - Itagüí","2013-10-24","","70.4090391"
"Colegio el Rosario - Itagüí","2013-10-23","","64.49735737"
"Colegio el Rosario - Itagüí","2013-10-22","","51.90069445"
