"Estacion","Fecha inicial","Fecha final","PM2.5"
"Colegio el Rosario - Itagüí","2012-10-01","","16.5"
"Colegio el Rosario - Itagüí","2012-09-30","","18.52380952"
"Colegio el Rosario - Itagüí","2012-09-29","","31.43478261"
"Colegio el Rosario - Itagüí","2012-09-28","","35.0"
"Colegio el Rosario - Itagüí","2012-09-27","","23.61904762"
"Colegio el Rosario - Itagüí","2012-09-26","","25.63157895"
"Colegio el Rosario - Itagüí","2012-09-25","","35.04761905"
"Colegio el Rosario - Itagüí","2012-09-24","","29.25"
"Colegio el Rosario - Itagüí","2012-09-23","","22.94736842"
"Colegio el Rosario - Itagüí","2012-09-22","","29.52380952"
"Colegio el Rosario - Itagüí","2012-09-21","","29.80952381"
"Colegio el Rosario - Itagüí","2012-09-20","","31.75"
"Colegio el Rosario - Itagüí","2012-09-19","","27.54545455"
"Colegio el Rosario - Itagüí","2012-09-18","","31.66666667"
"Colegio el Rosario - Itagüí","2012-09-17","","29.56521739"
"Colegio el Rosario - Itagüí","2012-09-16","","26.04166667"
"Colegio el Rosario - Itagüí","2012-09-15","","26.16666667"
"Colegio el Rosario - Itagüí","2012-09-14","","33.83333333"
"Colegio el Rosario - Itagüí","2012-09-13","","26.56521739"
"Colegio el Rosario - Itagüí","2012-09-12","","26.60869565"
"Colegio el Rosario - Itagüí","2012-09-11","","23.70833333"
"Colegio el Rosario - Itagüí","2012-09-10","","18.63636364"
"Colegio el Rosario - Itagüí","2012-09-09","","18.95652174"
"Colegio el Rosario - Itagüí","2012-09-08","","23.66666667"
"Colegio el Rosario - Itagüí","2012-09-07","","23.79166667"
"Colegio el Rosario - Itagüí","2012-09-06","","25.08333333"
"Colegio el Rosario - Itagüí","2012-09-05","","34.0"
"Colegio el Rosario - Itagüí","2012-09-04","","26.625"
"Colegio el Rosario - Itagüí","2012-09-03","","26.0"
"Colegio el Rosario - Itagüí","2012-09-02","","23.86956522"
"Colegio el Rosario - Itagüí","2012-09-01","","28.75"
