"Estacion","Fecha inicial","Fecha final","CO"
"DITAIRES","2012-03-02","","6.922589"
"DITAIRES","2012-03-01","","5.7167208"
"DITAIRES","2012-02-29","","4.85965622"
"DITAIRES","2012-02-28","","4.96957404"
"DITAIRES","2012-02-27","","4.84671588"
"DITAIRES","2012-02-26","","4.18890663"
"DITAIRES","2012-02-25","","4.23773875"
"DITAIRES","2012-02-24","","4.1331095"
"DITAIRES","2012-02-23","","5.47411213"
"DITAIRES","2012-02-22","","6.04228129"
"DITAIRES","2012-02-21","","6.10819013"
"DITAIRES","2012-02-20","","5.98140479"
"DITAIRES","2012-02-19","","5.95674658"
"DITAIRES","2012-02-18","","6.07335354"
"DITAIRES","2012-02-17","","5.99079521"
"DITAIRES","2012-02-16","","5.92749133"
"DITAIRES","2012-02-15","","5.95165908"
"DITAIRES","2012-02-14","","5.93032242"
"DITAIRES","2012-02-13","","5.84770063"
"DITAIRES","2012-02-12","","5.90645167"
"DITAIRES","2012-02-11","","5.95626808"
"DITAIRES","2012-02-10","","5.91585746"
"DITAIRES","2012-02-09","","6.0181435"
"DITAIRES","2012-02-08","","5.98667804"
"DITAIRES","2012-02-07","","5.79692863"
"DITAIRES","2012-02-06","","5.92558807"
"DITAIRES","2012-02-05","","5.66793"
"DITAIRES","2012-02-04","","5.79880379"
"DITAIRES","2012-02-03","","5.85681671"
"DITAIRES","2012-02-02","","5.75785225"
"DITAIRES","2012-02-01","","5.69791096"
"DITAIRES","2012-01-31","","5.70815483"
"DITAIRES","2012-01-30","","5.82370188"
"DITAIRES","2012-01-29","","5.74898079"
"DITAIRES","2012-01-28","","5.70352222"
"DITAIRES","2012-01-27","","5.40035825"
"DITAIRES","2012-01-26","","5.31954188"
"DITAIRES","2012-01-25","","5.29106092"
"DITAIRES","2012-01-24","","5.69924851"
"DITAIRES","2012-01-23","","5.57990204"
"DITAIRES","2012-01-22","","5.52587825"
"DITAIRES","2012-01-21","","5.49793592"
"DITAIRES","2012-01-20","","5.2229155"
"DITAIRES","2012-01-19","","5.70279829"
"DITAIRES","2012-01-18","","5.61185825"
"DITAIRES","2012-01-17","","5.38464913"
"DITAIRES","2012-01-16","","5.08064125"
"DITAIRES","2012-01-15","","4.82762963"
"DITAIRES","2012-01-14","","4.82915629"
"DITAIRES","2012-01-13","","5.04930821"
"DITAIRES","2012-01-12","","4.78716104"
"DITAIRES","2012-01-11","","4.60019058"
"DITAIRES","2012-01-10","","4.80971208"
"DITAIRES","2012-01-09","","4.35230279"
"DITAIRES","2012-01-08","","4.60985683"
"DITAIRES","2012-01-07","","4.61487592"
"DITAIRES","2012-01-06","","5.354593"
"DITAIRES","2012-01-05","","5.039274"
"DITAIRES","2012-01-04","","4.91131933"
"DITAIRES","2012-01-03","","5.01566792"
"DITAIRES","2012-01-02","","4.61396525"
"DITAIRES","2012-01-01","","4.20860121"
"DITAIRES","2011-12-31","","4.73259542"
"DITAIRES","2011-12-30","","4.93651729"
