"Estacion","Fecha inicial","Fecha final","RGlobal"
"DITAIRES","2012-02-20","","104.29016"
"DITAIRES","2012-02-19","","210.56179863"
"DITAIRES","2012-02-18","","199.73021167"
"DITAIRES","2012-02-17","","224.72153121"
"DITAIRES","2012-02-16","","210.84248154"
"DITAIRES","2012-02-15","","215.58054825"
"DITAIRES","2012-02-14","","218.11249508"
"DITAIRES","2012-02-13","","175.22441796"
"DITAIRES","2012-02-12","","186.8836775"
"DITAIRES","2012-02-11","","195.05462013"
"DITAIRES","2012-02-10","","132.40925517"
"DITAIRES","2012-02-09","","196.04456246"
"DITAIRES","2012-02-08","","84.49548471"
"DITAIRES","2012-02-07","","208.56227129"
"DITAIRES","2012-02-06","","130.14838021"
"DITAIRES","2012-02-05","","174.3998905"
"DITAIRES","2012-02-04","","215.31504396"
"DITAIRES","2012-02-03","","136.59039683"
"DITAIRES","2012-02-02","","153.73854192"
"DITAIRES","2012-02-01","","198.14711925"
"DITAIRES","2012-01-31","","151.47986171"
"DITAIRES","2012-01-30","","111.33287188"
"DITAIRES","2012-01-29","","140.30428325"
"DITAIRES","2012-01-28","","203.59642088"
"DITAIRES","2012-01-27","","131.23773046"
"DITAIRES","2012-01-26","","160.31423471"
"DITAIRES","2012-01-25","","204.87245396"
"DITAIRES","2012-01-24","","79.29097425"
"DITAIRES","2012-01-23","","161.99189863"
"DITAIRES","2012-01-22","","137.92314767"
"DITAIRES","2012-01-21","","126.42407433"
"DITAIRES","2012-01-20","","186.05671279"
"DITAIRES","2012-01-19","","139.45313267"
"DITAIRES","2012-01-18","","99.1442135"
"DITAIRES","2012-01-17","","155.66217788"
"DITAIRES","2012-01-16","","173.55798529"
"DITAIRES","2012-01-15","","196.10242858"
"DITAIRES","2012-01-14","","177.54502796"
"DITAIRES","2012-01-13","","145.93298792"
"DITAIRES","2012-01-12","","152.05278279"
"DITAIRES","2012-01-11","","185.45278375"
"DITAIRES","2012-01-10","","164.23806506"
"DITAIRES","2012-01-09","","217.03796121"
"DITAIRES","2012-01-08","","164.16771404"
"DITAIRES","2012-01-07","","195.45855921"
"DITAIRES","2012-01-06","","124.43078775"
"DITAIRES","2012-01-05","","131.84490346"
"DITAIRES","2012-01-04","","125.63853763"
"DITAIRES","2012-01-03","","98.02546067"
"DITAIRES","2012-01-02","","114.48587754"
"DITAIRES","2012-01-01","","213.23136538"
"DITAIRES","2011-12-31","","133.14131879"
"DITAIRES","2011-12-30","","108.66249671"
"DITAIRES","2011-12-29","","113.07974525"
"DITAIRES","2011-12-28","","142.51272908"
"DITAIRES","2011-12-27","","138.34270567"
"DITAIRES","2011-12-26","","94.98507113"
"DITAIRES","2011-12-25","","159.95555629"
"DITAIRES","2011-12-24","","153.08414104"
"DITAIRES","2011-12-23","","171.97361129"
"DITAIRES","2011-12-22","","217.26353904"
"DITAIRES","2011-12-21","","204.50440046"
"DITAIRES","2011-12-20","","182.99028413"
"DITAIRES","2011-12-19","","94.432752"
"DITAIRES","2011-12-18","","126.81678096"
"DITAIRES","2011-12-17","","156.50740983"
"DITAIRES","2011-12-16","","124.93136621"
"DITAIRES","2011-12-15","","248.583116"
"DITAIRES","2011-12-12","","6.0"
"DITAIRES","2011-12-11","","162.36631242"
"DITAIRES","2011-12-10","","164.60983563"
"DITAIRES","2011-12-09","","173.51618642"
"DITAIRES","2011-12-08","","126.15845542"
"DITAIRES","2011-12-07","","131.24247875"
"DITAIRES","2011-12-06","","120.11111342"
"DITAIRES","2011-12-05","","85.17986271"
"DITAIRES","2011-12-04","","156.38656867"
"DITAIRES","2011-12-03","","178.35868429"
"DITAIRES","2011-12-02","","155.02037217"
"DITAIRES","2011-12-01","","137.67128763"
"DITAIRES","2011-11-30","","110.7810195"
"DITAIRES","2011-11-29","","118.19977488"
"DITAIRES","2011-11-28","","150.61284713"
"DITAIRES","2011-11-27","","180.92500417"
"DITAIRES","2011-11-26","","205.04525125"
"DITAIRES","2011-11-25","","150.43438054"
"DITAIRES","2011-11-24","","151.95983942"
"DITAIRES","2011-11-23","","174.868177"
"DITAIRES","2011-11-22","","144.56191663"
"DITAIRES","2011-11-21","","174.21898329"
"DITAIRES","2011-11-20","","162.45357988"
"DITAIRES","2011-11-19","","121.35081108"
"DITAIRES","2011-11-18","","148.31250188"
"DITAIRES","2011-11-17","","150.15289421"
"DITAIRES","2011-11-16","","140.97546288"
"DITAIRES","2011-11-15","","153.647224"
"DITAIRES","2011-11-14","","197.2036386"
"DITAIRES","2011-11-13","","104.36099583"
"DITAIRES","2011-11-12","","99.74756238"
"DITAIRES","2011-11-11","","123.70404258"
"DITAIRES","2011-11-10","","137.75532596"
"DITAIRES","2011-11-09","","123.23923733"
"DITAIRES","2011-11-08","","120.34432083"
"DITAIRES","2011-11-07","","129.29016433"
"DITAIRES","2011-11-06","","210.22927412"
"DITAIRES","2011-11-05","","208.96198521"
"DITAIRES","2011-11-04","","150.28369696"
"DITAIRES","2011-11-03","","118.16666208"
