"Estacion","Fecha inicial","Fecha final","TAire2"
"DITAIRES","2012-02-20","","15.78419545"
"DITAIRES","2012-02-19","","20.08243625"
"DITAIRES","2012-02-18","","20.21524417"
"DITAIRES","2012-02-17","","20.03978583"
"DITAIRES","2012-02-16","","19.47988417"
"DITAIRES","2012-02-15","","20.04698542"
"DITAIRES","2012-02-14","","20.98909208"
"DITAIRES","2012-02-13","","20.4908575"
"DITAIRES","2012-02-12","","20.83101833"
"DITAIRES","2012-02-11","","20.787245"
"DITAIRES","2012-02-10","","20.50353542"
"DITAIRES","2012-02-09","","20.44114042"
"DITAIRES","2012-02-08","","19.28078667"
"DITAIRES","2012-02-07","","21.62579375"
"DITAIRES","2012-02-06","","20.19285292"
"DITAIRES","2012-02-05","","21.64825208"
"DITAIRES","2012-02-04","","22.17591458"
"DITAIRES","2012-02-03","","20.84748917"
"DITAIRES","2012-02-02","","21.7450575"
"DITAIRES","2012-02-01","","21.35480375"
"DITAIRES","2012-01-31","","20.55726917"
"DITAIRES","2012-01-30","","19.95124375"
"DITAIRES","2012-01-29","","20.40469958"
"DITAIRES","2012-01-28","","21.08941042"
"DITAIRES","2012-01-27","","20.03267917"
"DITAIRES","2012-01-26","","20.00461125"
"DITAIRES","2012-01-25","","20.234785"
"DITAIRES","2012-01-24","","18.59769708"
"DITAIRES","2012-01-23","","19.56972167"
"DITAIRES","2012-01-22","","19.23287"
"DITAIRES","2012-01-21","","19.58744292"
"DITAIRES","2012-01-20","","19.93413708"
"DITAIRES","2012-01-19","","18.11718208"
"DITAIRES","2012-01-18","","17.7212325"
"DITAIRES","2012-01-17","","19.41933313"
"DITAIRES","2012-01-16","","19.37792792"
"DITAIRES","2012-01-15","","20.72729083"
"DITAIRES","2012-01-14","","22.06460083"
"DITAIRES","2012-01-13","","21.38172417"
"DITAIRES","2012-01-12","","21.49613417"
"DITAIRES","2012-01-11","","21.37315958"
"DITAIRES","2012-01-10","","21.61251708"
"DITAIRES","2012-01-09","","21.28658667"
"DITAIRES","2012-01-08","","20.91979208"
"DITAIRES","2012-01-07","","21.19008667"
"DITAIRES","2012-01-06","","19.72162625"
"DITAIRES","2012-01-05","","19.46414875"
"DITAIRES","2012-01-04","","19.82045208"
"DITAIRES","2012-01-03","","18.93937417"
"DITAIRES","2012-01-02","","20.62087958"
"DITAIRES","2012-01-01","","21.95890125"
"DITAIRES","2011-12-31","","20.66167208"
"DITAIRES","2011-12-30","","21.04031792"
"DITAIRES","2011-12-29","","20.50402792"
"DITAIRES","2011-12-28","","20.56115167"
"DITAIRES","2011-12-27","","20.45249917"
"DITAIRES","2011-12-26","","20.27366292"
"DITAIRES","2011-12-25","","21.3371875"
"DITAIRES","2011-12-24","","21.21714708"
"DITAIRES","2011-12-23","","21.74027167"
"DITAIRES","2011-12-22","","21.74552083"
"DITAIRES","2011-12-21","","21.2474475"
"DITAIRES","2011-12-20","","19.66768083"
"DITAIRES","2011-12-19","","17.90055583"
"DITAIRES","2011-12-18","","18.89086792"
"DITAIRES","2011-12-17","","19.61425875"
"DITAIRES","2011-12-16","","19.146885"
"DITAIRES","2011-12-15","","20.39132538"
"DITAIRES","2011-12-12","","17.04618"
"DITAIRES","2011-12-11","","19.20942708"
"DITAIRES","2011-12-10","","20.36720458"
"DITAIRES","2011-12-09","","20.3939425"
"DITAIRES","2011-12-08","","18.240335"
"DITAIRES","2011-12-07","","18.54057333"
"DITAIRES","2011-12-06","","18.83325792"
"DITAIRES","2011-12-05","","18.07251167"
"DITAIRES","2011-12-04","","19.80505792"
"DITAIRES","2011-12-03","","20.01262208"
