"Estacion","Fecha inicial","Fecha final","VViento"
"DITAIRES","2012-02-20","","2.01161345"
"DITAIRES","2012-02-19","","2.32955796"
"DITAIRES","2012-02-18","","1.8189881"
"DITAIRES","2012-02-17","","2.09532974"
"DITAIRES","2012-02-16","","2.09031938"
"DITAIRES","2012-02-15","","2.1633785"
"DITAIRES","2012-02-14","","1.99869209"
"DITAIRES","2012-02-13","","1.91198495"
"DITAIRES","2012-02-12","","1.89122605"
"DITAIRES","2012-02-11","","1.82035986"
"DITAIRES","2012-02-10","","1.77212295"
"DITAIRES","2012-02-09","","1.71630908"
"DITAIRES","2012-02-08","","1.47532453"
"DITAIRES","2012-02-07","","2.26584787"
"DITAIRES","2012-02-06","","2.06262511"
"DITAIRES","2012-02-05","","1.76928821"
"DITAIRES","2012-02-04","","1.83163645"
"DITAIRES","2012-02-03","","1.818745"
"DITAIRES","2012-02-02","","2.09973253"
"DITAIRES","2012-02-01","","2.342647"
"DITAIRES","2012-01-31","","1.80743983"
"DITAIRES","2012-01-30","","1.56728125"
"DITAIRES","2012-01-29","","1.91006245"
"DITAIRES","2012-01-28","","2.27014165"
"DITAIRES","2012-01-27","","1.77794993"
"DITAIRES","2012-01-26","","1.68597718"
"DITAIRES","2012-01-25","","2.32290985"
"DITAIRES","2012-01-24","","1.4442175"
"DITAIRES","2012-01-23","","1.93750982"
"DITAIRES","2012-01-22","","2.27252069"
"DITAIRES","2012-01-21","","1.75475415"
"DITAIRES","2012-01-20","","1.86083338"
"DITAIRES","2012-01-19","","1.53020415"
"DITAIRES","2012-01-18","","1.54808335"
"DITAIRES","2012-01-17","","1.68148771"
"DITAIRES","2012-01-16","","1.97792814"
"DITAIRES","2012-01-15","","2.29219792"
"DITAIRES","2012-01-14","","1.884322"
"DITAIRES","2012-01-13","","1.63757938"
"DITAIRES","2012-01-12","","1.89028068"
"DITAIRES","2012-01-11","","2.44034029"
"DITAIRES","2012-01-10","","2.03065587"
"DITAIRES","2012-01-09","","2.18848191"
"DITAIRES","2012-01-08","","2.12830691"
"DITAIRES","2012-01-07","","2.40368858"
"DITAIRES","2012-01-06","","1.4721208"
"DITAIRES","2012-01-05","","1.806902"
"DITAIRES","2012-01-04","","1.5097624"
"DITAIRES","2012-01-03","","1.50410178"
"DITAIRES","2012-01-02","","1.47471214"
"DITAIRES","2012-01-01","","1.88661226"
"DITAIRES","2011-12-31","","2.10715871"
"DITAIRES","2011-12-30","","1.53045594"
"DITAIRES","2011-12-29","","1.43171829"
"DITAIRES","2011-12-28","","1.72528755"
"DITAIRES","2011-12-27","","1.7501668"
"DITAIRES","2011-12-26","","1.57784082"
"DITAIRES","2011-12-25","","1.87263589"
"DITAIRES","2011-12-24","","1.53840784"
"DITAIRES","2011-12-23","","2.21002775"
"DITAIRES","2011-12-22","","2.25190583"
"DITAIRES","2011-12-21","","2.12134725"
"DITAIRES","2011-12-20","","1.83918893"
"DITAIRES","2011-12-19","","1.54226563"
"DITAIRES","2011-12-18","","1.87151844"
"DITAIRES","2011-12-17","","1.5701175"
"DITAIRES","2011-12-16","","1.66821278"
"DITAIRES","2011-12-15","","1.87733342"
"DITAIRES","2011-12-12","","1.8344585"
"DITAIRES","2011-12-11","","1.84440909"
"DITAIRES","2011-12-10","","1.84928176"
"DITAIRES","2011-12-09","","2.07456"
"DITAIRES","2011-12-08","","1.41414453"
"DITAIRES","2011-12-07","","1.54469447"
"DITAIRES","2011-12-06","","1.61815415"
"DITAIRES","2011-12-05","","1.66167713"
"DITAIRES","2011-12-04","","1.76168756"
"DITAIRES","2011-12-03","","1.9201615"
"DITAIRES","2011-12-02","","1.78841144"
"DITAIRES","2011-12-01","","1.54051856"
"DITAIRES","2011-11-30","","1.75723221"
"DITAIRES","2011-11-29","","1.8529082"
"DITAIRES","2011-11-28","","1.65110938"
"DITAIRES","2011-11-27","","2.21807294"
"DITAIRES","2011-11-26","","1.86872727"
"DITAIRES","2011-11-25","","1.69365914"
"DITAIRES","2011-11-24","","1.74533324"
"DITAIRES","2011-11-23","","1.78586736"
"DITAIRES","2011-11-22","","1.50770082"
"DITAIRES","2011-11-21","","1.6977421"
"DITAIRES","2011-11-20","","1.80280557"
"DITAIRES","2011-11-19","","1.59500781"
"DITAIRES","2011-11-18","","2.19187891"
"DITAIRES","2011-11-17","","1.7991805"
"DITAIRES","2011-11-16","","1.54912711"
"DITAIRES","2011-11-15","","1.86628706"
"DITAIRES","2011-11-14","","2.1700283"
"DITAIRES","2011-11-13","","1.20910425"
"DITAIRES","2011-11-12","","1.52400835"
"DITAIRES","2011-11-11","","1.67318416"
"DITAIRES","2011-11-10","","1.59781655"
"DITAIRES","2011-11-09","","1.42559722"
"DITAIRES","2011-11-08","","1.66344444"
"DITAIRES","2011-11-07","","1.59335246"
"DITAIRES","2011-11-06","","1.56917021"
"DITAIRES","2011-11-05","","1.92428435"
"DITAIRES","2011-11-04","","1.70398956"
"DITAIRES","2011-11-03","","1.4814667"
