"Estacion","Fecha inicial","Fecha final","PM2.5"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-31","","14.47303087"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-30","","12.78507"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-29","","18.01987083"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-28","","7.80247625"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-27","","4.513865"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-26","","7.326445"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-25","","6.26444667"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-24","","10.12098042"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-23","","16.66096583"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-22","","10.36438333"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-21","","13.43339083"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-20","","9.2484575"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-19","","12.42633958"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-18","","11.75854083"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-17","","12.46429417"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-16","","13.45361958"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-15","","13.8767425"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-14","","12.55396333"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-13","","8.20357167"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-12","","8.82152125"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-11","","10.16645917"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-10","","9.09078375"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-09","","14.68299292"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-08","","9.91064458"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-07","","11.01247458"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-06","","13.29324125"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-05","","5.5630175"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-04","","11.41191375"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-03","","9.52706292"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-02","","14.80416667"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-10-01","","13.75416667"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-30","","9.95306"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-29","","12.20273292"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-28","","13.32106833"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-27","","17.5751725"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-26","","13.05696833"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-25","","9.34920167"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-24","","14.95435417"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-23","","15.17070125"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-22","","14.06387125"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-21","","11.15477958"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-20","","10.0648975"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-19","","15.89427667"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-18","","14.02143958"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-17","","14.21930417"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-16","","17.47275375"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-15","","11.60043958"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-14","","12.77380875"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-13","","16.21173625"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-12","","17.02310917"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-11","","16.51121458"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-10","","16.20819"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-09","","13.52527833"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-08","","12.44884292"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-07","","7.33479625"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-06","","12.035105"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-05","","12.00726917"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-04","","15.15252042"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-03","","12.98339292"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-02","","10.07140833"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-09-01","","13.73333333"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-31","","15.78133304"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-30","","18.36820042"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-29","","14.2596175"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-28","","13.28269375"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-27","","13.3781287"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-26","","15.27498111"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-25","","16.50512231"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-24","","11.15978632"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-23","","10.60097778"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-22","","13.4454755"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-21","","7.97572714"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-20","","13.24162583"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-19","","10.63119542"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-18","","7.56470045"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-17","","9.08213952"
"ESCUELA JOAQUIN ARISTIZABAL - CALDAS","2025-08-16","","9.3981425"
