"Estacion","Fecha inicial","Fecha final","PM10"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-10-29","","37.841"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-10-26","","41.6919"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-10-20","","45.4959"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-10-17","","57.1929"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-10-15","","82.3004"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-10-08","","91.5922"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-10-05","","47.1492"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-10-02","","44.8865"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-09-29","","52.90875539"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-09-26","","97.33149538"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-09-23","","43.33801747"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-09-20","","46.20066753"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-09-17","","50.0622329"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-09-14","","33.96357297"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-09-11","","53.10978773"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-09-08","","17.13149343"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-09-05","","43.56699642"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-09-02","","47.25993451"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-08-30","","36.23675204"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-08-27","","32.57249634"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-08-24","","27.81778235"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-08-21","","47.64248688"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-08-18","","20.0932096"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-08-15","","64.26500845"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-08-12","","34.38395752"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-08-09","","40.68717183"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-08-06","","28.47817121"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-08-03","","33.45606055"
"ESTACIÓN POLICÍA LOS GÓMEZ (S)","2025-07-31","","25.43603791"
