"Estacion","Fecha inicial","Fecha final","PM10"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-31","","41.86956522"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-30","","37.41666667"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-29","","48.54166667"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-28","","76.875"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-27","","66.75"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-26","","53.83333333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-25","","55.08333333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-24","","122.54166667"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-23","","89.0"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-22","","97.54166667"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-21","","87.70833333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-20","","64.41666667"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-19","","50.875"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-18","","57.66666667"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-17","","72.04166667"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-16","","72.125"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-15","","106.625"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-14","","71.33333333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-13","","35.70833333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-12","","41.29166667"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-11","","70.83333333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-10","","63.41666667"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-09","","117.20833333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-08","","98.75"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-07","","65.0"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-06","","57.33333333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-05","","55.58333333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-04","","63.0"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-03","","65.66666667"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-02","","66.625"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-10-01","","69.0"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-09-30","","62.52173913"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-09-29","","70.5"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-09-28","","63.95833333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-09-27","","95.83333333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-09-26","","125.08333333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-09-25","","70.91666667"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-09-24","","67.95833333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-09-23","","46.20833333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-09-22","","13.95833333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-09-21","","0.0"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-09-20","","3.08333333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-09-19","","50.66666667"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-09-18","","56.83333333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-09-17","","63.33333333"
"ESTACIÓN POLICÍA LOS GÓMEZ","2025-09-16","","44.08333333"
