"Estacion","Fecha inicial","Fecha final","CO"
"ESTACIÓN TRÁFICO CENTRO","2015-09-02","","1504.00714286"
"ESTACIÓN TRÁFICO CENTRO","2015-09-01","","1546.56190476"
"ESTACIÓN TRÁFICO CENTRO","2015-08-31","","1579.975"
"ESTACIÓN TRÁFICO CENTRO","2015-08-30","","1474.96666667"
"ESTACIÓN TRÁFICO CENTRO","2015-08-29","","1699.30833333"
"ESTACIÓN TRÁFICO CENTRO","2015-08-28","","1756.57916667"
"ESTACIÓN TRÁFICO CENTRO","2015-08-27","","1613.39166667"
"ESTACIÓN TRÁFICO CENTRO","2015-08-26","","1684.9875"
"ESTACIÓN TRÁFICO CENTRO","2015-08-25","","1598.62727273"
"ESTACIÓN TRÁFICO CENTRO","2015-08-24","","1708.85"
"ESTACIÓN TRÁFICO CENTRO","2015-08-23","","1255.3875"
"ESTACIÓN TRÁFICO CENTRO","2015-08-22","","1742.26666667"
"ESTACIÓN TRÁFICO CENTRO","2015-08-21","","1799.55416667"
"ESTACIÓN TRÁFICO CENTRO","2015-08-20","","1570.41666667"
"ESTACIÓN TRÁFICO CENTRO","2015-08-19","","1503.6"
"ESTACIÓN TRÁFICO CENTRO","2015-08-18","","1551.3375"
"ESTACIÓN TRÁFICO CENTRO","2015-08-17","","1112.1875"
"ESTACIÓN TRÁFICO CENTRO","2015-08-16","","1107.40416667"
"ESTACIÓN TRÁFICO CENTRO","2015-08-15","","1637.27083333"
"ESTACIÓN TRÁFICO CENTRO","2015-08-14","","1589.51666667"
"ESTACIÓN TRÁFICO CENTRO","2015-08-13","","1510.11363636"
"ESTACIÓN TRÁFICO CENTRO","2015-08-12","","1708.85"
"ESTACIÓN TRÁFICO CENTRO","2015-08-11","","1451.10416667"
"ESTACIÓN TRÁFICO CENTRO","2015-08-10","","1460.63333333"
"ESTACIÓN TRÁFICO CENTRO","2015-08-09","","1021.49583333"
"ESTACIÓN TRÁFICO CENTRO","2015-08-08","","1532.2375"
"ESTACIÓN TRÁFICO CENTRO","2015-08-07","","1031.0375"
"ESTACIÓN TRÁFICO CENTRO","2015-08-06","","1355.625"
"ESTACIÓN TRÁFICO CENTRO","2015-08-05","","1293.575"
"ESTACIÓN TRÁFICO CENTRO","2015-08-04","","1226.75"
"ESTACIÓN TRÁFICO CENTRO","2015-08-03","","1217.20833333"
"ESTACIÓN TRÁFICO CENTRO","2015-08-02","","911.7125"
"ESTACIÓN TRÁFICO CENTRO","2015-08-01","","1326.99166667"
"ESTACIÓN TRÁFICO CENTRO","2015-07-31","","1479.7375"
"ESTACIÓN TRÁFICO CENTRO","2015-07-30","","1312.66666667"
"ESTACIÓN TRÁFICO CENTRO","2015-07-29","","1264.92916667"
"ESTACIÓN TRÁFICO CENTRO","2015-07-28","","1183.79166667"
"ESTACIÓN TRÁFICO CENTRO","2015-07-27","","1169.47083333"
"ESTACIÓN TRÁFICO CENTRO","2015-07-26","","921.25416667"
"ESTACIÓN TRÁFICO CENTRO","2015-07-25","","1317.4375"
"ESTACIÓN TRÁFICO CENTRO","2015-07-24","","1232.88571429"
"ESTACIÓN TRÁFICO CENTRO","2015-07-23","","1365.16666667"
"ESTACIÓN TRÁFICO CENTRO","2015-07-22","","1479.72916667"
"ESTACIÓN TRÁFICO CENTRO","2015-07-21","","1508.37916667"
"ESTACIÓN TRÁFICO CENTRO","2015-07-20","","997.63333333"
"ESTACIÓN TRÁFICO CENTRO","2015-07-19","","906.94166667"
"ESTACIÓN TRÁFICO CENTRO","2015-07-18","","1336.53333333"
"ESTACIÓN TRÁFICO CENTRO","2015-07-17","","1269.70833333"
"ESTACIÓN TRÁFICO CENTRO","2015-07-16","","1513.14166667"
"ESTACIÓN TRÁFICO CENTRO","2015-07-15","","1274.4875"
"ESTACIÓN TRÁFICO CENTRO","2015-07-14","","1188.55"
"ESTACIÓN TRÁFICO CENTRO","2015-07-13","","1155.15"
"ESTACIÓN TRÁFICO CENTRO","2015-07-12","","687.36666667"
"ESTACIÓN TRÁFICO CENTRO","2015-07-11","","1159.92916667"
"ESTACIÓN TRÁFICO CENTRO","2015-07-10","","1188.55416667"
"ESTACIÓN TRÁFICO CENTRO","2015-07-09","","1236.29583333"
"ESTACIÓN TRÁFICO CENTRO","2015-07-08","","1116.96"
"ESTACIÓN TRÁFICO CENTRO","2015-07-07","","1250.625"
"ESTACIÓN TRÁFICO CENTRO","2015-07-06","","1288.80416667"
"ESTACIÓN TRÁFICO CENTRO","2015-07-05","","863.97083333"
"ESTACIÓN TRÁFICO CENTRO","2015-07-04","","1317.45"
"ESTACIÓN TRÁFICO CENTRO","2015-07-03","","1212.42916667"
"ESTACIÓN TRÁFICO CENTRO","2015-07-02","","1093.09583333"
"ESTACIÓN TRÁFICO CENTRO","2015-07-01","","1307.42916667"
"ESTACIÓN TRÁFICO CENTRO","2015-06-30","","1183.79166667"
"ESTACIÓN TRÁFICO CENTRO","2015-06-29","","720.7875"
"ESTACIÓN TRÁFICO CENTRO","2015-06-28","","758.95416667"
"ESTACIÓN TRÁFICO CENTRO","2015-06-27","","921.24166667"
"ESTACIÓN TRÁFICO CENTRO","2015-06-26","","1026.27083333"
"ESTACIÓN TRÁFICO CENTRO","2015-06-25","","1202.87272727"
"ESTACIÓN TRÁFICO CENTRO","2015-06-24","","1241.06666667"
"ESTACIÓN TRÁFICO CENTRO","2015-06-23","","1260.15416667"
"ESTACIÓN TRÁFICO CENTRO","2015-06-22","","1116.95416667"
"ESTACIÓN TRÁFICO CENTRO","2015-06-21","","711.23333333"
"ESTACIÓN TRÁFICO CENTRO","2015-06-20","","1298.35"
"ESTACIÓN TRÁFICO CENTRO","2015-06-19","","1264.93333333"
"ESTACIÓN TRÁFICO CENTRO","2015-06-18","","1288.80833333"
"ESTACIÓN TRÁFICO CENTRO","2015-06-17","","1183.7875"
"ESTACIÓN TRÁFICO CENTRO","2015-06-16","","1174.2375"
"ESTACIÓN TRÁFICO CENTRO","2015-06-15","","801.92083333"
"ESTACIÓN TRÁFICO CENTRO","2015-06-14","","706.45833333"
"ESTACIÓN TRÁFICO CENTRO","2015-06-13","","1255.39583333"
"ESTACIÓN TRÁFICO CENTRO","2015-06-12","","1265.89"
"ESTACIÓN TRÁFICO CENTRO","2015-06-11","","1054.89583333"
"ESTACIÓN TRÁFICO CENTRO","2015-06-10","","1212.42916667"
"ESTACIÓN TRÁFICO CENTRO","2015-06-09","","1293.57083333"
"ESTACIÓN TRÁFICO CENTRO","2015-06-08","","558.475"
"ESTACIÓN TRÁFICO CENTRO","2015-06-07","","673.04166667"
"ESTACIÓN TRÁFICO CENTRO","2015-06-06","","1541.775"
"ESTACIÓN TRÁFICO CENTRO","2015-06-05","","1236.29166667"
"ESTACIÓN TRÁFICO CENTRO","2015-06-04","","1021.49166667"
"ESTACIÓN TRÁFICO CENTRO","2015-06-03","","1035.81666667"
"ESTACIÓN TRÁFICO CENTRO","2015-06-02","","1618.15833333"
"ESTACIÓN TRÁFICO CENTRO","2015-06-01","","1212.425"
"ESTACIÓN TRÁFICO CENTRO","2015-05-31","","848.22916667"
