"Estacion","Fecha inicial","Fecha final","DViento"
"ESTACIÓN TRÁFICO CENTRO","2013-12-01","","4.692295"
"ESTACIÓN TRÁFICO CENTRO","2013-11-30","","122.75845168"
"ESTACIÓN TRÁFICO CENTRO","2013-11-29","","129.4872385"
"ESTACIÓN TRÁFICO CENTRO","2013-11-28","","39.64166592"
"ESTACIÓN TRÁFICO CENTRO","2013-11-27","","169.18250213"
"ESTACIÓN TRÁFICO CENTRO","2013-11-26","","167.85547558"
"ESTACIÓN TRÁFICO CENTRO","2013-11-25","","200.28737458"
"ESTACIÓN TRÁFICO CENTRO","2013-11-24","","214.51747733"
"ESTACIÓN TRÁFICO CENTRO","2013-11-23","","128.18804787"
"ESTACIÓN TRÁFICO CENTRO","2013-11-22","","83.61852688"
"ESTACIÓN TRÁFICO CENTRO","2013-11-21","","73.96657767"
"ESTACIÓN TRÁFICO CENTRO","2013-11-20","","169.67982929"
"ESTACIÓN TRÁFICO CENTRO","2013-11-19","","147.58094446"
"ESTACIÓN TRÁFICO CENTRO","2013-11-18","","176.75116904"
"ESTACIÓN TRÁFICO CENTRO","2013-11-17","","106.70896178"
"ESTACIÓN TRÁFICO CENTRO","2013-11-16","","16.30755829"
"ESTACIÓN TRÁFICO CENTRO","2013-11-15","","59.28969325"
"ESTACIÓN TRÁFICO CENTRO","2013-11-14","","40.84398325"
"ESTACIÓN TRÁFICO CENTRO","2013-11-13","","167.58329858"
"ESTACIÓN TRÁFICO CENTRO","2013-11-12","","96.73485904"
"ESTACIÓN TRÁFICO CENTRO","2013-11-11","","129.03230842"
"ESTACIÓN TRÁFICO CENTRO","2013-11-10","","94.41452283"
"ESTACIÓN TRÁFICO CENTRO","2013-11-09","","56.41942233"
"ESTACIÓN TRÁFICO CENTRO","2013-11-08","","158.00073421"
"ESTACIÓN TRÁFICO CENTRO","2013-11-07","","197.148295"
"ESTACIÓN TRÁFICO CENTRO","2013-11-06","","101.06802383"
"ESTACIÓN TRÁFICO CENTRO","2013-11-05","","128.66313013"
"ESTACIÓN TRÁFICO CENTRO","2013-11-04","","172.240224"
"ESTACIÓN TRÁFICO CENTRO","2013-11-03","","155.22331591"
"ESTACIÓN TRÁFICO CENTRO","2013-11-02","","200.38250271"
"ESTACIÓN TRÁFICO CENTRO","2013-11-01","","154.224232"
"ESTACIÓN TRÁFICO CENTRO","2013-10-31","","147.27789243"
"ESTACIÓN TRÁFICO CENTRO","2013-10-30","","151.75254842"
"ESTACIÓN TRÁFICO CENTRO","2013-10-29","","102.13576479"
"ESTACIÓN TRÁFICO CENTRO","2013-10-28","","47.01678771"
"ESTACIÓN TRÁFICO CENTRO","2013-10-27","","37.09790214"
"ESTACIÓN TRÁFICO CENTRO","2013-10-26","","82.54650204"
"ESTACIÓN TRÁFICO CENTRO","2013-10-25","","62.22503371"
"ESTACIÓN TRÁFICO CENTRO","2013-10-24","","130.72094958"
"ESTACIÓN TRÁFICO CENTRO","2013-10-23","","143.55854488"
"ESTACIÓN TRÁFICO CENTRO","2013-10-22","","136.90272804"
"ESTACIÓN TRÁFICO CENTRO","2013-10-21","","153.43025596"
"ESTACIÓN TRÁFICO CENTRO","2013-10-20","","90.2333965"
"ESTACIÓN TRÁFICO CENTRO","2013-10-19","","128.15392579"
"ESTACIÓN TRÁFICO CENTRO","2013-10-18","","92.33407343"
"ESTACIÓN TRÁFICO CENTRO","2013-10-17","","181.75634321"
"ESTACIÓN TRÁFICO CENTRO","2013-10-16","","86.3826895"
"ESTACIÓN TRÁFICO CENTRO","2013-10-15","","206.988545"
"ESTACIÓN TRÁFICO CENTRO","2013-10-14","","139.11837661"
"ESTACIÓN TRÁFICO CENTRO","2013-10-13","","152.47851733"
"ESTACIÓN TRÁFICO CENTRO","2013-10-12","","35.89527858"
"ESTACIÓN TRÁFICO CENTRO","2013-10-11","","116.05409443"
"ESTACIÓN TRÁFICO CENTRO","2013-10-10","","43.85068108"
"ESTACIÓN TRÁFICO CENTRO","2013-10-09","","34.51574271"
"ESTACIÓN TRÁFICO CENTRO","2013-10-08","","84.33023154"
"ESTACIÓN TRÁFICO CENTRO","2013-10-07","","41.85920275"
"ESTACIÓN TRÁFICO CENTRO","2013-10-06","","58.67308996"
"ESTACIÓN TRÁFICO CENTRO","2013-10-05","","111.45048667"
"ESTACIÓN TRÁFICO CENTRO","2013-10-04","","133.65030796"
"ESTACIÓN TRÁFICO CENTRO","2013-10-03","","188.11220057"
